,name,year,quarter,sector,Relative Return,부채총계 변화율,비유동자산 변화율,이익잉여금 변화율,법인세차감전 순이익 변화율,비유동부채 변화율,영업이익 변화율,Label,Code
20,대림산업,2019,Q4,건설,-0.16662607758445078,-0.004569867400844085,-0.020110822170772424,0.018537867647057116,2.008886232301353,0.18638158615593725,1.37402536244764,0.19286437081366153,000210
20,현대건설,2019,Q4,건설,-0.2516429718168658,-0.03254164161482709,0.03921586617535744,-0.00012961065005956396,-0.7732703042287173,-0.04560347477712434,-0.2896758680012512,0.2557628363509828,000720
20,KCC,2019,Q4,건설,-0.17376325794838146,0.3699947094662397,-0.05441813686215291,0.0014501750899551524,-2.0249492973072227,0.131583255089595,-0.7677524857585425,0.048837091118526965,002380
20,한일시멘트,2019,Q4,건설,-0.1571609347295915,0.05501281530727731,-0.03697653645565524,-0.03791545391826501,-137.56417192567355,0.04762509384213476,1.8472702227816504,0.2601351701297078,003300
20,아이에스동서,2019,Q4,건설,-0.17896627382970062,0.11567569886660256,-0.10223325142058215,0.019625622156286937,0.135536915222785,0.09121442366191768,0.6376827370268223,0.045258181323962005,010780
20,현대산업,2019,Q4,건설,-0.17061323994475183,0.04673238011298464,0.002387751533238669,0.0007530051657167469,-0.8523193389903189,-0.08711388167791234,0.06106434882235212,0.10521536138704882,012630
20,삼성엔지니어링,2019,Q4,건설,-0.28822258584463334,0.03159468541941246,-0.008453540823855299,0.018109718003560538,-0.019368214227633462,-0.20972076258822314,-0.22214399951629793,0.010193831290781913,028050
20,대우건설,2019,Q4,건설,-0.23804152742724724,0.03818105573854469,-0.04271469963325958,-3.53314438573255,-3.9459858004696966,-0.03603333517192153,-2.08254616997311,0.16589919200891362,047040
20,한전기술,2019,Q4,건설,-0.09866332749184156,-0.02661085546062958,-0.03779508458618619,0.0714101381753749,-8.7743426454342,-0.7657795177618208,-7.991620965373804,0.03641661685594744,052690
20,LG하우시스,2019,Q4,건설,-0.22093328285553318,-0.10558348429142594,0.004628196953493591,-0.1646601675671443,-5.883596837944664,-0.15653263357842073,-0.9695669137729224,0.4879588246481552,108670
