,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,부채총계 변화율,자산총계 변화율,영업이익 변화율,이익잉여금 변화율,기말 소유주식 지분율 변화율,Label,Code
32,대림산업,2016,Q4,건설,-0.13911732572419963,0.9720054193181309,0.037730571384379186,0.019830624303224686,-0.631734228367981,-0.01509156675236123,0.11810261374636988,-0.04877684289017979,000210
32,현대건설,2016,Q4,건설,0.01665776516054719,0.9720054193181309,0.0011534637001027193,0.016024382164343765,0.5521103791601398,0.011174555149588095,0.0,-0.0775925137133953,000720
32,KCC,2016,Q4,건설,-0.2071485078598309,0.9720054193181309,0.029587879986948673,-0.022237267840951813,-0.61397610886999,-0.0007441986588236915,-0.005410976552435054,-0.054690556496670914,002380
32,한일시멘트,2016,Q4,건설,0.1901894167030761,0.9720054193181309,-0.17322283144209838,-0.023627497692387478,0.11372150549171689,0.05240102062076257,0.15815680405249832,0.17624072955812897,003300
32,아이에스동서,2016,Q4,건설,-0.15739864160906342,0.9720054193181309,0.026291056618072517,0.053826157774357064,0.17854701849090127,0.14878755787621167,-0.4672715489306546,-0.04969911223983275,010780
32,현대산업,2016,Q4,건설,-0.29298896140738145,0.9720054193181309,0.06544449273760278,0.04006274718457714,-0.11376401513649037,0.026110053207245576,0.0,0.05333080336953553,012630
32,삼성엔지니어링,2016,Q4,건설,0.1877029336552789,0.9720054193181309,0.02539404383836752,-0.014741331370683008,0.05983395304708039,0.6231713678637645,-0.2555858310626703,-0.10751161223983274,028050
32,대우건설,2016,Q4,건설,-0.028748295485192324,0.9720054193181309,0.07231550698396205,-0.017772584009086656,-8.47635924428269,-1.7829876398205289,0.3333333333333335,0.017384365568766415,047040
32,한전기술,2016,Q4,건설,0.029857739630720317,0.9720054193181309,-0.11650580845826564,-0.08293204218163808,15.323901817072649,-0.050625688192573515,-0.00829312424607953,-0.2067921877794011,052690
32,LG하우시스,2016,Q4,건설,-0.0411936734727648,0.9720054193181309,-0.1431091030143118,-0.07100571654961207,0.2878114220007666,0.12444847009979054,0.0,-0.032759136992307994,108670
