,name,year,quarter,sector,Relative Return,부채총계 변화율,비유동자산 변화율,이익잉여금 변화율,법인세차감전 순이익 변화율,비유동부채 변화율,영업이익 변화율,Label,Code
19,대림산업,2020,Q1,건설,0.19286437081366153,0.009791706683323742,0.06963706399193259,0.05449619866870914,1.2568603183419222,0.0009332045533083644,-0.43369233579807875,-0.1716815982654706,000210
19,현대건설,2020,Q1,건설,0.2557628363509828,0.14815332429263672,-0.06736129630499998,-0.0012689011754698498,5.3840563252327955,0.05609695528889058,-0.22075437944653153,-0.17233944488030417,000720
19,KCC,2020,Q1,건설,0.048837091118526965,-0.2355059614855879,-0.09531319810729844,-0.07217050166430161,-8.329458512894817,-0.26019437892103914,1.3216758884258262,-0.17380666766095376,002380
19,한일시멘트,2020,Q1,건설,0.2601351701297078,0.032022198390575074,-0.10915488198391554,-0.0022914770636661697,-1.132521687718717,-0.0416545835155977,-8.1603442200768,-0.2149529513057256,003300
19,아이에스동서,2020,Q1,건설,0.045258181323962005,0.057933977536822834,-0.14642164928927714,-0.0197803829523302,-0.1579202906859154,-0.0822829358020638,0.004690349637314739,0.5905864258328777,010780
19,현대산업,2020,Q1,건설,0.10521536138704882,1.657984510076905,0.10348458371758529,0.004161183652894307,1.229202404071747,4.820319534269715,4.328541533270191,-0.04363342689473235,012630
19,삼성엔지니어링,2020,Q1,건설,0.010193831290781913,-0.048597177522316515,-0.005311071399480172,-0.5112330766004649,-0.12397620578202706,-0.0344499807787334,0.10494505370250518,-0.11558748957876197,028050
19,대우건설,2020,Q1,건설,0.16589919200891362,0.04071272909619106,0.018013181038496917,-0.5619692354297146,-1.4373207981269531,-0.14853121748456644,-2.272607062072254,-0.27334455687061837,047040
19,한전기술,2020,Q1,건설,0.03641661685594744,-0.14884847275996937,-0.013120270504676235,-0.019466497576520747,-0.5305889034292428,0.31831747306162894,-0.7762263897220418,-0.18602550750536437,052690
19,LG하우시스,2020,Q1,건설,0.4879588246481552,0.038763480292288044,-0.012230319415282853,0.048794110180248706,-1.4019465015580106,-0.14813661301307746,52.70940170940171,-0.16662829297173226,108670
