,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,부채총계 변화율,자산총계 변화율,영업이익 변화율,이익잉여금 변화율,기말 소유주식 지분율 변화율,Label,Code
23,대림산업,2019,Q1,건설,0.031190648148935907,-0.6874179652905958,0.08459827255239372,0.05635649678707755,0.7732320624704767,0.030620912036328995,0.0,0.03625771104643578,000210
23,현대건설,2019,Q1,건설,-0.10244162031818234,-0.6874179652905958,0.0505921938719498,0.03845385492228082,1.2491482112436114,0.01594470597224662,0.0,-0.0772442790625539,000720
23,KCC,2019,Q1,건설,-0.09080695233403643,-0.6874179652905958,0.023688000639487283,0.0034790372825976856,-0.2346972853721465,-0.008272056064469235,0.0,-0.1411779606192035,002380
23,한일시멘트,2019,Q1,건설,0.024509004621148557,-0.6874179652905958,0.06064951705687882,0.019431871347616925,-5.581442611143467,-0.004105640355961282,0.0,-0.08813786747095828,003300
23,아이에스동서,2019,Q1,건설,0.10699960901726535,-0.6874179652905958,0.09387993976062003,0.03350112353121748,-0.8806054459651199,-0.029865913206428507,0.0,-0.040574088596179655,010780
23,현대산업,2019,Q1,건설,-0.14407596700411174,-0.6874179652905958,0.3451755125021079,0.019168799138060022,1.5323292536091784,0.004513055794622467,0.0,-0.1477071614264826,012630
23,삼성엔지니어링,2019,Q1,건설,0.05087150837241035,-0.6874179652905958,0.0047245687208532505,0.022534568190427207,-2.310541058162383,-1.0728641807408565,0.0,-0.01486770834347749,028050
23,대우건설,2019,Q1,건설,-0.008947780520825822,-0.6874179652905958,0.16017692847882747,0.1241958453843961,0.031229396551727184,-0.5090819317596712,0.0,-0.13180586098415303,047040
23,한전기술,2019,Q1,건설,-0.027947581178654993,-0.6874179652905958,-0.11688599073192807,-0.048940285107155646,-0.42770896360287014,-0.0032458613660348856,0.0,-0.14147094958272674,052690
23,LG하우시스,2019,Q1,건설,-0.03738371466542138,-0.6874179652905958,0.21825728891356033,0.1207210055762229,-0.6347018921813639,-0.016640287925763664,0.0,0.12114368298706277,108670
