,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,부채총계 변화율,자산총계 변화율,영업이익 변화율,이익잉여금 변화율,기말 소유주식 지분율 변화율,Label,Code
9,대림산업,2022,Q3,건설,-0.06144148313487091,0.09093510066157107,-0.05634268692457012,-0.009787643938270807,-0.9951645335051398,-0.0001117024765715513,0.0,-0.1569472344230102,000210
9,현대건설,2022,Q3,건설,-0.07986915223403078,0.09093510066157107,-0.01039082277492831,0.025833810257731793,0.0559416330086322,0.037423823447168436,0.0,-0.12877678844013868,000720
9,KCC,2022,Q3,건설,-0.16544101598368463,0.09093510066157107,-0.11435908288294216,-0.08411869683702966,-0.15603064010408296,-0.060177015869596895,0.0,-0.10477236749806443,002380
9,한일시멘트,2022,Q3,건설,-0.060996441415058174,0.09093510066157107,-0.3558590633116858,-0.100104977051232,-1.377009330631616,0.0006847292587661702,0.0,0.07977592941879771,003300
9,아이에스동서,2022,Q3,건설,-0.17891997893335718,0.09093510066157107,0.05882232103265528,0.054429315517970034,0.20451387896091822,0.06065910771648397,0.0,0.26009935173087906,010780
9,현대산업,2022,Q3,건설,-0.14478461117122884,0.09093510066157107,0.12480221112921197,0.01789508043539767,4.4193166375600885,0.0010976024318842814,0.0,0.17791898315387147,012630
9,삼성엔지니어링,2022,Q3,건설,0.24053821165159397,0.09093510066157107,-0.04751845163714996,0.002351020828944561,-0.24889630480135494,0.18907567281791482,0.0,0.005657714566308777,028050
9,대우건설,2022,Q3,건설,-0.1361040556156733,0.09093510066157107,0.023382378081991728,0.032122611349472585,0.791316167715477,0.16947111617015742,0.0,-0.10162679664252264,047040
9,한전기술,2022,Q3,건설,-0.078908306689952,0.09093510066157107,0.09604435517672605,0.03830780648630183,-1.2212696763873117,0.013748733505962507,0.0,0.18721311985413114,052690
9,LG하우시스,2022,Q3,건설,-0.24315714014191733,0.09093510066157107,0.016995737167584624,-0.0036146367955406378,0.7703544795178261,-0.24497509855133592,0.0,-0.049067522886124953,108670
