,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,비유동부채 변화율,이익잉여금 변화율,법인세차감전 순이익 변화율,자본총계 변화율,실업률 변화율,Label,Code
14,대림산업,2021,Q2,건설,-0.13127033006249395,0.7421096287815034,-0.11562646146414468,0.002348959189494071,-0.10998519542548313,0.19137046851504946,-0.11023622047244086,-0.05826609885805567,000210
14,현대건설,2021,Q2,건설,0.0044731457103875175,0.7421096287815034,0.1571861873801914,0.0034014242688202856,-0.8659098907785088,0.002197340060170916,-0.11023622047244086,0.05077114280641535,000720
14,KCC,2021,Q2,건설,-0.052952052476946725,0.7421096287815034,0.10630147564705195,0.0402725420436425,76.41842025329275,0.03844894841836388,-0.11023622047244086,0.06202467850420049,002380
14,한일시멘트,2021,Q2,건설,-0.09692694347733638,0.7421096287815034,-0.13684428515214786,0.0023661036926700962,-1.0086973374118828,0.0037945842471467373,-0.11023622047244086,0.05459394157594512,003300
14,아이에스동서,2021,Q2,건설,-0.19627463882691748,0.7421096287815034,0.3298919663801201,-0.00022417711811306695,-0.565652969116941,-0.00034139089713569604,-0.11023622047244086,-0.01828287709523673,010780
14,현대산업,2021,Q2,건설,-0.16205060302331079,0.7421096287815034,3.520532746892213,-0.0014860281566330125,-0.9030325697735536,0.003925167012814645,-0.11023622047244086,-0.07202135209355426,012630
14,삼성엔지니어링,2021,Q2,건설,0.21766108748527596,0.7421096287815034,-0.0190853474691971,0.2597379748860069,0.16169340787271058,0.0467016887135403,-0.11023622047244086,0.06264068649861534,028050
14,대우건설,2021,Q2,건설,-0.05694473353597176,0.7421096287815034,0.22585092802458395,0.31364796308286325,-0.4825296307386081,0.02981279427851624,-0.11023622047244086,-0.0657980998157826,047040
14,한전기술,2021,Q2,건설,0.18215167217584413,0.7421096287815034,0.03195199977154162,0.0052474286017545335,-0.2105535003137331,0.005262847929181191,-0.11023622047244086,1.1542072803850782,052690
14,LG하우시스,2021,Q2,건설,-0.1209457213058214,0.7421096287815034,-0.371466126272035,-0.31905509330362924,-2.437951540767681,-0.06655708803942917,-0.11023622047244086,-0.20270061435176387,108670
