,name,year,quarter,sector,Relative Return,GDP 변화율,이익잉여금 변화율,영업이익 변화율,주택가격 변화율,비유동부채 변화율,자본총계 변화율,Label,Code
17,대림산업,2021,Q1,건설,-0.0439476042427511,-0.06978163193609821,0.07629522985208492,-0.9877566644656246,0.31416760616309625,-0.4410104661536678,0.21501002569757688,-0.12364132381867118,000210
17,현대건설,2021,Q1,건설,0.1823634324921674,-0.06978163193609821,0.01282270813638875,2.751122964626614,0.31416760616309625,-0.13513134487779954,0.019745269450818892,0.0044731457103875175,000720
17,KCC,2021,Q1,건설,0.6474048600475589,-0.06978163193609821,-0.14635272304969416,-0.006602205007915751,0.31416760616309625,0.27993770747395486,0.02246055016054016,-0.052952052476946725,002380
17,한일시멘트,2021,Q1,건설,0.29220471551535154,-0.06978163193609821,0.00600766281098597,-103.52075373708182,0.31416760616309625,-0.0367196216502742,0.0128588659892106,-0.09849603277904787,003300
17,아이에스동서,2021,Q1,건설,0.1898448207449518,-0.06978163193609821,-0.027496211413568727,-0.26651060003772964,0.31416760616309625,-0.27919384471633524,-0.016979720611977278,-0.19627463882691748,010780
17,현대산업,2021,Q1,건설,0.22573101708934018,-0.06978163193609821,0.005217793206599541,7.586801519021959,0.31416760616309625,-0.22285081547988816,0.01344763479754163,-0.16205060302331079,012630
17,삼성엔지니어링,2021,Q1,건설,0.32512436897651614,-0.06978163193609821,0.048333029099283165,0.3090132373985861,0.31416760616309625,0.02970586573837264,0.05382195444698179,0.21766108748527596,028050
17,대우건설,2021,Q1,건설,0.1386181852309331,-0.06978163193609821,1.4145155200586856,1.616193639245818,0.31416760616309625,0.10613277952514455,0.06892776837191739,-0.05694473353597176,047040
17,한전기술,2021,Q1,건설,0.8518320546948025,-0.06978163193609821,-0.01406995126106958,-0.9635707167279166,0.31416760616309625,0.025463321994056987,-0.014146961628849097,0.16591961060294433,052690
17,LG하우시스,2021,Q1,건설,0.33301753588028377,-0.06978163193609821,0.183418440377356,1.8490826840914805,0.31416760616309625,-0.004141448851616936,0.03426907727135342,-0.1209457213058214,108670
