,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,영업이익 변화율,이익잉여금 변화율,비유동자산 변화율,비유동부채 변화율,국제유가 변화율,Label,Code
5,대림산업,2023,Q3,건설,0.2218111008433589,-0.028955398190522508,-0.5264353908541461,-0.0003100934171623715,-0.0005905265150185635,-0.07098992406158755,0.106533304958502,-0.15609689068941437,000210
5,현대건설,2023,Q3,건설,0.034736884736884716,-0.028955398190522508,0.04303602388749761,0.020532300373466095,-0.017648932101706594,0.1205083242367384,0.106533304958502,-0.15828329584792822,000720
5,KCC,2023,Q3,건설,0.18342528553796159,-0.028955398190522508,0.12926194766884125,0.019347677721209156,0.0015873316166086227,-0.004017957292956731,0.106533304958502,0.023524832476839577,002380
5,한일시멘트,2023,Q3,건설,0.08271480294657499,-0.028955398190522508,0.8659530995685862,0.0009234654230698691,-0.009962858018005338,-0.040162784990625644,0.106533304958502,0.03804570950805011,003300
5,아이에스동서,2023,Q3,건설,-0.08898487636805394,-0.028955398190522508,-0.2253404852184111,0.02475971528330212,0.002928723043643444,-0.12631444498651656,0.106533304958502,-0.07860744815683732,010780
5,현대산업,2023,Q3,건설,0.12857257813764267,-0.028955398190522508,0.8556654684057996,0.0026317401479309943,-0.011170366615043892,-0.22018222016269784,0.106533304958502,0.1477098837447005,012630
5,삼성엔지니어링,2023,Q3,건설,-0.29408906514169675,-0.028955398190522508,-0.0773988115710581,0.08507267816515318,-0.013519913380888648,-0.2319582143025377,0.106533304958502,-0.028978541419449444,028050
5,대우건설,2023,Q3,건설,-0.06295348459527567,-0.028955398190522508,0.10578265691887045,0.08021829349498,-0.008681316915268189,-0.03774742421915589,0.106533304958502,-0.19678400145945252,047040
5,한전기술,2023,Q3,건설,-0.19749508046590675,-0.028955398190522508,-0.5473551076709027,0.012630302814719885,-0.01188251961580622,0.020312070663261572,0.106533304958502,0.13818485055270086,052690
5,LG하우시스,2023,Q3,건설,-0.16240975737543248,-0.028955398190522508,-0.3034923117018504,0.30870513042832015,-0.046446754544341995,-0.13610668012721794,0.106533304958502,-0.13188981158751095,108670
