,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,자산총계 변화율,비유동부채 변화율,영업이익 변화율,Label,Code
17,대림산업,2020,Q3,건설,-0.07609556676934505,29.267844017171594,-0.0012882442057211563,0.20464789439696074,-0.4176607131754714,-0.21579301763586795,000210
17,현대건설,2020,Q3,건설,-0.14513875665797915,29.267844017171594,0.0023315621842301404,0.019207530576681897,-0.17561402700336393,0.06994546045774855,000720
17,KCC,2020,Q3,건설,-0.03250576077415952,29.267844017171594,-0.06442034602955193,0.014937029911247013,-0.1497621812461919,0.02498041641653362,002380
17,한일시멘트,2020,Q3,건설,0.045629762082060786,29.267844017171594,-0.00470399056066384,-0.25488630400788004,-0.6088742458291763,-0.14547281365007764,003300
17,아이에스동서,2020,Q3,건설,-0.12229701417335292,29.267844017171594,0.14680785855647316,0.46749190346568525,0.32436197212753526,0.025096669850702996,010780
17,현대산업,2020,Q3,건설,-0.10249179851413553,29.267844017171594,-0.0014101363294263258,-0.8177132990176617,0.5463355460457389,-0.1878153767473577,012630
17,삼성엔지니어링,2020,Q3,건설,-0.09090921381618286,29.267844017171594,0.045442761859910474,0.07341222929903801,0.48006020101588853,-0.08195998672991425,028050
17,대우건설,2020,Q3,건설,-0.02698955444961175,29.267844017171594,0.04517638063282492,0.1608678406894084,0.30134941259058556,0.5392166771579858,047040
17,한전기술,2020,Q3,건설,-0.08128753115102193,29.267844017171594,-0.03479264758114087,0.1354684207105734,-3.4681386399466945,0.0406233475769224,052690
17,LG하우시스,2020,Q3,건설,0.019354056663425337,29.267844017171594,0.04353478405727995,-0.0005048073189295454,0.1110938390590186,-0.0677625482199529,108670
