,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,부채총계 변화율,이익잉여금 변화율,영업이익 변화율,비유동자산 변화율,기말 소유주식 지분율 변화율,Label,Code
17,대림산업,2020,Q3,건설,-0.07609556676934505,29.267844017171594,-0.02813969549324702,0.022766799887414146,-0.4176607131754714,0.01993268182415253,0.0,-0.21579301763586795,000210
17,현대건설,2020,Q3,건설,-0.14513875665797915,29.267844017171594,0.004352642068401469,0.009904215068143873,-0.17561402700336393,-0.010264997755032867,0.0,0.06994546045774855,000720
17,KCC,2020,Q3,건설,-0.03250576077415952,29.267844017171594,-0.11742025236687581,-0.015272200444618522,-0.1497621812461919,-0.050979616795574945,0.0,0.02498041641653362,002380
17,한일시멘트,2020,Q3,건설,0.045629762082060786,29.267844017171594,-0.024431149381907713,-0.0008885426450633283,-0.6088742458291763,-0.031389113548440206,0.0,-0.14547281365007764,003300
17,아이에스동서,2020,Q3,건설,-0.12229701417335292,29.267844017171594,0.19451012811237245,0.12974008966337003,0.32436197212753526,0.2635779967236458,0.0,0.025096669850702996,010780
17,현대산업,2020,Q3,건설,-0.10249179851413553,29.267844017171594,-0.03716524291415946,0.00024975958039674673,0.5463355460457389,-0.003650940729657992,0.0,-0.1878153767473577,012630
17,삼성엔지니어링,2020,Q3,건설,-0.09090921381618286,29.267844017171594,0.03590155670057471,0.7801329035607885,0.48006020101588853,0.007503264927110509,0.0,-0.08195998672991425,028050
17,대우건설,2020,Q3,건설,-0.02698955444961175,29.267844017171594,0.053767691005012,6.612851449497893,0.30134941259058556,0.01611146761786153,0.0,0.5392166771579858,047040
17,한전기술,2020,Q3,건설,-0.08128753115102193,29.267844017171594,-0.14217804900585573,0.01493968979207616,-3.4681386399466945,-0.028709528803274487,0.0,0.0406233475769224,052690
17,LG하우시스,2020,Q3,건설,0.019354056663425337,29.267844017171594,0.037637751151829324,0.1732733634630068,0.1110938390590186,-0.005930676784641986,0.0,-0.0677625482199529,108670
