,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,부채총계 변화율,이익잉여금 변화율,영업이익 변화율,비유동자산 변화율,기말 소유주식 지분율 변화율,Label,Code
28,대림산업,2017,Q4,건설,-0.11154265413313096,-0.3500195788744318,-0.10647172902937918,-0.03503274311522209,-1.0886000053583318,-0.03837015190205961,0.08608534322820027,0.2129153988623319,000210
28,현대건설,2017,Q4,건설,0.20833757687430982,-0.3500195788744318,-0.06610956910596366,-0.008224383075027153,-0.253185432857401,-0.022129381649396596,0.0,0.6705387223024034,000720
28,KCC,2017,Q4,건설,-0.10068709323209238,-0.3500195788744318,0.03764206291146843,0.22786317883446405,-0.5694468047373742,-0.05006029106776133,-0.15033878039059378,0.12443459816796966,002380
28,한일시멘트,2017,Q4,건설,-0.1328015080024008,-0.3500195788744318,0.014332597917792622,-0.008017994171037324,-0.3782433052052029,-0.0047064637445362045,0.03444419592932224,0.6821430087532918,003300
28,아이에스동서,2017,Q4,건설,-0.10459321326294091,-0.3500195788744318,-0.023922172098811978,0.019486974950244873,-0.33298130244030455,-0.018243361363502242,-0.0036496350364964014,0.03992921953393652,010780
28,현대산업,2017,Q4,건설,0.05853474064697794,-0.3500195788744318,0.09044688685676383,0.017133707330057923,0.14372560242074006,-0.014849624293850283,-0.10000000000000009,0.19995508195308825,012630
28,삼성엔지니어링,2017,Q4,건설,0.48502412230596204,-0.3500195788744318,-0.021206506543759884,6.63744188318254,3.0582646858086333,-0.02090553787895355,0.11219565099506523,0.034477340035136195,028050
28,대우건설,2017,Q4,건설,-0.11673522808773876,-0.3500195788744318,-0.07638658216166738,-5.468051958415938,-4.01528968736196,-0.008809939794810706,0.5,0.28179562188871515,047040
28,한전기술,2017,Q4,건설,0.810527552024306,-0.3500195788744318,0.0102108004525443,0.06093031035603591,12.346732695271303,-0.006165866159152378,0.0,0.23475502598554943,052690
28,LG하우시스,2017,Q4,건설,-0.08122129241574594,-0.3500195788744318,-0.04941792279298296,0.015558580002278388,-0.7078964194373402,0.06105298408108917,0.00033178500331776384,-0.014057198756545389,108670
