,name,year,quarter,sector,Relative Return,비유동자산 변화율,이익잉여금 변화율,소비자물가지수 변화율,금리 변화율,Label,Code
16,대림산업,2020,Q4,건설,-0.21579301763586795,-0.5087750210508719,-0.005284766133762053,-0.3780443147289393,0.13205764233403983,0.07292815733421597,000210
16,현대건설,2020,Q4,건설,0.06994546045774855,0.09368164869425133,-0.016883359446448365,-0.3780443147289393,0.13205764233403983,0.1974162064211117,000720
16,KCC,2020,Q4,건설,0.02498041641653362,0.11388270237631337,0.14289642782751022,-0.3780443147289393,0.13205764233403983,0.6421534929688676,002380
16,한일시멘트,2020,Q4,건설,-0.14547281365007764,-0.0993465310210846,-0.0020931755732968016,-0.3780443147289393,0.13205764233403983,0.33880704950811363,003300
16,아이에스동서,2020,Q4,건설,0.025096669850702996,0.06063084333274138,0.02180666715561852,-0.3780443147289393,0.13205764233403983,0.1793508924799348,010780
16,현대산업,2020,Q4,건설,-0.1878153767473577,-0.012033849025760546,-0.006927189660040911,-0.3780443147289393,0.13205764233403983,0.2533327674452463,012630
16,삼성엔지니어링,2020,Q4,건설,-0.08195998672991425,0.05709908364942318,0.49723441938669866,-0.3780443147289393,0.13205764233403983,0.3579821921973163,028050
16,대우건설,2020,Q4,건설,0.5392166771579858,-0.04544302739489714,0.5498387524184207,-0.3780443147289393,0.13205764233403983,0.1620721482639212,047040
16,한전기술,2020,Q4,건설,0.0406233475769224,0.011827940379599333,0.02876245354090079,-0.3780443147289393,0.13205764233403983,0.9012499083346235,052690
16,LG하우시스,2020,Q4,건설,-0.0677625482199529,-0.14550386137848226,-0.5367636400645187,-0.3780443147289393,0.13205764233403983,0.3544996258492094,108670
