,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,유동부채 변화율,Label,Code
8,유한양행,2022,Q4,헬스케어,-0.04341924912778849,-1.4332257287566448,0.028114435203607124,-0.027049842267886648,0.06423903945112985,0.08422430114085966,000100
8,일동제약,2022,Q4,헬스케어,-0.4629102238676061,50.48496689279329,0.17458928553337483,2.46548869451022,0.6121367331047911,-0.07049849609311148,000230
8,동아쏘시오홀딩스,2022,Q4,헬스케어,-0.08799314204559384,-2.687761933057202,-0.04519803264226607,-0.26732477879442185,0.12638322665440782,-0.08179994737427296,000640
8,부광약품,2022,Q4,헬스케어,-0.01689194641921392,-0.8108264750916867,0.008893178242985522,-0.011773676351884643,-0.044360661598986884,-0.016555608896838294,003000
8,영진약품,2022,Q4,헬스케어,0.0621983953460601,6.372878243506643,4.704712484286079,0.00924217936018712,-0.06812717131242163,-0.0429975109636127,003520
8,녹십자,2022,Q4,헬스케어,-0.05390522417246933,-1.4034510345034479,-0.020370775757484916,-0.12604755272820123,-0.12590021014051944,0.02518955971872306,006280
8,일양약품,2022,Q4,헬스케어,-0.032175523882569446,-0.928933111057107,-0.0013280378944423576,-0.019622981457428357,-0.012001951299896785,-0.03270437844605266,007570
8,서흥,2022,Q4,헬스케어,-0.1258111825675394,-1.188460383610321,-0.013203907256153946,-0.04100968081115075,-0.04116549594240293,-0.07148922121958703,008490
8,광동제약,2022,Q4,헬스케어,-0.0623101367041075,0.4023823640008979,0.02004902677043252,-0.004295251671385114,0.0388686004971619,0.04456560647099108,009290
8,SK텔레콤,2022,Q4,커뮤니케이션서비스,-0.05874943564335185,-0.8923908596944141,-0.009983682191215926,0.05962156290162479,0.14674359269049542,0.032823120372152716,017670
8,제일기획,2022,Q4,커뮤니케이션서비스,-0.1466436054507237,-1.2269215710281671,-0.015176625670299648,0.09833112622041051,0.1760886629754297,-0.08124400252393199,030000
8,KT,2022,Q4,커뮤니케이션서비스,-0.1392767187364564,-0.7229594222156602,0.018601765364776535,-0.13253750220527794,-0.07691424806503111,0.010661895697450643,030200
8,LG유플러스,2022,Q4,커뮤니케이션서비스,-0.05470524741470588,-0.029188073286883887,0.03057677072182652,-0.029872801116341052,-0.028735034510338764,-0.016454861470923503,032640
8,SBS,2022,Q4,커뮤니케이션서비스,0.3599824512713839,0.395331390322597,0.05843213354089127,0.0634634960647249,-0.025059981091847483,-0.20884391983456269,034120
8,NAVER,2022,Q4,커뮤니케이션서비스,0.07535334644320188,-1.137338638611408,-0.03483854818105947,0.1868549969675659,0.6329084182993592,0.00631858920626744,035420
8,엔씨소프트,2022,Q4,커뮤니케이션서비스,-0.1420235943519082,-1.1881981815158997,-0.011817109039411577,-0.04672379813714922,0.013562165166300044,-0.050681063999825866,036570
8,대웅제약,2022,Q4,헬스케어,-0.27721589401366126,-2.2505751423841183,-0.020212556295869377,-0.06902569172403539,0.07619534422916674,0.01965366423819441,069620
8,한미약품,2022,Q4,헬스케어,0.05742923487358205,-0.5864275135123974,0.07050982409424478,-0.09555049495751833,-0.009157879861019902,0.1040982669244066,128940
8,동아에스티,2022,Q4,헬스케어,-0.03320790542035765,-1.9189811088989845,0.008692640468141999,-0.1965563269871694,-0.2101125933620439,-0.05285487742783433,170900
8,종근당,2022,Q4,헬스케어,-0.010816597752292663,-0.6398873564604002,0.032868112867441734,0.004368883492241515,0.030382154611500622,0.050323351298373425,185750
