,name,year,quarter,sector,Relative Return,이익잉여금 변화율,금리 변화율,자산총계 변화율,자본총계 변화율,Label,Code
1,현대중공업,2024,Q3,중공업,0.05632699984763589,0.00039739250171177964,-0.11983510689291532,0.004429123798919132,0.0005746134870763253,0.06827607424592481,009540
1,삼성중공업,2024,Q3,중공업,0.15207878626156152,-0.033719424180400415,-0.11983510689291532,-0.10290656179920432,-0.051391439801208416,0.20166412534833592,010140
1,현대미포조선,2024,Q3,중공업,0.09890692446022838,-0.002515088700162038,-0.11983510689291532,-0.04900381286859534,-0.0016317831254003545,-0.11430236430236436,010620
1,한화테크윈,2024,Q3,중공업,0.37474988351701755,0.13444878547376082,-0.11983510689291532,-0.012456971493413849,-0.08202069941016699,0.6575669352243936,012450
1,SK텔레콤,2024,Q3,커뮤니케이션서비스,0.1480776425971261,0.003216821698364347,-0.11983510689291532,0.0017207472048055283,-0.00026174687475433167,-0.08517500198916134,017670
1,현대엘리베이,2024,Q3,중공업,0.2528290623784065,-0.0339281390165832,-0.11983510689291532,-0.02581777660935758,-0.014174673923998293,0.08052707568186233,017800
1,제일기획,2024,Q3,커뮤니케이션서비스,0.14019050476377237,0.0442610613555523,-0.11983510689291532,0.0034787408108447604,0.055086593650148785,-0.07174559595334251,030000
1,KT,2024,Q3,커뮤니케이션서비스,0.222114110545662,0.014110345713829409,-0.11983510689291532,-0.016664010597142953,0.009541442581192827,0.07411643234813965,030200
1,LG유플러스,2024,Q3,커뮤니케이션서비스,0.15455574478690715,0.0087767487506909,-0.11983510689291532,-0.009728111434147313,0.005685063783798405,0.009210228649106353,032640
1,두산중공업,2024,Q3,중공업,0.20670740391865988,0.04976893342736011,-0.11983510689291532,-0.004043170923549666,0.000944108418348133,0.23353615746646608,034020
1,SBS,2024,Q3,커뮤니케이션서비스,0.013590057813970768,-0.03395652051661546,-0.11983510689291532,-0.04496541270142784,-0.02655536318557583,0.27653325121706757,034120
1,NAVER,2024,Q3,커뮤니케이션서비스,0.27535199399224725,0.07939029093691197,-0.11983510689291532,0.07316684432483367,0.0953397828788567,0.06098019907187478,035420
1,엔씨소프트,2024,Q3,커뮤니케이션서비스,0.21888764133863128,-0.006547178494953343,-0.11983510689291532,-0.035668946517511846,-0.031206728708489506,-0.2889484908295588,036570
1,대우조선해양,2024,Q3,중공업,0.2569319148554025,0.2451116842833938,-0.11983510689291532,0.013443328860886394,-0.022905729434262723,1.028604995401358,042660
1,두산인프라코어,2024,Q3,중공업,0.11017816569474759,-0.052381011206186434,-0.11983510689291532,-0.03149928772012878,0.001765305166917086,0.24184906003087814,042670
1,현대로템,2024,Q3,중공업,0.29508604781721015,0.22508761835896696,-0.11983510689291532,-0.08341546902416186,0.056628293779568795,0.6486620465521739,064350
1,두산엔진,2024,Q3,중공업,0.269727500512098,-0.08671048073649723,-0.11983510689291532,-0.08086027081446234,0.03181920664430793,0.48149094039646645,082740
1,한진중공업,2024,Q3,중공업,0.043549697889725306,-0.03310505433955824,-0.11983510689291532,-0.20926500442681129,0.16703317716798938,1.4856741650392562,097230
