,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,유동부채 변화율,비유동부채 변화율,Label,Code
3,유한양행,2024,Q1,헬스케어,-0.05938153517806958,1.765336252551153,0.0020405948426291953,0.0015356074535868292,0.021421411239838317,0.052434805547293184,0.2848114793230269,000100
3,일동제약,2024,Q1,헬스케어,-0.06595967810721542,-0.8281934064383603,-0.043207941848579234,-0.3842170593714813,0.007956281417563327,-0.0407705242980797,0.037205930743872746,000230
3,조선내화,2024,Q1,철강_소재,-0.03284289441307822,-1.1831940695346221,-0.016812430830184244,-0.016511541856987777,-0.10719380296077008,2.470120779135426,-0.009551233660350482,000480
3,동아쏘시오홀딩스,2024,Q1,헬스케어,-0.09398115169705518,-1.933073800885915,0.04929815907515778,0.21210345604405867,0.049115340375418315,-0.005074681039576756,0.15859709832860064,000640
3,영풍,2024,Q1,철강_소재,-0.1913417954123733,-1.12123253599034,0.0014072893918761764,-0.10314635223671154,-0.11811230792370175,-0.012047533630111795,-0.19949026772444248,000670
3,동국제강,2024,Q1,철강_소재,0.028548288267116508,-1.1383422080741366,-0.001015554359956261,0.048044390435450834,1.0068005185463198,-0.22985469600849073,-0.036666990580011,001230
3,세아베스틸,2024,Q1,철강_소재,-0.08023989203481333,-20.401297295080507,0.0412993582690937,3.3866192510414006,0.19625570097794087,-0.0018353636142929286,-0.14035225361990383,001430
3,고려제강,2024,Q1,철강_소재,0.14439091227243822,0.9946087619360682,0.00847749148529453,0.12033895660078087,0.3228551709496932,0.06571228354623115,-0.20848484219148222,002240
3,부광약품,2024,Q1,헬스케어,0.02739847236300402,-1.2006249422964297,-0.18427315193051652,-0.013607529494710446,-0.07123805818331919,0.005525014894237845,-0.132677991624114,003000
3,세아제강,2024,Q1,철강_소재,0.024587676592854324,-1.9270902154362721,0.004907986542276754,0.9951091374632262,0.24836378000314152,-0.07205831632665971,-0.18026534526083993,003030
3,영진약품,2024,Q1,헬스케어,0.022138869449247443,-5.219667184668247,-0.23082436211594637,0.058668615217467135,0.17301683214290797,-0.159636715854501,0.21382556383006918,003520
3,현대제철,2024,Q1,철강_소재,-0.06897158170214987,-1.2168309923040108,-0.002180305928973003,-0.02643737498338783,-0.04402597452486989,0.0009227117561241283,-0.1563753635269633,004020
3,삼광글라스,2024,Q1,철강_소재,0.0357202492376105,2.1967588575741472,-0.013294224358720408,0.2841975850641043,0.03415379149336584,0.919445652351597,0.13213881684211737,005090
3,POSCO,2024,Q1,철강_소재,-0.12751720515276052,25.451226732730415,0.016203627802559017,0.16483819688641788,0.0340219113266671,0.015320853793130418,-0.14691335242608847,005490
3,녹십자,2024,Q1,헬스케어,-0.09395144067091342,-0.34067833240529966,-0.03082545277408577,0.06007068505198476,-0.12755960968830438,0.9198987307904416,0.3450960910556526,006280
3,일양약품,2024,Q1,헬스케어,-0.05179431666068886,-1.1890905779980305,-0.03187125218304143,0.07297589078472977,0.07417090412099192,0.0042039658672137215,0.12407645988741686,007570
3,서흥,2024,Q1,헬스케어,-0.0072312532263483715,-4.396864172179802,0.01964716239342512,0.046218369786034774,0.026002342968617365,-0.1433195900299995,-0.16301616890588347,008490
3,광동제약,2024,Q1,헬스케어,-0.06094678622268626,1.760716490066074,0.015857346584554843,0.049950655132848576,0.05957270570979878,-0.004617182163552447,-0.03642188886279837,009290
3,무림P&P,2024,Q1,철강_소재,0.009048081563072224,-1.0879346350091113,-0.015011722115773396,-0.03304332997977166,-0.011584469461218161,0.006870210413824962,0.01743315876677804,009580
3,고려아연,2024,Q1,철강_소재,0.05320753666750158,-0.4060202799383561,0.004901975058575037,-0.01818791529536523,-0.0068801105465309265,-0.017455061006064754,0.06665870650907076,010130
3,대웅제약,2024,Q1,헬스케어,-0.1442210789928504,-0.4722256083307217,0.0060585491469085095,0.003664304142891872,0.04523421721149812,-0.0003799465987336381,0.18219481517089292,069620
3,풍산,2024,Q1,철강_소재,0.6608558496112609,-0.027331712528220642,0.004574501744654347,0.014812342376100185,0.03710138809438446,0.012600456767027701,-0.23848212847762315,103140
3,한국철강,2024,Q1,철강_소재,0.6860382608668609,-0.21494508107150623,-0.033297222628799084,0.002774806710303279,0.1443201025241756,0.013980353325319328,-0.2676913364172515,104700
3,한미약품,2024,Q1,헬스케어,-0.06703902988820826,-0.23094344237799458,0.08509146838859327,0.07223448063210558,0.0052045204294730585,-0.0923704261457935,-0.06455449847522676,128940
3,동아에스티,2024,Q1,헬스케어,-0.16437181620274033,-1.1877499840738504,-0.023294388063333504,0.05705458899175708,-0.05194861168506437,0.4038586701792104,0.10768631637488779,170900
3,종근당,2024,Q1,헬스케어,-0.07600579313281458,-0.7124396791647214,0.02298158523306415,0.010010713855007625,0.0019360067138356474,0.05010690414480168,0.15354819751764934,185750
