,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,유동부채 변화율,Label,Code
15,유한양행,2021,Q1,헬스케어,0.028381352702002864,1.0336890190514691,0.000984028613457033,0.06853707352798266,0.28096555764971876,-0.03154098717449321,000100
15,일동제약,2021,Q1,헬스케어,-0.05209837758433877,-0.9702443805167796,-0.016148757339399578,-0.16844043461490488,0.016568014654390506,-0.07564943740893487,000230
15,동아쏘시오홀딩스,2021,Q1,헬스케어,0.15522541675913962,-0.5623770202466116,0.04617200999638982,0.6228467630406715,0.2409966949943505,-0.03757965376465787,000640
15,부광약품,2021,Q1,헬스케어,-0.12307251492606891,-1.3475711686026157,-0.035018076050506886,0.05370932489286151,0.0153836994912262,-0.006903933759275696,003000
15,영진약품,2021,Q1,헬스케어,-0.01782222708645972,-0.31905845525822585,-0.14265645225836088,0.0351326662239575,0.17826091662636334,-0.11320843568757336,003520
15,녹십자,2021,Q1,헬스케어,0.010559098662608922,-1.6879585802262536,-0.0039049224077422062,0.0011927430631590852,0.01920842424849134,-0.11135039035126715,006280
15,일양약품,2021,Q1,헬스케어,0.04858363004501072,-2.3716526286348776,0.06906575727118014,0.10932013989106437,0.08454339297885816,-0.09215167327279107,007570
15,서흥,2021,Q1,헬스케어,0.051612771858169336,11.688690745014755,0.03142217241916789,0.10517228333293138,0.1521914226721559,-0.0024974462839027715,008490
15,광동제약,2021,Q1,헬스케어,0.0425041024663672,0.24152854887099595,0.003927038740463518,-0.012724276161412917,0.0807923431485642,-0.07242752538901487,009290
15,SK텔레콤,2021,Q1,커뮤니케이션서비스,0.22431357743014252,25.876966500092543,-0.011768428926245966,-0.005918034362204949,-0.02221178613837671,-0.019158511337185838,017670
15,제일기획,2021,Q1,커뮤니케이션서비스,0.079842253040428,-0.7690042907435677,-0.0868289798769365,-0.10998181434949894,-0.02318066897029747,0.020513327195747593,030000
15,KT,2021,Q1,커뮤니케이션서비스,0.14838908409715276,-7.80012029170739,-0.0010926039242230567,0.018387212269209474,-0.006674972801770984,0.10855701705614026,030200
15,LG유플러스,2021,Q1,커뮤니케이션서비스,0.23651442304334377,-1.9856237361953648,0.0009772874611306825,0.05248568306772161,0.03966565174488479,-0.009723078554463811,032640
15,SBS,2021,Q1,커뮤니케이션서비스,0.3383103043648658,2.0195573817791552,0.07147075439258366,0.0811671816158499,0.19411609985169842,0.7944338262251008,034120
15,NAVER,2021,Q1,커뮤니케이션서비스,-0.12525002619150338,-0.09457244382392005,0.030787613742740527,1.1809764212579785,0.13062805923956256,0.29486922013960243,035420
15,엔씨소프트,2021,Q1,커뮤니케이션서비스,-0.12412710673813299,-0.3261049157146755,-0.033341716247256126,0.004034435887603216,0.7236997094626423,-0.0367189026763012,036570
15,대웅제약,2021,Q1,헬스케어,0.08006156625333917,-10.25749235126169,-0.06313969921044427,0.13146611183519852,0.18251695529367096,0.19366675195401076,069620
15,한미약품,2021,Q1,헬스케어,-0.033360489244546265,-0.6162566034686854,0.0011302641680199788,0.09941875660859312,0.04479662558305475,-0.031371689926315345,128940
15,동아에스티,2021,Q1,헬스케어,0.02088670980673501,-1.1360748408045291,-0.04329258435683081,0.009355496437972066,0.07693852083742025,-0.04653119264432603,170900
15,종근당,2021,Q1,헬스케어,-0.18394322257951018,0.3353845563877571,0.009341011740545246,-0.03977452676718818,0.030813384843100478,0.0025232492542080105,185750
