,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,유동부채 변화율,Label,Code
4,유한양행,2023,Q4,헬스케어,0.09501216460727777,0.13339119871199245,0.008934289881062263,-0.021314097610486527,-0.02377254315513866,-0.05938153517806958,000100
4,일동제약,2023,Q4,헬스케어,-0.18290683109768113,-1.4689917344373054,-0.1690850681510353,-0.12834139053508187,0.2538873952878127,-0.06595967810721542,000230
4,동아쏘시오홀딩스,2023,Q4,헬스케어,0.06673828483305849,-6.349401134283304,-0.07003817712350702,-0.004571027624243107,0.06545175022432859,-0.09398115169705518,000640
4,부광약품,2023,Q4,헬스케어,-0.031270062069607765,0.00935873807828802,-0.03455993105107302,0.2396473166291555,1.9388922077017048,0.02739847236300402,003000
4,영진약품,2023,Q4,헬스케어,-0.16696533678456976,0.5523632090927058,0.21333895705723815,0.06047934049834658,0.05133022548855415,0.022138869449247443,003520
4,녹십자,2023,Q4,헬스케어,0.05349638702774506,-1.7137813210457833,0.008884118467125779,-0.08803589698713454,-0.04001247854516743,-0.09395144067091342,006280
4,일양약품,2023,Q4,헬스케어,-0.129648217565095,-3.3765058191444446,-0.249753044417925,-0.135362268013822,-0.14973600087655303,-0.05179431666068886,007570
4,서흥,2023,Q4,헬스케어,-0.34901971392386616,-1.9175549918691153,-0.003978132528984046,-0.12362113529893515,-0.07107997846535019,-0.0072312532263483715,008490
4,광동제약,2023,Q4,헬스케어,-0.09776234306129312,-0.49144329214982274,0.0006366939317234976,-0.09471890846077524,0.003234926302652985,-0.06094678622268626,009290
4,SK텔레콤,2023,Q4,커뮤니케이션서비스,-0.05261054758572337,-0.5017464795613038,-0.00394816903379458,-0.007135186067010468,0.09706513798725558,-0.04163653217503588,017670
4,제일기획,2023,Q4,커뮤니케이션서비스,-0.22514020518944383,-2.147089454443573,-0.07283682502893873,0.27254319590224907,0.4276508779626098,0.03465818367887934,030000
4,KT,2023,Q4,커뮤니케이션서비스,0.03440493118280813,-0.5408430703961151,0.000252366987049113,-0.055533985808557285,0.004665146803319642,-0.0555379062467407,030200
4,LG유플러스,2023,Q4,커뮤니케이션서비스,-0.12344721092645021,-0.3752660108411966,0.01593491260799329,-0.030061868747904064,0.08247769185316733,-0.052109112061917456,032640
4,SBS,2023,Q4,커뮤니케이션서비스,-0.04232027923808333,0.952174173092144,0.0038366815965229506,-0.03613057068090286,0.01800458900464119,-0.21123754566672434,034120
4,NAVER,2023,Q4,커뮤니케이션서비스,-0.14323353031945135,-0.18124180808901547,0.019119645410526243,0.06100222435545,-0.18522412011732536,-0.03821944473012186,035420
4,엔씨소프트,2023,Q4,커뮤니케이션서비스,-0.3529001800138427,-1.5485663675462438,0.004675774851141901,-0.023118071288900532,-0.029043121716337272,0.13211350864126836,036570
4,대웅제약,2023,Q4,헬스케어,0.048743475475966636,0.011599457994778017,0.0702847801752089,-0.02545537338654147,0.01238780561272157,-0.1442210789928504,069620
4,한미약품,2023,Q4,헬스케어,0.029600978467908226,1.349515225149244,0.06042852802118559,0.03529998335635276,0.03034064418651794,-0.06703902988820826,128940
4,동아에스티,2023,Q4,헬스케어,0.24990245783200782,-1.7633340331208613,-0.09313933309368416,-0.059475161061117165,0.21266706286580628,-0.16437181620274033,170900
4,종근당,2023,Q4,헬스케어,-0.11728085040185014,1.1033134046764705,0.177212232631756,0.1588337110915261,0.0502367071290577,-0.07600579313281458,185750
