,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,자본총계 변화율,영업이익 변화율,당기순이익(손실) 변화율,Label,Code
20,CJ대한통운,2019,Q4,산업재,-0.012301943884613586,-0.0012809694310091935,-0.004098811930053681,0.003530937578351656,-0.01769495014950473,-3.1032621270613734,0.025137678403095942,000120
20,두산,2019,Q4,산업재,-0.2979587451550505,0.06250076830124329,-0.06723561175317128,0.501530454116482,1.2884476764833308,93.94929690373291,-0.0619823979223777,000150
20,SK하이닉스,2019,Q4,정보기술,0.17186527887685207,-0.0015672630805119159,0.0064018133974956815,-0.00681027555144853,-0.7023919355935166,-1.611205984422731,-0.12209308332041942,000660
20,LG상사,2019,Q4,산업재,-0.2911200836905169,-0.09602762656482078,-0.10567002220195065,-0.10600409858012327,0.454581279723709,-63.29080343207229,0.4870411980598478,001120
20,대한항공,2019,Q4,산업재,-0.1087596196296142,0.011900668705179918,-0.009066259695927892,0.04296919384864317,0.032887197831132475,-1.274397230169881,-0.06711625460812101,003490
20,LG,2019,Q4,정보기술,-0.026056770304569987,-0.01524098173652133,0.0024186667065766443,0.001835082931591181,-0.21488340053082644,-0.4847746999341144,-0.07293920663140668,003550
20,S&T중공업,2019,Q4,산업재,0.037368526319802337,-0.00446250993417685,0.007623138789691231,0.007561895427703247,2.0660948769752348,-0.03955399348304278,-0.025693149455158534,003570
20,한솔테크닉스,2019,Q4,정보기술,-0.16385875546968584,-0.034101062316815645,-0.15240029688122414,-0.07302259708452719,-1.792404754251462,-2.8156964952881482,0.5194818832059939,004710
20,삼성전자,2019,Q4,정보기술,0.10129919395021802,0.022245280693010683,-0.004908924766689138,0.0018000441203684936,0.7836000970754702,-0.21157376212687173,-0.09696352584938125,005930
20,LS,2019,Q4,산업재,-0.2392233589271565,0.45178590642686056,0.38961122937078363,0.5147484426499476,-25.965425531914892,-11.679075738125801,0.08320297003764945,006260
20,삼성SDI,2019,Q4,정보기술,0.22598516810216482,0.008609848036744472,0.015935068968686128,-0.0003542591238347992,-1.7130357497987405,-1.4737388569261904,0.17155230146981043,006400
20,대덕전자,2019,Q4,정보기술,-0.18100158147013987,-0.017899688428284377,0.004736753225047519,0.01799220415154501,-0.11394828577655258,1.8656465664841968,0.134552061293167,008060
20,삼성전기,2019,Q4,정보기술,0.07248153761811083,0.08507508518281548,-0.017453358621037474,-0.01766889134435423,0.03974273805526285,-1.4316017232063594,0.1276368549511855,009150
20,LS산전,2019,Q4,산업재,-0.18167880305954145,-0.0327782263802846,0.05109350285252923,0.017402514999639296,-0.05339648230404026,-0.196919040422751,0.10776428213565153,010120
20,LG이노텍,2019,Q4,정보기술,0.08242806168228194,-0.04681539220327324,-0.07695580816937408,0.026990624635847338,0.3005369731047458,-0.3753782223432346,0.2512662409160978,011070
20,현대상선,2019,Q4,산업재,-0.03853545725645083,-0.03536956535542124,0.017567746837855225,0.3676391081231347,-0.28023279673189205,0.36288511859542494,0.32902914131778693,011200
20,삼성에스디에스,2019,Q4,정보기술,-0.08633409967080893,-0.01346139489428444,-0.0007541664498353917,0.020867639777302882,0.7012694143859435,0.8510768432420963,0.09045764503192369,018260
20,일진머티리얼즈,2019,Q4,정보기술,-0.04097030756640763,0.7400150186415595,-0.010792076331886502,-0.0035830759439507975,-0.555205047318612,-0.8995067412035515,0.2907399251266241,020150
20,한국단자,2019,Q4,산업재,-0.28201623370976314,0.01102841510665642,-0.006569858329369183,0.008912955516658938,2.281348365433252,0.947086945141858,0.19886250430183489,025540
20,신도리코,2019,Q4,정보기술,-0.28160462578843937,-0.020506789349662213,-0.0018035946500094546,-0.006561741709558033,-1.4254959791799204,-2.5156631051498226,0.18616272382954258,029530
20,LG디스플레이,2019,Q4,정보기술,-0.04806081581326507,-0.0602062426635942,-0.06970578332925081,-0.1189712191238903,-0.03145140065190544,1.6835105365483805,-0.1678129688754333,034220
20,SK,2019,Q4,정보기술,-0.21643341839361938,0.012437324558915108,0.007067589908984484,-0.049409214372000854,-0.7202975498367958,0.46325241356297253,0.04683232654818445,034730
20,한미반도체,2019,Q4,정보기술,0.24713102901755674,-0.009227566001862475,0.051155487816305634,0.016310171956138042,-0.1257941721497443,-0.60404288278777,0.0741773931405178,042700
20,대우인터내셔널,2019,Q4,산업재,-0.2579080727714995,-0.040746448557292925,-0.08491145470998662,-0.00452473936860609,-0.37585107257101047,-1.3918044678219834,0.20168576799466376,047050
20,한국항공우주,2019,Q4,산업재,-0.27274543248236127,0.02757650293344538,-0.034062796825859776,-0.015708701863142438,0.5787547550724159,-1.0166221356853842,0.038400743840074414,047810
20,한전KPS,2019,Q4,산업재,0.08113376551161337,-0.01638691094263356,0.027184316102877748,0.08184805551081453,0.310842133732125,0.23748801305091805,-0.018563262419706503,051600
20,LG전자,2019,Q4,정보기술,-0.1049964682469918,0.002631524642029648,-0.03397669510073931,-0.041369313185409484,0.639212070846102,1.2382461125660282,0.002679899028320512,066570
20,현대글로비스,2019,Q4,산업재,-0.24324388512739695,0.01935104965406187,0.012509309771106425,0.046959364607410015,-0.08429633317122842,25.973651047351748,0.05401192526478418,086280
