,name,year,quarter,sector,Relative Return,매출액 변화율,부채총계 변화율,이익잉여금 변화율,국제유가 변화율,Label,Code
9,조선내화,2022,Q3,철강_소재,0.0007924334269140132,-0.06681435738702624,0.15399016188681847,0.001907992374612144,-0.11299650647329962,0.12929673357272164,000480
9,영풍,2022,Q3,철강_소재,0.29243453105298334,-0.021745133223447177,-0.012518076581978455,-0.013187655926474418,-0.11299650647329962,-0.19892443087406253,000670
9,동국제강,2022,Q3,철강_소재,-0.12025716539876316,-0.1354014875790347,-0.12130599584766266,0.12772149887489292,-0.11299650647329962,0.008803968088918833,001230
9,세아베스틸,2022,Q3,철강_소재,0.10859857971196203,0.34851560339528964,-0.04983544525734218,-0.001914271210727292,-0.11299650647329962,0.21857325560664387,001430
9,고려제강,2022,Q3,철강_소재,-0.11527759164887477,-0.09504439065996295,-0.04376518073261071,0.009394948612524878,-0.11299650647329962,0.18377656778504414,002240
9,세아제강,2022,Q3,철강_소재,-0.2145597434463611,-0.36958154947851596,0.29724537665643136,0.00611130869022225,-0.11299650647329962,0.0488594805333885,003030
9,현대제철,2022,Q3,철강_소재,-0.07399040146856845,-0.07905821637476984,-0.05918658466540905,0.021053957475607454,-0.11299650647329962,0.09820558012017783,004020
9,삼광글라스,2022,Q3,철강_소재,-0.14135042371594314,0.025959239163649173,0.02866025163318442,0.20063043992394491,-0.11299650647329962,-0.03292159565962588,005090
9,POSCO,2022,Q3,철강_소재,0.11231796104045152,-0.10497130874060367,-0.07239692590849056,-0.019639054957252156,-0.11299650647329962,0.15154149298591688,005490
9,무림P&P,2022,Q3,철강_소재,-0.040561255162158555,0.40581612371175946,0.057810475496817615,0.05352545848727597,-0.11299650647329962,-0.17689267089963867,009580
9,고려아연,2022,Q3,철강_소재,0.08485366462579058,-0.0016374679993841346,0.3166956543732813,0.014700698749829044,-0.11299650647329962,-0.07582018643055709,010130
9,SK텔레콤,2022,Q3,커뮤니케이션서비스,0.01864789207147642,0.0014129801759459326,-0.018566328246370056,0.008327753072880473,-0.11299650647329962,-0.05874943564335185,017670
9,제일기획,2022,Q3,커뮤니케이션서비스,0.06391421923812787,0.06328292242083311,0.14944479561248003,0.04135100886677101,-0.11299650647329962,-0.1466436054507237,030000
9,KT,2022,Q3,커뮤니케이션서비스,-0.00291953180614948,0.016010263284410353,-0.00026746459050430715,0.02017232130488722,-0.11299650647329962,-0.1392767187364564,030200
9,LG유플러스,2022,Q3,커뮤니케이션서비스,-0.01898226500035678,0.020183002815427953,-0.039512461914321784,0.01955612364472259,-0.11299650647329962,-0.05470524741470588,032640
9,SBS,2022,Q3,커뮤니케이션서비스,-0.27190250710621316,-0.07846052532924686,-0.10511758699342255,0.030613467796701377,-0.11299650647329962,0.3599824512713839,034120
9,NAVER,2022,Q3,커뮤니케이션서비스,-0.2505031089986652,-0.012209262245062247,-0.02972387121796327,0.04086942269583327,-0.11299650647329962,0.07535334644320188,035420
9,엔씨소프트,2022,Q3,커뮤니케이션서비스,0.2541229426276293,-0.042000621660016946,0.0552098494297113,0.060388145721928854,-0.11299650647329962,-0.1420235943519082,036570
9,풍산,2022,Q3,철강_소재,0.09121509174023877,-0.13392042139965765,-0.09303991526530031,0.020443596995413982,-0.11299650647329962,0.2826578363715629,103140
9,한국철강,2022,Q3,철강_소재,-0.10753713642375409,-0.10336096233471204,-0.05840635707650321,0.12445956319521345,-0.11299650647329962,0.18075517685300932,104700
