,name,year,quarter,sector,Relative Return,영업이익 변화율,유동부채 변화율,국제유가 변화율,수출액 변화율,Label,Code
29,하이트진로,2017,Q3,생활소비재,-0.001981459988192033,0.5812973041436831,0.022268483879229528,0.04912421985101645,0.03424542911228312,-0.07153284189618661,000080
29,CJ,2017,Q3,생활소비재,0.045448715919286786,0.07720992908927116,0.005254671807464195,0.04912421985101645,0.03424542911228312,-0.14833598925198915,001040
29,대상,2017,Q3,생활소비재,-0.124502577508572,0.5758926542829088,0.04484652863814542,0.04912421985101645,0.03424542911228312,0.12800909009407943,001680
29,오리온,2017,Q3,생활소비재,-0.005459134665010176,-1.591143741923669,-0.5187201700667978,0.04912421985101645,0.03424542911228312,-0.011359168765704857,001800
29,아모레G,2017,Q3,생활소비재,0.15783766278717792,-2.167211976792728,-0.1581185851361384,0.04912421985101645,0.03424542911228312,-0.02698996648868756,002790
29,남양유업,2017,Q3,생활소비재,-0.12800420780693628,-0.036288981514178476,0.14265465329183846,0.04912421985101645,0.03424542911228312,0.05408139316911795,003920
29,농심,2017,Q3,생활소비재,-0.03910110997365216,0.49376742879757685,0.02632730605073652,0.04912421985101645,0.03424542911228312,-0.06061892920748812,004370
29,빙그레,2017,Q3,생활소비재,-0.10708634507915683,0.7949771724552712,0.03394482500092533,0.04912421985101645,0.03424542911228312,0.024961978726841277,005180
29,롯데칠성,2017,Q3,생활소비재,-0.21125151497241576,0.49585454411015495,0.8298490084050323,0.04912421985101645,0.03424542911228312,0.0,005300
29,현대그린푸드,2017,Q3,생활소비재,-0.2418276399515148,0.11125352103169606,0.145153065433538,0.04912421985101645,0.03424542911228312,-0.022020781458245577,005440
29,삼립식품,2017,Q3,생활소비재,-0.12994220669409448,-0.7154356008471363,0.07535951098988503,0.04912421985101645,0.03424542911228312,-0.14903348758140963,005610
29,크라운제과,2017,Q3,생활소비재,-0.23437317751347925,-0.3755204260635553,0.011799439947461243,0.04912421985101645,0.03424542911228312,-0.20175310955912837,005740
29,GS리테일,2017,Q3,생활소비재,-0.21420762367075274,0.14135469522525956,0.34113511384383743,0.04912421985101645,0.03424542911228312,-0.10920171221904379,007070
29,오뚜기,2017,Q3,생활소비재,-0.08551896752858136,0.06835249076226235,0.032199396308041806,0.04912421985101645,0.03424542911228312,0.001421906037824626,007310
29,한국전력,2017,Q3,생활소비재,-0.22390797118682276,4.743557512841023,-0.12828125003942104,0.04912421985101645,0.03424542911228312,-0.07429485129617441,015760
29,KT&G,2017,Q3,생활소비재,-0.11074925009064832,-0.013454184074986997,0.4501274273559501,0.04912421985101645,0.03424542911228312,-0.05911545936527179,033780
29,무학,2017,Q3,생활소비재,-0.25373412198109335,-0.17110820558268258,-0.052242572159390877,0.04912421985101645,0.03424542911228312,0.0029167028065701928,033920
29,한국가스공사,2017,Q3,생활소비재,-0.23345477736653525,3.3336616100252847,-0.030816755087140768,0.04912421985101645,0.03424542911228312,0.22407366224247538,036460
29,팜스코,2017,Q3,생활소비재,-0.11817309188336764,0.12679203013447227,0.24553147602929615,0.04912421985101645,0.03424542911228312,0.10977666175640563,036580
29,동원F&B,2017,Q3,생활소비재,-0.09503457636833912,5.851482145293346,0.48491501806383086,0.04912421985101645,0.03424542911228312,0.0903775817697674,049770
29,LG생활건강,2017,Q3,생활소비재,0.17307042264152556,0.21199064973392479,-0.009176775341267596,0.04912421985101645,0.03424542911228312,0.03796492373412359,051900
29,에이블씨엔씨,2017,Q3,생활소비재,-0.15940956503481982,-1.4726324877454973,-0.27848363177760815,0.04912421985101645,0.03424542911228312,-0.004529163731303111,078520
29,아모레퍼시픽,2017,Q3,생활소비재,0.047417145870844835,-0.12222266065516252,-0.14799430926724255,0.04912421985101645,0.03424542911228312,0.03221990994907106,090430
29,CJ제일제당,2017,Q3,생활소비재,-0.017687478711536045,2.1529123089735682,0.1680794644961201,0.04912421985101645,0.03424542911228312,-0.1214853810513836,097950
29,락앤락,2017,Q3,생활소비재,0.5874181072855258,-0.31435548187856366,-0.11241317284015973,0.04912421985101645,0.03424542911228312,0.1608097505298847,115390
29,이마트,2017,Q3,생활소비재,-0.08791830190678612,1.497939079715216,0.011531136318086332,0.04912421985101645,0.03424542911228312,0.19162441401486838,139480
29,삼양사,2017,Q3,생활소비재,-0.1294369650566947,1.218110887811798,-0.031514000412649734,0.04912421985101645,0.03424542911228312,-0.034809952062502154,145990
29,한국콜마,2017,Q3,생활소비재,0.10711962666893787,-0.0850915238639759,0.05704767066991345,0.04912421985101645,0.03424542911228312,-0.051707128064539636,161890
29,코스맥스,2017,Q3,생활소비재,0.0672484432325403,-0.6627548252030986,0.03443568167649458,0.04912421985101645,0.03424542911228312,0.10937354370584254,192820
