,name,year,quarter,sector,Relative Return,국제유가 변화율,부채총계 변화율,이익잉여금 변화율,비유동부채 변화율,영업이익 변화율,소비자물가지수 변화율,Label,Code
1,하이트진로,2024,Q3,생활소비재,0.06823672954739804,-0.05674568795778523,0.006101223109356013,0.20229345615574257,-0.04871650070662881,0.027601185722398558,-0.2377021247854798,-0.09038091063838459,000080
1,CJ,2024,Q3,생활소비재,-0.059163245803340925,-0.05674568795778523,-0.014810714145760628,0.0015706634165100208,-0.02617929554325016,-0.704023394002781,-0.2377021247854798,0.2627874954263843,001040
1,대상,2024,Q3,생활소비재,-0.09678073320051425,-0.05674568795778523,-0.03757967114181393,0.038105239924037804,0.001712445881012048,0.377171622170114,-0.2377021247854798,0.20304523791053117,001680
1,오리온,2024,Q3,생활소비재,0.12731873388248122,-0.05674568795778523,0.03103512203275849,-0.005184301363211574,0.003328223742850245,0.8849493396922199,-0.2377021247854798,-0.12474259231334706,001800
1,아모레G,2024,Q3,생활소비재,0.0063917608834866135,-0.05674568795778523,0.2783051232784155,0.0014327920366696834,0.6141843204715436,-0.429601428399477,-0.2377021247854798,-0.09334782864194635,002790
1,남양유업,2024,Q3,생활소비재,0.4641145683163189,-0.05674568795778523,-0.0850778181556715,-0.03314283757212089,-0.0647405051450548,-1.1548881875871844,-0.2377021247854798,0.0,003920
1,농심,2024,Q3,생활소비재,-0.07293287864881526,-0.05674568795778523,0.13616491399878194,0.008694587413839994,1.4156469687842432,-0.021433063125544494,-0.2377021247854798,0.04113043818926176,004370
1,빙그레,2024,Q3,생활소비재,-0.11972007385289135,-0.05674568795778523,0.05296202104961156,0.7356300022509192,-0.07005627763353373,0.4527360823196016,-0.2377021247854798,0.45924619934520927,005180
1,롯데칠성,2024,Q3,생활소비재,-0.12846413187448424,-0.05674568795778523,-0.026202627764274733,0.023116925610270123,-0.05690666951576495,0.6228277290360287,-0.2377021247854798,-0.06301574313110829,005300
1,현대그린푸드,2024,Q3,생활소비재,0.18270638957002555,-0.05674568795778523,-0.0760069885797886,-0.0023079607644305167,-0.094421526820062,-1.6794013178693412,-0.2377021247854798,0.05270023692154836,005440
1,삼립식품,2024,Q3,생활소비재,-0.032944255213092855,-0.05674568795778523,-0.106969175848878,0.024647845358544362,-0.046284003700138854,-0.20061087876944772,-0.2377021247854798,0.08493895810072279,005610
1,크라운제과,2024,Q3,생활소비재,-0.007127261749040575,-0.05674568795778523,0.018160014326479068,-0.003933086332755575,0.014296401444082285,6.432489082727595,-0.2377021247854798,-0.08419982794982804,005740
1,GS리테일,2024,Q3,생활소비재,0.08145056787194851,-0.05674568795778523,-0.02223739752128373,-0.0210034291048935,0.005346152284403827,-0.05643250591997173,-0.2377021247854798,-0.18960436985019197,007070
1,오뚜기,2024,Q3,생활소비재,0.03902453230191315,-0.05674568795778523,-0.004485103529253798,0.015388526571929795,-0.02640373454737477,0.06972111048144725,-0.2377021247854798,-0.04256229881229883,007310
1,한국전력,2024,Q3,생활소비재,0.2649357861519537,-0.05674568795778523,0.02501331010472807,-0.6142838510465987,0.04843302749028422,7.341343510462822,-0.2377021247854798,-0.10036977220997267,015760
1,KT&G,2024,Q3,생활소비재,0.31822761978690717,-0.05674568795778523,0.07063829583063597,0.03198652755667242,-0.15081631318525623,0.08963048203554536,-0.2377021247854798,-0.3040799139884506,033780
1,무학,2024,Q3,생활소비재,0.06045197120200148,-0.05674568795778523,0.1934241717956402,0.0048639523775722004,-0.7223961603960414,-0.5226052065298414,-0.2377021247854798,0.04132659007659005,033920
1,한국가스공사,2024,Q3,생활소비재,-0.027917800186637837,-0.05674568795778523,-0.04441317555207436,0.050734776341274435,-0.023906555390554862,-0.18989072856476452,-0.2377021247854798,-0.20923502173502176,036460
1,팜스코,2024,Q3,생활소비재,-0.08207382290383906,-0.05674568795778523,0.05541119383729254,0.17332951679709452,0.21494601259600277,0.20971759583673655,-0.2377021247854798,0.004793129953240036,036580
1,동원F&B,2024,Q3,생활소비재,-0.02768518294209326,-0.05674568795778523,-0.117649483857445,0.7928444950552618,-0.4407849796925294,2.357186804056361,-0.2377021247854798,0.008644421260993278,049770
1,LG생활건강,2024,Q3,생활소비재,0.11555424328540564,-0.05674568795778523,0.02660851006599496,0.01361743504889179,-0.029978898943636034,-0.17894570279635558,-0.2377021247854798,-0.0760206560810791,051900
1,에이블씨엔씨,2024,Q3,생활소비재,-0.10314156663570528,-0.05674568795778523,-0.23555299323116596,0.027731473450230082,-0.06558642173229046,0.4923585001596933,-0.2377021247854798,0.011524257892849443,078520
1,아모레퍼시픽,2024,Q3,생활소비재,0.06697085514344364,-0.05674568795778523,-0.04537441028122158,0.004976305147825322,-0.05082441727896636,26.1658677681925,-0.2377021247854798,-0.035625561652958965,090430
1,CJ제일제당,2024,Q3,생활소비재,-0.23168930144823155,-0.05674568795778523,-0.10438644040142608,0.0044165992861144865,-0.020051941624939063,0.38012880597466214,-0.2377021247854798,-0.05181485181485187,097950
