,name,year,quarter,sector,Relative Return,영업이익 변화율,유동부채 변화율,국제유가 변화율,수출액 변화율,Label,Code
1,하이트진로,2024,Q3,생활소비재,0.06823672954739804,0.027601185722398558,0.02669055799099107,-0.05674568795778523,-0.0051857654838392,-0.09038091063838459,000080
1,CJ,2024,Q3,생활소비재,-0.059163245803340925,-0.704023394002781,0.01601922912939613,-0.05674568795778523,-0.0051857654838392,0.2627874954263843,001040
1,대상,2024,Q3,생활소비재,-0.09678073320051425,0.377171622170114,-0.06747403908439165,-0.05674568795778523,-0.0051857654838392,0.20304523791053117,001680
1,오리온,2024,Q3,생활소비재,0.12731873388248122,0.8849493396922199,0.053437859233810725,-0.05674568795778523,-0.0051857654838392,-0.12474259231334706,001800
1,아모레G,2024,Q3,생활소비재,0.0063917608834866135,-0.429601428399477,-0.3565726404633178,-0.05674568795778523,-0.0051857654838392,-0.09334782864194635,002790
1,남양유업,2024,Q3,생활소비재,0.4641145683163189,-1.1548881875871844,-0.10129575391224821,-0.05674568795778523,-0.0051857654838392,0.0,003920
1,농심,2024,Q3,생활소비재,-0.07293287864881526,-0.021433063125544494,-0.07803609557828062,-0.05674568795778523,-0.0051857654838392,0.04113043818926176,004370
1,빙그레,2024,Q3,생활소비재,-0.11972007385289135,0.4527360823196016,0.07759926760605129,-0.05674568795778523,-0.0051857654838392,0.45924619934520927,005180
1,롯데칠성,2024,Q3,생활소비재,-0.12846413187448424,0.6228277290360287,0.001419195010532226,-0.05674568795778523,-0.0051857654838392,-0.06301574313110829,005300
1,현대그린푸드,2024,Q3,생활소비재,0.18270638957002555,-1.6794013178693412,-0.06451776048660329,-0.05674568795778523,-0.0051857654838392,0.05270023692154836,005440
1,삼립식품,2024,Q3,생활소비재,-0.032944255213092855,-0.20061087876944772,-0.14341133868425104,-0.05674568795778523,-0.0051857654838392,0.08493895810072279,005610
1,크라운제과,2024,Q3,생활소비재,-0.007127261749040575,6.432489082727595,0.019171532689275184,-0.05674568795778523,-0.0051857654838392,-0.08419982794982804,005740
1,GS리테일,2024,Q3,생활소비재,0.08145056787194851,-0.05643250591997173,-0.048572254360067735,-0.05674568795778523,-0.0051857654838392,-0.18960436985019197,007070
1,오뚜기,2024,Q3,생활소비재,0.03902453230191315,0.06972111048144725,0.000880858394758155,-0.05674568795778523,-0.0051857654838392,-0.04256229881229883,007310
1,한국전력,2024,Q3,생활소비재,0.2649357861519537,7.341343510462822,0.0021741615784551804,-0.05674568795778523,-0.0051857654838392,-0.10036977220997267,015760
1,KT&G,2024,Q3,생활소비재,0.31822761978690717,0.08963048203554536,0.13898536321087263,-0.05674568795778523,-0.0051857654838392,-0.3040799139884506,033780
1,무학,2024,Q3,생활소비재,0.06045197120200148,-0.5226052065298414,0.24549463919538494,-0.05674568795778523,-0.0051857654838392,0.04132659007659005,033920
1,한국가스공사,2024,Q3,생활소비재,-0.027917800186637837,-0.18989072856476452,-0.07258084551686217,-0.05674568795778523,-0.0051857654838392,-0.20923502173502176,036460
1,팜스코,2024,Q3,생활소비재,-0.08207382290383906,0.20971759583673655,0.051115367523635324,-0.05674568795778523,-0.0051857654838392,0.004793129953240036,036580
1,동원F&B,2024,Q3,생활소비재,-0.02768518294209326,2.357186804056361,0.01572281751746707,-0.05674568795778523,-0.0051857654838392,0.008644421260993278,049770
1,LG생활건강,2024,Q3,생활소비재,0.11555424328540564,-0.17894570279635558,0.042610963345296904,-0.05674568795778523,-0.0051857654838392,-0.0760206560810791,051900
1,에이블씨엔씨,2024,Q3,생활소비재,-0.10314156663570528,0.4923585001596933,-0.29486852092661475,-0.05674568795778523,-0.0051857654838392,0.011524257892849443,078520
1,아모레퍼시픽,2024,Q3,생활소비재,0.06697085514344364,26.1658677681925,-0.043703000719201746,-0.05674568795778523,-0.0051857654838392,-0.035625561652958965,090430
1,CJ제일제당,2024,Q3,생활소비재,-0.23168930144823155,0.38012880597466214,-0.16885493125848905,-0.05674568795778523,-0.0051857654838392,-0.05181485181485187,097950
1,락앤락,2024,Q3,생활소비재,0.10791288764404999,-1.2136808165581323,0.059734839568863496,-0.05674568795778523,-0.0051857654838392,-0.09761508652637695,115390
1,이마트,2024,Q3,생활소비재,0.048651835992118864,-6.846521131004497,0.16460612789460738,-0.05674568795778523,-0.0051857654838392,0.32766902466134545,139480
1,삼양사,2024,Q3,생활소비재,0.13289523792312677,-0.23357145671651403,-0.10079997970000809,-0.05674568795778523,-0.0051857654838392,-0.13094026392455707,145990
1,한국콜마,2024,Q3,생활소비재,0.005590776634040895,-0.15792272713840327,-0.12282267290653481,-0.05674568795778523,-0.0051857654838392,0.09384432057304397,161890
1,코스맥스,2024,Q3,생활소비재,0.23282755686744405,0.14292315558381707,-0.20277745972291983,-0.05674568795778523,-0.0051857654838392,0.29717806945529723,192820
