,name,year,quarter,sector,Relative Return,이익잉여금 변화율,부채총계 변화율,매출액 변화율,유동자산 변화율,유동부채 변화율,법인세차감전 순이익 변화율,Label,Code
1,조선내화,2024,Q3,철강_소재,0.08784612279377998,-0.03606813228289352,-0.3023840777216955,-0.7958279457918038,-0.3426337756265676,-0.3690429160699702,-2.337591745798588,-0.09158966033966043,000480
1,영풍,2024,Q3,철강_소재,0.5465368830365995,0.018963873065243275,0.602243085082431,-0.03447722683178023,0.8573666162759424,1.2171853871855771,2.969584955486524,0.06005069000824606,000670
1,동국제강,2024,Q3,철강_소재,0.049555744786907135,0.0018179818582024776,-0.07563439497147251,0.7741807447281785,-0.025036303762131285,-0.17803344089289574,7.362498927667465,-0.057277013527013546,001230
1,세아베스틸,2024,Q3,철강_소재,0.3329772278839628,0.06406130841838542,-0.2782176537992397,16.74023170037393,-0.48032544724326864,-0.41095737309957325,-70.19704504459632,-0.17445068944508407,001430
1,고려제강,2024,Q3,철강_소재,0.06741695319321186,0.003329466970329431,-0.06758527249068125,-0.09453618228589877,-0.027717093574517127,-0.11952345436792866,-0.6250116908114463,-0.06569340174750632,002240
1,세아제강,2024,Q3,철강_소재,0.19260601248470607,-0.007169778634204649,0.040440504942627964,-0.64666403753243,3.4348587977732077,0.9457536925552268,-2.314606601177621,0.4299323864541255,003030
1,현대제철,2024,Q3,철강_소재,-0.043175915444753105,-0.004641271730100649,-0.038291436659420364,-0.08013288385384587,-0.03898092378586737,-0.0006895959942248009,-5.266473491504564,0.2755988197848662,004020
1,삼광글라스,2024,Q3,철강_소재,0.05594463367579603,0.07709210896685681,0.008985273474556132,-0.04140058354598142,0.08665787560141225,0.026210193126276815,-0.40963308544096266,-0.11843156843156838,005090
1,POSCO,2024,Q3,철강_소재,-0.0031877864155281654,-0.005920181731375984,-0.38259695995558074,1.5163762369579037,-0.3264015688454156,-0.9333716772835724,1.1018967408562732,-0.019752738610870058,005490
1,무림P&P,2024,Q3,철강_소재,-0.07226464356260742,0.019936310455429096,0.0008871952760116653,0.04849812318387792,-0.038653611854443604,-0.05221914339259426,-0.5086963345744653,0.08373467084097,009580
1,고려아연,2024,Q3,철강_소재,1.3240690380008862,-0.001392235904259409,0.3726161496578333,0.020901273606985127,0.10058581619446483,0.35107570981065295,-0.010840285408243777,-0.36534667158399414,010130
1,풍산,2024,Q3,철강_소재,0.18384274839701545,0.03342103405524943,-0.07942208465043821,-0.15130254478481842,-0.0484008739376649,-0.0929266500823005,-0.5782188022027264,-0.025365681615681597,103140
1,한국철강,2024,Q3,철강_소재,0.1936049549934685,0.018712169665720202,-0.07453617993362205,-0.13879288445935356,-0.026014673126641852,-0.11950347099036418,0.3571935137876905,-0.18304997168186155,104700
