,name,year,quarter,sector,Relative Return,이익잉여금 변화율,매출액 변화율,부채총계 변화율,유동부채 변화율,유동자산 변화율,금리 변화율,Label,Code
25,조선내화,2018,Q3,철강_소재,0.060034130245770104,0.021014121050420442,-0.022489216885257735,0.025467225772622504,0.03408186838856553,-0.05052484395798962,-0.09246405552800974,-0.025609331002890156,000480
25,영풍,2018,Q3,철강_소재,0.01968765964791773,-0.009274575163597198,-0.09156337497093014,-0.04245293026995167,-0.07588432699521597,-0.059612395935268236,-0.09246405552800974,0.12218307211157567,000670
25,동국제강,2018,Q3,철강_소재,0.02612876541294519,-0.006474887996020695,-0.0050210825001894,-0.013116487118715825,0.024324711626509732,0.0021475234566092904,-0.09246405552800974,-0.062160127067464835,001230
25,세아베스틸,2018,Q3,철강_소재,-0.15861426534196105,-0.0009494716715194862,-0.019749552039205698,-0.011694881687215886,-0.047234199041490066,-0.0036084112504508603,-0.09246405552800974,0.20357265642570999,001430
25,고려제강,2018,Q3,철강_소재,-0.2045370282521643,0.0022517277539828573,-0.06826315338651623,-0.007091935024021945,-0.02258482278146745,0.012602394499126701,-0.09246405552800974,0.19022958976199286,002240
25,세아제강,2018,Q3,철강_소재,-0.0832958909385321,0.09916028609696825,-0.6763854610769867,-0.9285479570239747,-0.9801786574033521,-0.9081122925650839,-0.09246405552800974,0.021732410607735387,003030
25,현대제철,2018,Q3,철강_소재,-0.08244617593621238,-0.0025305342157606603,-0.02573241700490836,-0.0031847275838913225,-0.12189210524044192,0.007187520951928539,-0.09246405552800974,-0.021121097645803617,004020
25,삼광글라스,2018,Q3,철강_소재,-0.17173386841433358,-0.06097758735058523,-0.12888726085049518,-0.0636406255145201,0.010905740410992681,0.0779672347466962,-0.09246405552800974,0.29197219699111515,005090
25,POSCO,2018,Q3,철강_소재,-0.1242611698260163,0.016325669011795663,0.026043734105955174,0.164777293565888,0.059359960211180285,0.1424478428525393,-0.09246405552800974,-0.03731412057645239,005490
25,무림P&P,2018,Q3,철강_소재,-0.11924620668297435,0.07021719533711268,0.012588579032224434,0.0010628458387000883,0.028450210132001663,0.08652101271867685,-0.09246405552800974,-0.2267205463851725,009580
25,고려아연,2018,Q3,철강_소재,0.16521187817907673,0.021343649898618144,-0.0365632555857035,-0.21317964323787486,-0.26358914279134293,0.008690282697960905,-0.09246405552800974,0.07110274263109478,010130
25,풍산,2018,Q3,철강_소재,-0.09189757252526141,0.0014354445807061023,-0.1164522791392899,-0.04237605091852836,-0.07924665713679835,-0.032440714941814996,-0.09246405552800974,0.03690462942354761,103140
25,한국철강,2018,Q3,철강_소재,-0.013510360431905621,-0.09203322350716125,-0.07310695450313409,0.062058311486513196,0.06604063281218098,0.002948218471132469,-0.09246405552800974,0.04774988881531862,104700
