,name,year,quarter,sector,Relative Return,매출액 변화율,이익잉여금 변화율,부채총계 변화율,실업률 변화율,유동부채 변화율,영업이익 변화율,Label,Code
30,조선내화,2017,Q2,철강_소재,-0.02640715550954606,0.05314659312081371,0.01804364062492314,0.04686662449962786,-0.00900900900900925,0.043116307070664606,-0.6827546321711365,-0.11991074077387812,000480
30,영풍,2017,Q2,철강_소재,0.29021330345292834,0.008289285528745749,9.292807380423262e-05,-0.04819501663650039,-0.00900900900900925,-0.14560132876497156,-0.9221552174439398,-0.27665695512988575,000670
30,동국제강,2017,Q2,철강_소재,0.19288809049702133,0.012552682588715891,0.0137998678092639,-0.0016299342044192588,-0.00900900900900925,-0.005316603211691695,0.3200195896291127,-0.28486405848185525,001230
30,세아베스틸,2017,Q2,철강_소재,0.20002730313906575,0.10239299637106769,0.03662573868956054,-0.017810816528807782,-0.00900900900900925,-0.02025208146708468,1.0093603902614436,-0.17756082215131305,001430
30,고려제강,2017,Q2,철강_소재,-0.010083708129498934,0.13092257618184266,0.006417223141002237,0.05229438198915615,-0.00900900900900925,0.06581458562427844,-0.07245535751497911,-0.15310665999786077,002240
30,세아제강,2017,Q2,철강_소재,-0.017093896196598794,0.18960421364773117,0.012912367727275775,0.07006560943536777,-0.00900900900900925,0.25669344747737544,-0.22824974648841956,-0.16512877437760978,003030
30,현대제철,2017,Q2,철강_소재,0.04545798562010793,0.08049433263515415,0.012621823257210396,-0.014360297254443766,-0.00900900900900925,0.003083460622205214,0.21803231583898008,-0.12824034758113034,004020
30,삼광글라스,2017,Q2,철강_소재,-0.06572561177038602,0.23309544958049644,-0.01926059755835574,0.026552659839886195,-0.00900900900900925,0.03847208748609754,1.1609517466708676,-0.17576587902238744,005090
30,POSCO,2017,Q2,철강_소재,0.14930127845422647,0.009466466719996847,0.00869232962408839,-0.06465136344560629,-0.00900900900900925,-0.1994600226963935,-0.26454860611398523,-0.10244012501573532,005490
30,무림P&P,2017,Q2,철강_소재,0.08599852616064847,0.031305735920747146,0.008260390733870526,0.007781832755559437,-0.00900900900900925,-0.030786042912169465,0.5817795252754585,-0.08935837027462207,009580
30,고려아연,2017,Q2,철강_소재,0.1031196006612024,0.03696465964970952,0.02903497509034847,-0.024443580163080125,-0.00900900900900925,-0.04352071399690949,0.0463601209824569,-0.04154077740391476,010130
30,풍산,2017,Q2,철강_소재,0.31121273990611337,0.018880953578704007,0.08473922790786492,-0.05466816190284862,-0.00900900900900925,-0.19704792585179687,-0.22290742674030484,-0.21758390094703828,103140
30,한국철강,2017,Q2,철강_소재,0.022062474605313236,0.16577255960401316,0.1087558180381687,-0.04531515200999425,-0.00900900900900925,-0.07905765603699988,1.4668467808469536,-0.23449774774617646,104700
