,name,year,quarter,sector,Relative Return,매출액 변화율,이익잉여금 변화율,부채총계 변화율,실업률 변화율,유동부채 변화율,영업이익 변화율,Label,Code
21,조선내화,2019,Q3,철강_소재,-0.03144183754940612,-0.03795445193158342,0.013453926118402793,0.09871366089990796,-0.05084745762711873,0.012191296781716154,-5.647318378388948,-0.0801617267083218,000480
21,영풍,2019,Q3,철강_소재,-0.07773391307052892,-0.06767249275096132,0.001026945375974364,-0.07404132351690362,-0.05084745762711873,-0.16670814961406466,-0.8076408214510364,-0.06864437869804776,000670
21,동국제강,2019,Q3,철강_소재,-0.10926373781301162,-0.059688266739921,-0.04065896588193629,-0.02888668122987359,-0.05084745762711873,-0.07292720708140521,-0.3722594254498489,-0.23015265352589184,001230
21,세아베스틸,2019,Q3,철강_소재,-0.022017793378926218,-0.14704193177747826,-0.009394106420538062,0.04693712246961046,-0.05084745762711873,-0.004775270904328943,-2.5341369433514775,-0.40263041274606515,001430
21,고려제강,2019,Q3,철강_소재,-0.1426712206449453,-0.137657211994467,0.002726227117547886,-0.044520317203429194,-0.05084745762711873,-0.06473986643653251,-0.588966702625529,-0.20833910725425817,002240
21,세아제강,2019,Q3,철강_소재,-0.1571294559099436,0.606989824781458,0.004590828162763794,0.17208350652767535,-0.05084745762711873,2.277147559881106,-1.486585690693204,-0.35538363092121505,003030
21,현대제철,2019,Q3,철강_소재,-0.23592363470412236,-0.1113385366684494,-0.004507150868397036,-0.013020789056689241,-0.05084745762711873,-0.07396689751446983,-0.8447280969451361,-0.27326187784493083,004020
21,삼광글라스,2019,Q3,철강_소재,-0.20192616725131085,-0.4338666643091328,-0.024821525533567534,-0.10578562092269617,-0.05084745762711873,-0.0992833316553372,-0.754157342111921,0.012278646620486292,005090
21,POSCO,2019,Q3,철강_소재,-0.0369371482176359,0.034784114886201145,0.007239720428508178,0.10279289324922036,-0.05084745762711873,-0.09033189375992057,-0.08535515150158812,-0.07712050684768068,005490
21,무림P&P,2019,Q3,철강_소재,0.009717781359828884,-0.09729627817080866,0.009909477493208696,-0.07553127313293251,-0.05084745762711873,-0.20440427640053904,-0.5895756465591832,-0.24961119541443214,009580
21,고려아연,2019,Q3,철강_소재,-0.14105694574294525,-0.048441178936174834,0.02421250824795229,0.04500700180991757,-0.05084745762711873,0.05457026412474053,-0.2050634947250658,0.021251591094046646,010130
21,풍산,2019,Q3,철강_소재,-0.08783622014338996,-0.06557897937361468,-0.0038486278834268806,0.006175501526227478,-0.05084745762711873,0.03227804705335169,-0.6289360979305723,-0.03890384237774755,103140
21,한국철강,2019,Q3,철강_소재,-0.12556780148396757,-0.04208016594596553,0.08894705040002115,0.21116115028282323,-0.05084745762711873,0.25167889696425316,-2.6415499569234937,-0.17810207629883643,104700
