,name,year,quarter,sector,Relative Return,유동부채 변화율,법인세차감전 순이익 변화율,이익잉여금 변화율,매출액 변화율,유동자산 변화율,Label,Code
18,조선내화,2020,Q2,철강_소재,-0.2982992105524605,0.09583778107663954,5.967438962143911,0.08730150199418363,-0.11596517020427222,0.15114807379455208,0.05136604289461466,000480
18,영풍,2020,Q2,철강_소재,-0.2526805617673693,-0.16475681615026116,-1.1153800682235886,-0.002913262504945502,-0.06651319941108569,-0.0036659959497817862,-0.06213608214944069,000670
18,동국제강,2020,Q2,철강_소재,0.3783807143278998,-0.07531036980202777,-11.545669818183182,0.09970404776646213,0.04458364543033588,-0.08829233845380546,0.016271773013448287,001230
18,세아베스틸,2020,Q2,철강_소재,-0.08483782192949313,-0.0014050753301011465,-6.894467494892967,0.02000780717357542,-0.3241123398863429,-0.08452793601326092,-0.14271610257959336,001430
18,고려제강,2020,Q2,철강_소재,-0.059066734343241445,-0.14927672708525497,-0.7619787799944265,0.002999073757935289,-0.06041042131240992,-0.11446047163926942,-0.14117950358536724,002240
18,세아제강,2020,Q2,철강_소재,0.37429697393218236,-0.2407321516747457,-1.3393436806587946,0.006129302551701521,-0.8418025233297858,-0.5927159541596441,-0.048352798152391165,003030
18,현대제철,2020,Q2,철강_소재,0.15544475063156044,-0.0793226312656864,-1.0660945534303066,-0.00032206911679077965,-0.11237570136979935,-0.018207511292338885,0.10119407250287302,004020
18,삼광글라스,2020,Q2,철강_소재,-0.03189288561042025,-0.11977727597053456,-0.855758036682422,0.0005341644199530204,-0.283391758563477,-0.03570177316283907,0.025553002934539888,005090
18,POSCO,2020,Q2,철강_소재,-0.03363830006980109,0.13364052187173536,-1.0822369967453702,-0.0025247546360125384,-0.1556750096145707,-0.036468551373750935,0.10712055818630567,005490
18,무림P&P,2020,Q2,철강_소재,-0.3122142281300217,0.09003962040176217,-0.4145588371905,0.006545624814388473,-0.1376927479596981,0.09743272859334762,0.010531683021133421,009580
18,고려아연,2020,Q2,철강_소재,-0.09574036105832615,-0.042173307716633746,-0.10433930607274677,0.021230990994615118,-0.06301245741010753,-0.02958705974443454,-0.1474532915728377,010130
18,풍산,2020,Q2,철강_소재,0.03762368281049261,-0.14716731194830301,6.557510154930163,0.01578759737136881,0.12282749862607245,-0.056030744822969436,-0.003700735476576851,103140
18,한국철강,2020,Q2,철강_소재,-0.17757254259229416,0.06785464136076458,0.10391193476376559,0.10354270380240549,0.1813973522061869,0.04458381314891824,0.05259639742040665,104700
