,name,year,quarter,sector,Relative Return,매출액 변화율,이익잉여금 변화율,부채총계 변화율,실업률 변화율,유동부채 변화율,영업이익 변화율,Label,Code
33,조선내화,2016,Q3,철강_소재,0.05567980570589828,0.013266443858707788,0.011783632523946874,-0.06476704196923178,0.08411214953271018,-0.08856442131175879,0.11322826255781293,-0.14737252375136384,000480
33,영풍,2016,Q3,철강_소재,-0.025629221514891963,0.0381807557997198,0.0040715517674208,0.053097001355985274,0.08411214953271018,0.2869949060420611,-0.6143196229731653,-0.23635428470249803,000670
33,동국제강,2016,Q3,철강_소재,-0.011003397168905325,-0.05250628823733039,0.061004749353227083,-0.05044047747377578,0.08411214953271018,-0.0568408501733767,-0.495395199181217,0.2366102338807522,001230
33,세아베스틸,2016,Q3,철강_소재,-0.055046075965483075,-0.12046353944958499,0.014719886954358552,-0.07354733089886478,0.08411214953271018,-0.0766568864381334,-0.7015923912185398,0.013813479603057802,001430
33,고려제강,2016,Q3,철강_소재,0.10708222189381547,-0.10078387276806766,0.0071086510459128505,-0.03774388430444375,0.08411214953271018,-0.05592814010611502,-0.33233519984608895,-0.1449928696559611,002240
33,세아제강,2016,Q3,철강_소재,0.2198907026207437,-0.0793209961513609,0.003988864040612716,0.06683648359766536,0.08411214953271018,0.0882372152846791,-0.7205483728829312,-0.010978750295810732,003030
33,현대제철,2016,Q3,철강_소재,0.0024716832453822515,-0.02991797969050014,0.030480674724842283,-0.005506638296920774,0.08411214953271018,0.06780391449428902,-0.09070708049812293,0.04664328826368218,004020
33,삼광글라스,2016,Q3,철강_소재,-0.22475170242234596,0.013257258285511275,-0.011660440947650952,0.004808786654894925,0.08411214953271018,0.04600457992613394,-0.4350920912279487,-0.149271919845978,005090
33,POSCO,2016,Q3,철강_소재,0.13813744713118786,0.016126298269899086,0.01091370936777003,-0.10809260972194046,0.08411214953271018,-0.26578847327694843,0.19598893459319067,0.025641436592305125,005490
33,무림P&P,2016,Q3,철강_소재,-0.053589572082884056,-0.015928348096325262,0.02908461482021818,-0.05679462382616729,0.08411214953271018,-0.06806778618920839,-0.8635587746410478,-0.10232083653125833,009580
33,고려아연,2016,Q3,철강_소재,-0.021792523997259818,0.030002237147806587,0.021797857462363623,0.13160408407441282,0.08411214953271018,0.1802900148716473,-0.15478725164221607,-0.21336761181161024,010130
33,풍산,2016,Q3,철강_소재,0.22564667469914307,-0.05082838738036799,0.04204686064994467,-0.04245815786091911,0.08411214953271018,-0.07351175675944743,-0.18034956322289597,-0.14695127517665957,103140
33,한국철강,2016,Q3,철강_소재,-0.020029172322892093,-0.08327221776424065,0.04699797178778664,-0.08378335693862493,0.08411214953271018,-0.12016538859212189,-0.7150495111415456,-0.1800884569441198,104700
