,name,year,quarter,sector,Relative Return,금리 변화율,자본금 변화율,보유 주식 수 변화율,1인평균급여 변화율,국제유가 변화율,기초 소유주식 지분율 변화율,Label,Code
20,경방,2019,Q4,경기소비재,-0.10188173438043172,0.191387559808615,0.0,-0.05610447997585388,911.1063748079877,0.023897949297593923,0.05695162129356657,0.31535207533686044,000050
20,한국타이어월드와이드,2019,Q4,경기소비재,-0.20232934492999802,0.191387559808615,0.0,-0.03997908761440716,-0.0064102564102563875,0.023897949297593923,0.0,0.005318434420071766,000240
20,기아차,2019,Q4,경기소비재,-0.23837488290227263,0.191387559808615,-0.01626046520843727,0.0208732946393686,0.03921568627450989,0.023897949297593923,0.0,0.04714539112427546,000270
20,SK네트웍스,2019,Q4,경기소비재,-0.052208096620772165,0.191387559808615,0.0,0.0,-0.019783586538461573,0.023897949297593923,0.00248508946322068,-0.04572624028690972,001740
20,넥센타이어,2019,Q4,경기소비재,-0.3556524336737552,0.191387559808615,0.0,1336.2743963782696,0.10810810810810789,0.023897949297593923,0.024468573176326558,0.16311424658048296,002350
20,일신방직,2019,Q4,경기소비재,-0.2212099224369856,0.191387559808615,0.0,-0.009226062787964673,-0.9989394767864757,0.023897949297593923,0.0011850681414180553,0.17455914969201036,003200
20,쌍용차,2019,Q4,경기소비재,-0.24965893605324915,0.191387559808615,0.0,-0.007129946120462138,-0.9990414507772021,0.023897949297593923,0.0001380071763732449,-0.039222592443264995,003620
20,한솔홀딩스,2019,Q4,경기소비재,-0.20363961817776619,0.191387559808615,0.0,-0.04499580922237256,0.09836065573770503,0.023897949297593923,-0.25,0.13284518828451886,004150
20,신세계,2019,Q4,경기소비재,0.011487325837382184,0.191387559808615,0.0,-0.07574246261888129,0.030303030303030276,0.023897949297593923,0.0,-0.012746459047267691,004170
20,세방전지,2019,Q4,경기소비재,-0.20356217084195452,0.191387559808615,0.0,0.02313461360235114,0.05289480214557063,0.023897949297593923,0.09973487587370466,0.04816776892968014,004490
20,조광피혁,2019,Q4,경기소비재,0.17964923513240655,0.191387559808615,0.0,-0.0706189768142953,-0.024389773813282,0.023897949297593923,0.0,-0.06832013439328294,004700
20,현대차,2019,Q4,경기소비재,-0.13813664420007102,0.191387559808615,0.0,-0.03432715148415977,0.04216867469879526,0.023897949297593923,0.03116147308781847,-0.0024205121985729355,005380
20,에스엘,2019,Q4,경기소비재,-0.2759377125916084,0.191387559808615,0.0,-0.2823856744102937,-0.024379761520437637,0.023897949297593923,-0.5399946207638515,-0.10443128552890452,005850
20,동아타이어,2019,Q4,경기소비재,0.02806646941370841,0.191387559808615,0.0,0.0,0.21068833887452287,0.023897949297593923,-0.03697318007662842,-0.17317180997702258,007340
