,name,year,quarter,sector,Relative Return,당기순이익 변화율,금리 변화율,국제유가 변화율,실업률 변화율,소비자물가지수 변화율,Label,Code
13,경방,2021,Q3,경기소비재,0.055764862783849796,-0.1143638149114069,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.11458560288894182,000050
13,한국타이어월드와이드,2021,Q3,경기소비재,0.005208661600547844,0.3761453735662843,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.10970540170367923,000240
13,기아차,2021,Q3,경기소비재,0.08404218604545559,-0.6539568162142894,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.09352931069547588,000270
13,SK네트웍스,2021,Q3,경기소비재,-0.03586496129618271,-0.9550073254879721,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.04370239017890018,001740
13,넥센타이어,2021,Q3,경기소비재,-0.10770415459250027,-1.597162603134175,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.0898671681252067,002350
13,일신방직,2021,Q3,경기소비재,0.18270176936303414,-0.694165260997332,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.12097536289771937,003200
13,쌍용차,2021,Q3,경기소비재,0.0,-0.3518964207652725,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.0,003620
13,한솔홀딩스,2021,Q3,경기소비재,-0.08320629915253168,1.118426074931782,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.012721652324512722,004150
13,신세계,2021,Q3,경기소비재,-0.05106008707378832,1.0502037647284004,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.142305225934181,004170
13,세방전지,2021,Q3,경기소비재,-0.004172566853464656,-0.2321896515310634,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.1311007709151335,004490
13,조광피혁,2021,Q3,경기소비재,0.10060326578653808,-0.14674840029271008,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.03332236173105116,004700
13,현대차,2021,Q3,경기소비재,0.023420243348041193,0.2866385970198151,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.10873480546299329,005380
13,에스엘,2021,Q3,경기소비재,0.13478160470940256,-0.33176651930244727,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.19299051759202757,005850
13,동아타이어,2021,Q3,경기소비재,0.6121814183161127,39.39551834415312,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.0303788828644957,007340
13,서연,2021,Q3,경기소비재,0.04926325053433196,-1.6507796393333198,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.2625555570789715,007860
13,호텔신라,2021,Q3,경기소비재,-0.036209386281588436,0.06935845539122831,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.09639197800045177,008770
13,한샘,2021,Q3,경기소비재,-0.18932437900356808,-0.304949260220193,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.10781259607153161,009240
13,모토닉,2021,Q3,경기소비재,0.06045728038507823,-0.20055714060776042,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.06669869364155254,009680
13,화신,2021,Q3,경기소비재,0.07977058510610827,2.944650684437073,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.2516506697431294,010690
13,현대위아,2021,Q3,경기소비재,-0.07250975258195475,-0.3660077889631861,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.16840702274294644,011210
13,현대모비스,2021,Q3,경기소비재,-0.034514786654027914,-0.3554685855178512,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.06442251973389633,012330
13,에스원,2021,Q3,경기소비재,0.07147319225778324,-0.18937739302021428,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.039635871629437366,012750
13,한온시스템,2021,Q3,경기소비재,-0.07225876899763783,-0.8239140732549639,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.11040123187774187,018880
13,대교,2021,Q3,경기소비재,-0.01724182697405721,33.42829758611438,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.030402607471756715,019680
13,한섬,2021,Q3,경기소비재,0.07942061793248657,0.2518719574779811,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.037190631814859224,020000
13,코웨이,2021,Q3,경기소비재,0.09866544902802948,0.020406168608068764,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.054788999304157884,021240
13,롯데쇼핑,2021,Q3,경기소비재,0.014207070441088224,155.49096094777613,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.025761574170057908,023530
13,삼성물산,2021,Q3,경기소비재,-0.10620938628158844,2.3181217544662482,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.06334782947590804,028260
13,세종공업,2021,Q3,경기소비재,0.08508782225699942,31.863392390563064,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.24124051674864352,033530
13,강원랜드,2021,Q3,경기소비재,0.0680330379608358,-0.02448515885451752,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.1107764360075364,035250
13,한라홀딩스,2021,Q3,경기소비재,0.13635013752793537,0.3411165354091521,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.09385204329762242,060980
13,S&T모티브,2021,Q3,경기소비재,-0.047010462219544996,1.1204936019404457,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.09225039939661969,064960
13,현대백화점,2021,Q3,경기소비재,0.05170728038507823,-0.2355241254383662,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.053353447813784566,069960
13,금호타이어,2021,Q3,경기소비재,-0.12050995830446937,9.140537495236428,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.1587319503762456,073240
13,현대리바트,2021,Q3,경기소비재,-0.03146472518595241,6.095342226925279,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.03888448240797241,079430
13,베이직하우스,2021,Q3,경기소비재,0.020457280385078228,-22.70368656929368,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.21318052534526669,084870
13,LF,2021,Q3,경기소비재,0.2028991408501945,-0.5102369301754068,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.019154429698407,093050
13,한세실업,2021,Q3,경기소비재,0.21154718927282096,-0.4331553569451517,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.09188413763263552,105630
13,영원무역,2021,Q3,경기소비재,0.1700411162028839,1.3443248316669028,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.12045423480383047,111770
13,GKL,2021,Q3,경기소비재,0.02531351041702711,0.32705126541828466,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,0.05239441618280685,114090
13,한국타이어,2021,Q3,경기소비재,-0.06428066510758423,-0.5297074576214242,-0.05306772908366497,0.06736077481840197,-0.1504424778761062,0.01761921683046319,-0.07913550162725447,161390
