,name,sector,year,quarter,Relative Return,자본총계 변화율,비유동자산 변화율,GDP 변화율,소비자물가지수 변화율,특정 증권 등 소유 증감 수 변화율,특정 증권 등 소유 증감 비율 변화율,전체 주주 수 변화율,특정 증권 등 소유 비율 변화율,특정 증권 등 소유 수 변화율,Label,Code
20,S_hynix,전기·전자,2019,Q3,-0.07741926993211061,-0.00900733823004285,-0.006626944254950917,-0.0021492760114003584,0.9303677156060576,-0.032400800284025255,0.0,0.0017732880982553878,0.0,0.00881805066746133,0.1793495404991916,000660
20,SEBANG_Global_Battery,전기·전자,2019,Q3,-0.0714067639196046,-0.019240566907413825,0.0032912105877934694,-0.0021492760114003584,0.9303677156060576,0.01388077169972346,0.01388077169972346,0.01388077169972357,0.01388077169972346,0.01388077169972346,-0.09051471866849858,004490
21,Hansol_Technics,전기·전자,2019,Q3,0.04041051857756458,-0.3212267906320341,0.011038453416539196,-0.0021492760114003584,0.9303677156060576,0.0,0.0,0.013883471298772432,0.0,0.0,0.08096379221955946,004710
21,Samsung_Electronics,전기·전자,2019,Q3,0.043091569605277595,-0.012326159202728393,0.0021801297177039825,-0.0021492760114003584,0.9303677156060576,-0.015933342763405856,-0.0016968027007344677,0.004282295472831987,-0.0016968027007344677,-0.015443552041894293,0.057505912734716676,005930
21,Samsung_SDI,전기·전자,2019,Q3,0.088130946076821,-0.010049019773554546,-0.006294817081210269,-0.0021492760114003584,0.9303677156060576,0.013728673035700245,0.0,0.013728673035700356,0.0,0.013728673035700245,-0.04729046655776392,006400
20,Dong-A_Tire,전기·전자,2019,Q3,-0.049899997945242705,-0.006905089746013671,-0.10371239118647568,-0.0021492760114003584,0.9303677156060576,0.013884883686647864,0.013884883686647864,0.013884883686647642,0.013884883686647642,0.013884883686647753,-0.05125668336494038,007340
21,Samsung_Electro-Mechanics,전기·전자,2019,Q3,-0.06971722123480126,-0.027942616889657712,-0.013839957472814746,-0.0021492760114003584,0.9303677156060576,0.013736475806855997,0.013736475806855997,0.013736475806855886,0.013736475806855997,0.013736475806855886,0.06622780807625642,009150
20,LS_Electric,전기·전자,2019,Q3,0.06642645549256218,-0.02696221784729147,-0.00022217559114756646,-0.0021492760114003584,0.9303677156060576,0.013877488866023802,0.01387748886602369,0.01387748886602369,0.01387748886602369,0.013877488866023802,-0.034279291315224315,010120
20,LG_Innotek,전기·전자,2019,Q3,-0.06907186477619481,-0.04664537692583548,0.01142560923185143,-0.0021492760114003584,0.9303677156060576,0.013415859417877374,0.013415859417877263,0.013415859417877152,0.013415859417877263,0.013415859417877374,0.03045261914807605,011070
20,Hyundai_Elevator,기계·장비,2019,Q3,0.001091097500412504,-0.01300915442213646,-0.054721894388434,-0.0021492760114003584,0.9303677156060576,0.013880292266656769,0.013880292266656769,0.013880292266656769,0.01388029226665688,0.01388029226665688,-0.05777551311512065,017800
20,Hanon_Systems,기계·장비,2019,Q3,0.025198385317123578,0.030158633425531822,-0.004283164727729938,-0.0021492760114003584,0.9303677156060576,0.0,0.0,0.01389844984012556,0.0,0.0,0.04287965737063301,018880
20,Iljin_Materials,전기·전자,2019,Q3,0.0073008188202362,-0.02106466991341005,0.0135245777359978,-0.0021492760114003584,0.9303677156060576,0.013884593425994352,0.01388459342599424,0.013884593425994463,0.013884593425994352,0.013884593425994352,0.007110308002763752,020150
20,Korea_Electric_Terminal,전기·전자,2019,Q3,0.10294176337009917,0.0026960039816248393,-0.03526333959242334,-0.0021492760114003584,0.9303677156060576,0.013886588091571506,0.013886588091571395,0.013886588091571617,0.013886588091571395,0.013886588091571395,-0.28987234821011343,025540
21,Sindoh,전기·전자,2019,Q3,0.018306154740682475,-0.0035759145320333197,0.012980846568642623,-0.0021492760114003584,0.9303677156060576,0.013883970858033168,0.013883970858033279,0.01388397085803339,0.013883970858033279,0.013883970858033168,-0.14084419575801407,029530
20,Doosan_Heavy_Industries,기계·장비,2019,Q3,-0.06849773441483041,0.02610506511189048,-0.005564443438498934,-0.0021492760114003584,0.9303677156060576,0.013474897931102237,0.013474897931102237,0.013474897931102237,0.013474897931102237,0.013474897931102126,0.1065256956669741,034020
20,LG_Display,전기·전자,2019,Q3,-0.08599448092244719,0.04542243959302583,0.015471550757382158,-0.0021492760114003584,0.9303677156060576,-0.009313130561516836,-0.00931123433776948,0.005232947543184041,-0.00931123433776948,-0.009311234337769259,-0.18347838743799144,034220
20,Doosan_Infracore,기계·장비,2019,Q3,-0.1192518593142916,-0.013136076161556876,-0.0010760255781523398,-0.0021492760114003584,0.9303677156060576,0.013814564615051927,0.013814564615051816,0.013814564615051816,0.013814564615051816,0.013814564615051927,0.02348205448577929,042670
20,Hanmi_Semiconductor,기계·장비,2019,Q3,-0.06339810591094659,-0.07203726192417359,0.164189088428788,-0.0021492760114003584,0.9303677156060576,0.013885642175627044,0.013885642175626933,0.013885642175626933,0.013885642175627044,0.013885642175627044,-0.1177198550407145,042700
20,LG_Electronics,전기·전자,2019,Q3,0.053599686583534645,0.026161461152818255,0.01401963933315753,-0.0021492760114003584,0.9303677156060576,0.013406795232628554,0.0,0.012433944273993358,0.0,0.013478826260136523,-0.11870306082302742,066570
20,Doosan_Engine,기계·장비,2019,Q3,-0.2253481235103834,0.014932762327716786,0.008101164855986553,-0.0021492760114003584,0.9303677156060576,0.013883143333063064,0.013883143333062953,0.013883143333062953,0.013883143333063064,0.013883143333062953,-0.051105415286522,082740
