,name,year,quarter,sector,Relative Return,이익잉여금 변화율,비유동자산 변화율,유동자산 변화율,자본총계 변화율,유동부채 변화율,매출액 변화율,Label,Code
1,현대중공업,2024,Q3,중공업,0.05632699984763589,0.00039739250171177964,0.02000007820722871,-0.06761723557931898,0.0005746134870763253,0.2677627203512538,0.06407610006808961,0.06827607424592481,009540
1,삼성중공업,2024,Q3,중공업,0.15207878626156152,-0.033719424180400415,-0.047354725050753554,-0.14133361341462503,-0.051391439801208416,-0.09415469245460883,-0.08203506726190746,0.20166412534833592,010140
1,현대미포조선,2024,Q3,중공업,0.09890692446022838,-0.002515088700162038,-0.01067192647098536,-0.07644538223422492,-0.0016317831254003545,-0.047875278631121065,-0.04738222876747544,-0.11430236430236436,010620
1,한화테크윈,2024,Q3,중공업,0.37474988351701755,0.13444878547376082,-0.008813046221269882,-0.016478470631891562,-0.08202069941016699,0.019910276126617665,0.2032175118609174,0.6575669352243936,012450
1,현대엘리베이,2024,Q3,중공업,0.2528290623784065,-0.0339281390165832,-0.0005398287593469941,-0.08223157815268223,-0.014174673923998293,0.03709953719567194,-0.07503276814995485,0.08052707568186233,017800
1,두산중공업,2024,Q3,중공업,0.20670740391865988,0.04976893342736011,0.0006902045296586223,-0.015535248819722236,0.000944108418348133,-0.03660663490906779,-0.13254623097056062,0.23353615746646608,034020
1,대우조선해양,2024,Q3,중공업,0.2569319148554025,0.2451116842833938,0.09287760343976115,-0.02142430875874146,-0.022905729434262723,0.03882202766416554,0.0646459796362373,1.028604995401358,042660
1,두산인프라코어,2024,Q3,중공업,0.11017816569474759,-0.052381011206186434,0.0015140784228169224,-0.06845473756319653,0.001765305166917086,-0.10414855847407156,-0.20839077426639263,0.24184906003087814,042670
1,현대로템,2024,Q3,중공업,0.29508604781721015,0.22508761835896696,0.0071760761964791975,-0.12514698965594084,0.056628293779568795,-0.18255514243439874,-0.009757161201160436,0.6486620465521739,064350
1,두산엔진,2024,Q3,중공업,0.269727500512098,-0.08671048073649723,-0.022278807068925044,-0.1244107627635781,0.03181920664430793,-0.17075170152709418,0.03351295859882719,0.48149094039646645,082740
1,한진중공업,2024,Q3,중공업,0.043549697889725306,-0.03310505433955824,-0.014525824840214252,-0.3499499579447066,0.16703317716798938,-0.26429575427769936,-0.06403631861328929,1.4856741650392562,097230
