,name,year,quarter,sector,Relative Return,이익잉여금 변화율,금리 변화율,실업률 변화율,자본총계 변화율,수출액 변화율,Label,Code
1,현대중공업,2024,Q3,중공업,0.05632699984763589,0.00039739250171177964,-0.11983510689291532,-0.09523809523809512,0.0005746134870763253,-0.0051857654838392,0.06827607424592481,009540
1,삼성중공업,2024,Q3,중공업,0.15207878626156152,-0.033719424180400415,-0.11983510689291532,-0.09523809523809512,-0.051391439801208416,-0.0051857654838392,0.20166412534833592,010140
1,현대미포조선,2024,Q3,중공업,0.09890692446022838,-0.002515088700162038,-0.11983510689291532,-0.09523809523809512,-0.0016317831254003545,-0.0051857654838392,-0.11430236430236436,010620
1,한화테크윈,2024,Q3,중공업,0.37474988351701755,0.13444878547376082,-0.11983510689291532,-0.09523809523809512,-0.08202069941016699,-0.0051857654838392,0.6575669352243936,012450
1,현대엘리베이,2024,Q3,중공업,0.2528290623784065,-0.0339281390165832,-0.11983510689291532,-0.09523809523809512,-0.014174673923998293,-0.0051857654838392,0.08052707568186233,017800
1,두산중공업,2024,Q3,중공업,0.20670740391865988,0.04976893342736011,-0.11983510689291532,-0.09523809523809512,0.000944108418348133,-0.0051857654838392,0.23353615746646608,034020
1,대우조선해양,2024,Q3,중공업,0.2569319148554025,0.2451116842833938,-0.11983510689291532,-0.09523809523809512,-0.022905729434262723,-0.0051857654838392,1.028604995401358,042660
1,두산인프라코어,2024,Q3,중공업,0.11017816569474759,-0.052381011206186434,-0.11983510689291532,-0.09523809523809512,0.001765305166917086,-0.0051857654838392,0.24184906003087814,042670
1,현대로템,2024,Q3,중공업,0.29508604781721015,0.22508761835896696,-0.11983510689291532,-0.09523809523809512,0.056628293779568795,-0.0051857654838392,0.6486620465521739,064350
1,두산엔진,2024,Q3,중공업,0.269727500512098,-0.08671048073649723,-0.11983510689291532,-0.09523809523809512,0.03181920664430793,-0.0051857654838392,0.48149094039646645,082740
1,한진중공업,2024,Q3,중공업,0.043549697889725306,-0.03310505433955824,-0.11983510689291532,-0.09523809523809512,0.16703317716798938,-0.0051857654838392,1.4856741650392562,097230
