,name,year,quarter,sector,Relative Return,유동자산 변화율,자본총계 변화율,금리 변화율,국제유가 변화율,Label,Code
31,현대중공업,2017,Q1,중공업,0.0,-0.23545676217612121,-0.5154649014764064,0.13548951048950886,0.09135267010029824,-0.022818533710330408,009540
31,삼성중공업,2017,Q1,중공업,-0.020719367251949956,-0.16690799818953228,0.006098335923743425,0.13548951048950886,0.09135267010029824,-0.053459846842630915,010140
31,현대미포조선,2017,Q1,중공업,0.026317107804752056,-0.18768989541370362,0.05387685727768132,0.13548951048950886,0.09135267010029824,0.09950869188762608,010620
31,한화테크윈,2017,Q1,중공업,0.042915958867101346,0.10743529883403946,-0.014541699368837091,0.13548951048950886,0.09135267010029824,-0.2684405808370041,012450
31,현대엘리베이,2017,Q1,중공업,-0.03047814222934357,-0.08473805359032272,0.008844541253542282,0.13548951048950886,0.09135267010029824,-0.23448728770631377,017800
31,두산중공업,2017,Q1,중공업,-0.032246604275862845,-0.0038184277668629196,-0.02002474627090689,0.13548951048950886,0.09135267010029824,-0.2578520606673034,034020
31,대우조선해양,2017,Q1,중공업,0.0,-0.12051219907731414,0.899660833476905,0.13548951048950886,0.09135267010029824,0.0,042660
31,두산인프라코어,2017,Q1,중공업,-0.05394518758055367,0.3691985102731419,0.02970172859612563,0.13548951048950886,0.09135267010029824,-0.11239710964220126,042670
31,현대로템,2017,Q1,중공업,0.019221061027493984,-0.13296020596686564,0.005626918192550567,0.13548951048950886,0.09135267010029824,-0.15882906004624808,064350
31,두산엔진,2017,Q1,중공업,0.10010000691024792,-0.012807699877155576,0.01793870011701504,0.13548951048950886,0.09135267010029824,0.0024219262425977522,082740
31,한진중공업,2017,Q1,중공업,-0.03522811246341301,-0.1113710253881458,-0.1431211635237516,0.13548951048950886,0.09135267010029824,0.12428388375794037,097230
