,name,year,quarter,sector,Relative Return,이익잉여금 변화율,금리 변화율,실업률 변화율,유동자산 변화율,유동부채 변화율,영업이익 변화율,Label,Code
6,현대중공업,2023,Q2,중공업,0.33762832626216044,-0.0007401333133137955,0.0022310602386272915,-0.04938271604938271,-0.03222313014017886,-0.20217069645952068,-1.8145930480298396,-0.14798587932518886,009540
6,삼성중공업,2023,Q2,중공업,0.6250824887860814,-0.029130411098606146,0.0022310602386272915,-0.04938271604938271,0.045450901264122434,0.006824717142047243,0.1127288902326169,-0.1751641931331243,010140
6,현대미포조선,2023,Q2,중공업,0.30588950679142124,-0.024875376722385156,0.0022310602386272915,-0.04938271604938271,0.027771451199959385,0.06076079128681511,1.047516711614108,-0.20173531899048228,010620
6,한화테크윈,2023,Q2,중공업,0.022853351384607694,0.09271183114872383,0.0022310602386272915,-0.04938271604938271,0.4060619234992009,0.7346289578599807,-0.8551487399001988,0.14499271349019355,012450
6,현대엘리베이,2023,Q2,중공업,0.04326490767553322,-0.03799246481087171,0.0022310602386272915,-0.04938271604938271,-0.1567037169459864,-0.17366069307138798,0.45047928834842765,0.10904720232753652,017800
6,두산중공업,2023,Q2,중공업,0.06083898291324592,0.5413711861708519,0.0022310602386272915,-0.04938271604938271,0.208108196313338,0.1502889189145289,0.1121773417104448,-0.13384837615606848,034020
6,대우조선해양,2023,Q2,중공업,0.8065046292814526,0.1542592129886593,0.0022310602386272915,-0.04938271604938271,0.18484286626012691,-0.18117434839603297,1.5873947764002434,-0.4006493987832226,042660
6,두산인프라코어,2023,Q2,중공업,0.06160493444929492,0.09200329921061368,0.0022310602386272915,-0.04938271604938271,-0.02617212615606257,-0.11099096704371714,0.17753076890346065,-0.29101872460617517,042670
6,현대로템,2023,Q2,중공업,-0.13005328912382225,0.3420134753294246,0.0022310602386272915,-0.04938271604938271,0.11441351428349966,0.13467098866055482,1.0630935779629973,-0.12349491727482162,064350
6,두산엔진,2023,Q2,중공업,0.3890620103454509,-0.0032511022757261143,0.0022310602386272915,-0.04938271604938271,0.12219047731508748,-0.02843308416616752,-0.14745198947617943,-0.24622421192818306,082740
6,한진중공업,2023,Q2,중공업,0.04927596136254106,0.05606344072419822,0.0022310602386272915,-0.04938271604938271,-0.03759784489137363,0.3591045778198505,5.745382822305899,-0.06081120600176866,097230
