,name,year,quarter,sector,Relative Return,Relative Return,자본총계 변화율,이익잉여금 변화율,비유동자산 변화율,유동자산 변화율,법인세차감전 순이익 변화율,Label,Code
2,현대중공업,2024,Q2,중공업,0.47399972928725354,0.47399972928725354,0.009400955029616576,0.006765231313940134,-0.028585628597791235,0.23215455055714518,7.986273568156797,0.05632699984763589,009540
2,삼성중공업,2024,Q2,중공업,0.10666313721558776,0.10666313721558776,0.06280803840761529,-0.025811324371774358,0.028208259536337987,0.018500884517164362,-1.9110547160610256,0.15207878626156152,010140
2,현대미포조선,2024,Q2,중공업,0.4355049531430463,0.4355049531430463,0.012231135521482361,0.01744456509775194,0.02636593604256232,-0.01683716089877829,9.931592498586147,0.09890692446022838,010620
2,한화테크윈,2024,Q2,중공업,0.42999020173573543,0.42999020173573543,0.046791071275524176,0.061221122366269976,0.006602788555958972,0.22333669807738432,3.58195980901235,0.37474988351701755,012450
2,현대엘리베이,2024,Q2,중공업,0.06220879736300331,0.06220879736300331,0.03838079129395333,0.09705861081592415,0.06495072518847045,-0.20690276792887863,0.6697414699553486,0.2528290623784065,017800
2,두산중공업,2024,Q2,중공업,0.06835882263387019,0.06835882263387019,0.020015771723288278,0.6368353053418792,0.006114131080935614,-0.03869907215143786,0.9479834395990183,0.20670740391865988,034020
2,대우조선해양,2024,Q2,중공업,0.03332703308516264,0.03332703308516264,-0.011712034424319562,0.15077608273236542,0.043436746982739693,0.12354914667139649,-1.9174975764488902,0.2569319148554025,042660
2,두산인프라코어,2024,Q2,중공업,-0.09410343025277107,-0.09410343025277107,0.0037275646243526417,0.035048841467313574,-0.0020052128817958925,0.0011555677460568514,-0.6309010176003043,0.11017816569474759,042670
2,현대로템,2024,Q2,중공업,0.42347536927754004,0.42347536927754004,0.06441169664417634,0.3178005189722195,-0.007779632464360198,-0.042737615654566796,1.5922319160275573,0.29508604781721015,064350
2,두산엔진,2024,Q2,중공업,0.013749766013346529,0.013749766013346529,0.03913118259721382,-0.10490481683922936,0.04119930923326365,-0.06725505366111895,-0.005548575054486915,0.269727500512098,082740
2,한진중공업,2024,Q2,중공업,-0.02599371327836455,-0.02599371327836455,-0.11703872962986939,0.02742794961419248,-0.006555464030752356,-0.04754286393486462,-4.485572474131404,0.043549697889725306,097230
