,name,year,quarter,sector,Relative Return,이익잉여금 변화율,금리 변화율,실업률 변화율,유동자산 변화율,유동부채 변화율,영업이익 변화율,Label,Code
2,현대중공업,2024,Q2,중공업,0.47399972928725354,0.006765231313940134,0.02546205269366908,-3.3306690738754696e-16,0.23215455055714518,0.021468038123478417,-5.504277458036454,0.05632699984763589,009540
2,삼성중공업,2024,Q2,중공업,0.10666313721558776,-0.025811324371774358,0.02546205269366908,-3.3306690738754696e-16,0.018500884517164362,0.009977015416210211,3.4127752103314313,0.15207878626156152,010140
2,현대미포조선,2024,Q2,중공업,0.4355049531430463,0.01744456509775194,0.02546205269366908,-3.3306690738754696e-16,-0.01683716089877829,-0.014857065209276765,-1.713393770032857,0.09890692446022838,010620
2,한화테크윈,2024,Q2,중공업,0.42999020173573543,0.061221122366269976,0.02546205269366908,-3.3306690738754696e-16,0.22333669807738432,0.14032794546811234,124.66097586324345,0.37474988351701755,012450
2,현대엘리베이,2024,Q2,중공업,0.06220879736300331,0.09705861081592415,0.02546205269366908,-3.3306690738754696e-16,-0.20690276792887863,-0.08941199957267498,0.22091255096421136,0.2528290623784065,017800
2,두산중공업,2024,Q2,중공업,0.06835882263387019,0.6368353053418792,0.02546205269366908,-3.3306690738754696e-16,-0.03869907215143786,-0.033487652868849915,0.8716872964466689,0.20670740391865988,034020
2,대우조선해양,2024,Q2,중공업,0.03332703308516264,0.15077608273236542,0.02546205269366908,-3.3306690738754696e-16,0.12354914667139649,0.17132385280733664,-1.5758037287767053,0.2569319148554025,042660
2,두산인프라코어,2024,Q2,중공업,-0.09410343025277107,0.035048841467313574,0.02546205269366908,-3.3306690738754696e-16,0.0011555677460568514,0.09093330207251049,-0.14608301059848805,0.11017816569474759,042670
2,현대로템,2024,Q2,중공업,0.42347536927754004,0.3178005189722195,0.02546205269366908,-3.3306690738754696e-16,-0.042737615654566796,-0.05009575908713493,1.6243779088734809,0.29508604781721015,064350
2,두산엔진,2024,Q2,중공업,0.013749766013346529,-0.10490481683922936,0.02546205269366908,-3.3306690738754696e-16,-0.06725505366111895,-0.12680185990778758,-0.04139589983213543,0.269727500512098,082740
2,한진중공업,2024,Q2,중공업,-0.02599371327836455,0.02742794961419248,0.02546205269366908,-3.3306690738754696e-16,-0.04754286393486462,-0.023075741147262963,-4.202599695097488,0.043549697889725306,097230
