,name,year,quarter,sector,Relative Return,Relative Return,자본총계 변화율,이익잉여금 변화율,비유동자산 변화율,유동자산 변화율,법인세차감전 순이익 변화율,Label,Code
14,현대중공업,2021,Q2,중공업,-0.19266093166180845,-0.19266093166180845,0.005256697820388956,0.001055047851291624,0.0048761634575711366,0.0065114946509690075,-2.201992639258896,-0.08660154314433355,009540
14,삼성중공업,2021,Q2,중공업,0.0747392888799497,0.0747392888799497,-0.11974023677659562,0.6357375708582282,-0.0067960492210144,0.018032891803429596,-0.18976607577949223,0.056452057940304744,010140
14,현대미포조선,2021,Q2,중공업,-0.11281805848560195,-0.11281805848560195,-0.06426827148097058,-0.08418596311000048,0.031165635026128458,0.04985523452986529,-6.745618373916622,0.03603568655474404,010620
14,한화테크윈,2021,Q2,중공업,0.19907837896605596,0.19907837896605596,-0.00651932860126514,-0.008862079334410411,0.14288956099495098,-0.14940098241049204,-1.113622822123445,-0.13958243873285217,012450
14,현대엘리베이,2021,Q2,중공업,0.03388645071062363,0.03388645071062363,0.004340561909264018,0.020271091717910528,0.104720073134142,-0.05593215731215917,-0.7288750435709658,-0.018128181304509196,017800
14,두산중공업,2021,Q2,중공업,0.7244685390492225,0.7244685390492225,0.1994301103051217,0.34376332729869596,-0.010264614260695804,0.16945482565774794,-0.22174761195334358,0.2675322971535299,034020
14,대우조선해양,2021,Q2,중공업,-0.15944310887287957,-0.15944310887287957,-0.2852354763482673,-2.7873796573004848,-0.0433238867445378,-0.002442879313473534,3.4402056759908692,-0.08847418608507654,042660
14,두산인프라코어,2021,Q2,중공업,0.4699380857375547,0.4699380857375547,-0.5946689347372931,0.48196088230574907,-0.5061657960009454,1.0342077979630244,0.9081142023752575,-0.3116409103990613,042670
14,현대로템,2021,Q2,중공업,0.22285094385006707,0.22285094385006707,0.009469947853607996,-0.0775049706911135,0.009104688957441764,-0.07689549207219137,-0.3652434666349701,-0.07015496451288097,064350
14,두산엔진,2021,Q2,중공업,-0.22223448239058458,-0.22223448239058458,0.12643743500281945,0.06651730240552522,0.0008832974060093424,0.022321565780458075,-0.5942203246908326,0.07574179950245123,082740
14,한진중공업,2021,Q2,중공업,-0.012660931661808445,-0.012660931661808445,-0.08184037047906034,0.017545436611472454,-0.020904681284568016,-0.017842231088281313,-0.5203944309868116,0.1921028500053314,097230
