,name,year,quarter,sector,Relative Return,금리 변화율,이익잉여금 변화율,국제유가 변화율,자본총계 변화율,유동자산 변화율,유동부채 변화율,Label,Code
15,현대중공업,2021,Q1,중공업,0.18953198958350204,0.17195325542571194,-0.0006079874917795935,0.3732219462632649,0.0026460640652365974,0.001404086072111399,-0.045640051438421425,-0.19266093166180845,009540
15,삼성중공업,2021,Q1,중공업,-0.11626654964734412,0.17195325542571194,3.645024726220785,0.3732219462632649,-0.1066081750304898,-0.13404033794694936,-0.08178357075668097,0.0747392888799497,010140
15,현대미포조선,2021,Q1,중공업,0.5357704126401688,0.17195325542571194,0.01484695222117427,0.3732219462632649,0.011278373949034748,-0.0016163748423022595,-0.039299770742631024,-0.11281805848560195,010620
15,한화테크윈,2021,Q1,중공업,0.03199781496555087,0.17195325542571194,0.05572026705194788,0.3732219462632649,0.03843617101419361,0.08767229620610917,0.11591318174333698,0.19907837896605596,012450
15,현대엘리베이,2021,Q1,중공업,0.11894539345943225,0.17195325542571194,-0.05342071549456273,0.3732219462632649,-0.01194001390924182,0.005149193171778421,0.05917491567554878,0.03388645071062363,017800
15,두산중공업,2021,Q1,중공업,0.10338240903317135,0.17195325542571194,-1.1160859857687895,0.3732219462632649,0.03162883599248523,0.19446059495005796,0.05749180123954978,0.7244685390492225,034020
15,대우조선해양,2021,Q1,중공업,0.35915649211744693,0.17195325542571194,-0.3824000341489494,0.3732219462632649,-0.06054029009108708,-0.06301005092762701,-7.481768652450871e-05,-0.15944310887287957,042660
15,두산인프라코어,2021,Q1,중공업,0.2743185720484617,0.17195325542571194,0.3127344068884308,0.3732219462632649,0.04141894722693329,0.22330212724074583,0.050107611760041415,0.4699380857375547,042670
15,현대로템,2021,Q1,중공업,-0.04655100636791496,0.17195325542571194,-0.1014981334314875,0.3732219462632649,0.014278783007643625,0.04946381443086367,0.055609867434349924,0.22285094385006707,064350
15,두산엔진,2021,Q1,중공업,0.3212788906987244,0.17195325542571194,0.20173632035092837,0.3732219462632649,0.10616166878540967,0.07003410220681361,-0.022767092463265692,-0.22223448239058458,082740
15,한진중공업,2021,Q1,중공업,0.1713770196377581,0.17195325542571194,0.03384340077122783,0.3732219462632649,-0.1279453713586628,-0.05079826106509766,0.023795076787078262,-0.012660931661808445,097230
