,name,year,quarter,sector,Relative Return,유동자산 변화율,자본총계 변화율,금리 변화율,국제유가 변화율,Label,Code
24,현대중공업,2018,Q4,중공업,-0.11371797594043706,0.07530688566002497,-0.020595486456025824,-0.10693799508331026,-0.09983604378074207,-0.05632310860481532,009540
24,삼성중공업,2018,Q4,중공업,0.10917394975537703,0.05200804579637763,-0.017660825550221082,-0.10693799508331026,-0.09983604378074207,-0.025787363996223035,010140
24,현대미포조선,2018,Q4,중공업,0.18480418478697624,-0.06387380150095712,-0.00391289424456609,-0.10693799508331026,-0.09983604378074207,-0.12370889540684578,010620
24,한화테크윈,2018,Q4,중공업,0.02421419284030474,0.0674183751661388,-0.003285857372767431,-0.10693799508331026,-0.09983604378074207,-0.07354064154583259,012450
24,현대엘리베이,2018,Q4,중공업,0.010336102474942824,0.025782890660547064,0.021874168458649423,-0.10693799508331026,-0.09983604378074207,-0.11206410594897,017800
24,두산중공업,2018,Q4,중공업,-0.32287417734015567,-0.05072810994882715,-0.19224425868461315,-0.10693799508331026,-0.09983604378074207,-0.02336183228518403,034020
24,대우조선해양,2018,Q4,중공업,-0.2075419310637293,0.040841612441694375,0.05687013731827473,-0.10693799508331026,-0.09983604378074207,0.017114649953694938,042660
24,두산인프라코어,2018,Q4,중공업,-0.18047095379706485,-0.1473829373234714,-0.012997628763181335,-0.10693799508331026,-0.09983604378074207,-0.01518768773076164,042670
24,현대로템,2018,Q4,중공업,-0.010311527781692564,0.0412140809354975,-0.19510822780859682,-0.10693799508331026,-0.09983604378074207,-0.17395876751954403,064350
24,두산엔진,2018,Q4,중공업,0.07121656273738207,-0.010323922495531823,-0.02995794533991769,-0.10693799508331026,-0.09983604378074207,-0.20145686432463228,082740
24,한진중공업,2018,Q4,중공업,-0.39247138161461015,0.042232685586130136,-1.795202433467352,-0.10693799508331026,-0.09983604378074207,0.0,097230
