,name,year,quarter,sector,Relative Return,이익잉여금 변화율,실업률 변화율,자본총계 변화율,금리 변화율,수출액 변화율,법인세차감전 순이익 변화율,Label,Code
24,현대중공업,2018,Q4,중공업,-0.11371797594043706,-0.02461359398591212,-0.08800000000000008,-0.020595486456025824,-0.10693799508331026,-0.008256951594797224,-106.41061340802547,-0.05632310860481532,009540
24,삼성중공업,2018,Q4,중공업,0.10917394975537703,-0.04345393389770302,-0.08800000000000008,-0.017660825550221082,-0.10693799508331026,-0.008256951594797224,0.38051046310143377,-0.025787363996223035,010140
24,현대미포조선,2018,Q4,중공업,0.18480418478697624,-0.05739636595975606,-0.08800000000000008,-0.00391289424456609,-0.10693799508331026,-0.008256951594797224,-0.8559004874141593,-0.12370889540684578,010620
24,한화테크윈,2018,Q4,중공업,0.02421419284030474,0.018959383299767874,-0.08800000000000008,-0.003285857372767431,-0.10693799508331026,-0.008256951594797224,-1.0130850677848828,-0.07354064154583259,012450
24,현대엘리베이,2018,Q4,중공업,0.010336102474942824,0.08412676006026265,-0.08800000000000008,0.021874168458649423,-0.10693799508331026,-0.008256951594797224,2.4317783517580356,-0.11206410594897,017800
24,두산중공업,2018,Q4,중공업,-0.32287417734015567,-0.5507585619202946,-0.08800000000000008,-0.19224425868461315,-0.10693799508331026,-0.008256951594797224,41.941286690306434,-0.02336183228518403,034020
24,대우조선해양,2018,Q4,중공업,-0.2075419310637293,0.6670889720689519,-0.08800000000000008,0.05687013731827473,-0.10693799508331026,-0.008256951594797224,0.8341460564200087,0.017114649953694938,042660
24,두산인프라코어,2018,Q4,중공업,-0.18047095379706485,-0.1338801911818942,-0.08800000000000008,-0.012997628763181335,-0.10693799508331026,-0.008256951594797224,-2.0415534986737796,-0.01518768773076164,042670
24,현대로템,2018,Q4,중공업,-0.010311527781692564,-0.5364390325342239,-0.08800000000000008,-0.19510822780859682,-0.10693799508331026,-0.008256951594797224,8.515308137070141,-0.17395876751954403,064350
24,두산엔진,2018,Q4,중공업,0.07121656273738207,-0.303546643963132,-0.08800000000000008,-0.02995794533991769,-0.10693799508331026,-0.008256951594797224,1.2778568842473454,-0.20145686432463228,082740
24,한진중공업,2018,Q4,중공업,-0.39247138161461015,1.114774090085946,-0.08800000000000008,-1.795202433467352,-0.10693799508331026,-0.008256951594797224,34.44915679388724,0.0,097230
