"year","quarter","month","week","code","name","sector","url","category","upload_dt","filtering"
2021,"Q1",1,1,660,"SK하이닉스","정보기술","https://mbnmoney.mbn.co.kr/news/view?news_no=MM1004231501","article","2021-01-07","after:2021-01-01 before:2021-01-07"
2021,"Q1",1,2,660,"SK하이닉스","정보기술","https://www.hankyung.com/article/202101141469i","article","2021-01-14","after:2021-01-08 before:2021-01-14"
2021,"Q1",1,3,660,"SK하이닉스","정보기술","https://www.newsway.co.kr/news/view?ud=2021011914592000988","article","2021-01-21","after:2021-01-15 before:2021-01-21"
2021,"Q1",1,4,660,"SK하이닉스","정보기술","https://www.newsway.co.kr/news/view?ud=2021012018013415469","article","2021-01-26","after:2021-01-22 before:2021-01-31"
2021,"Q1",2,1,660,"SK하이닉스","정보기술","","","","after:2021-02-01 before:2021-02-07"
2021,"Q1",2,2,660,"SK하이닉스","정보기술","","","","after:2021-02-08 before:2021-02-14"
2021,"Q1",2,3,660,"SK하이닉스","정보기술","https://www.hankyung.com/article/2021022130331","article","2021-02-21","after:2021-02-15 before:2021-02-21"
2021,"Q1",2,4,660,"SK하이닉스","정보기술","","","","after:2021-02-22 before:2021-02-28"
2021,"Q1",3,1,660,"SK하이닉스","정보기술","https://www.businesspost.co.kr/BP?command=article_view&num=220098","article","2021-03-04","after:2021-03-01 before:2021-03-07"
2021,"Q1",3,2,660,"SK하이닉스","정보기술","","","","after:2021-03-08 before:2021-03-14"
2021,"Q1",3,3,660,"SK하이닉스","정보기술","https://www.youtube.com/watch?v=f4v_91iergU","video","2021-03-15","after:2021-03-15 before:2021-03-21"
2021,"Q1",3,4,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202103300630418161","article","2021-03-30","after:2021-03-22 before:2021-03-31"
2021,"Q2",4,1,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202104010610456619","article","2021-04-01","after:2021-04-01 before:2021-04-07"
2021,"Q2",4,2,660,"SK하이닉스","정보기술","https://www.news1.kr/industry/electronics/4269723","article","2021-04-09","after:2021-04-08 before:2021-04-14"
2021,"Q2",4,3,660,"SK하이닉스","정보기술","https://www.donga.com/news/Economy/article/all/20210419/106471411/1","article","2021-04-19","after:2021-04-15 before:2021-04-21"
2021,"Q2",4,4,660,"SK하이닉스","정보기술","","","","after:2021-04-22 before:2021-04-30"
2021,"Q2",5,1,660,"SK하이닉스","정보기술","https://www.news1.kr/industry/general-industry/4289375","article","2021-05-03","after:2021-05-01 before:2021-05-07"
2021,"Q2",5,2,660,"SK하이닉스","정보기술","https://www.youtube.com/watch?v=rF_wGRqR33M","video","2021-05-12","after:2021-05-08 before:2021-05-14"
2021,"Q2",5,3,660,"SK하이닉스","정보기술","https://www.hankyung.com/article/2021051725771","article","2021-05-17","after:2021-05-15 before:2021-05-21"
2021,"Q2",5,4,660,"SK하이닉스","정보기술","","","","after:2021-05-22 before:2021-05-31"
2021,"Q2",6,1,660,"SK하이닉스","정보기술","https://www.joongang.co.kr/article/24075300","article","2021-06-06","after:2021-06-01 before:2021-06-07"
2021,"Q2",6,2,660,"SK하이닉스","정보기술","","","","after:2021-06-08 before:2021-06-14"
2021,"Q2",6,3,660,"SK하이닉스","정보기술","https://www.news1.kr/industry/electronics/4338549","article","2021-06-15","after:2021-06-15 before:2021-06-21"
2021,"Q2",6,4,660,"SK하이닉스","정보기술","https://www.newsis.com/view/NISX20210629_0001494349","article","2021-06-30","after:2021-06-22 before:2021-06-30"
2021,"Q3",7,1,660,"SK하이닉스","정보기술","","","","after:2021-07-01 before:2021-07-07"
2021,"Q3",7,2,660,"SK하이닉스","정보기술","https://www.newsway.co.kr/news/view?ud=2021071411080217589","article","2021-07-14","after:2021-07-08 before:2021-07-14"
2021,"Q3",7,3,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202107160422598883","article","2021-07-16","after:2021-07-15 before:2021-07-21"
2021,"Q3",7,4,660,"SK하이닉스","정보기술","https://www.joongang.co.kr/article/24114666","article","2021-07-27","after:2021-07-22 before:2021-07-31"
2021,"Q3",8,1,660,"SK하이닉스","정보기술","https://www.etoday.co.kr/news/view/2051189","article","2021-08-05","after:2021-08-01 before:2021-08-07"
2021,"Q3",8,2,660,"SK하이닉스","정보기술","https://www.youtube.com/watch?v=oM9GEFYfDQc","video","2021-08-13","after:2021-08-08 before:2021-08-14"
2021,"Q3",8,3,660,"SK하이닉스","정보기술","https://www.asiae.co.kr/article/2021081810524280621&mobile=Y","article","2021-08-18","after:2021-08-15 before:2021-08-21"
2021,"Q3",8,4,660,"SK하이닉스","정보기술","https://www.news1.kr/industry/general-industry/4410915","article","","after:2021-08-22 before:2021-08-31"
2021,"Q3",9,1,660,"SK하이닉스","정보기술","https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002772025","article","2021-09-06","after:2021-09-01 before:2021-09-07"
2021,"Q3",9,2,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202109101540397434","article","2021-09-10","after:2021-09-08 before:2021-09-14"
2021,"Q3",9,3,660,"SK하이닉스","정보기술","https://www.joongang.co.kr/article/25007787","article","2021-09-16","after:2021-09-15 before:2021-09-21"
2021,"Q3",9,4,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202109300731213498","article","2021-09-30","after:2021-09-22 before:2021-09-30"
2021,"Q4",10,1,660,"SK하이닉스","정보기술","https://news.kbs.co.kr/news/view.do?ncd=5293497&req_by=aipick","article","","after:2021-10-01 before:2021-10-07"
2021,"Q4",10,2,660,"SK하이닉스","정보기술","https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002779898","article","2021-10-13","after:2021-10-08 before:2021-10-14"
2021,"Q4",10,3,660,"SK하이닉스","정보기술","https://www.hani.co.kr/arti/economy/economy_general/1015474.html","article","2021-10-17","after:2021-10-15 before:2021-10-21"
2021,"Q4",10,4,660,"SK하이닉스","정보기술","https://www.khan.co.kr/article/202110260849001","article","2021-10-26","after:2021-10-22 before:2021-10-31"
2021,"Q4",11,1,660,"SK하이닉스","정보기술","https://www.etoday.co.kr/news/view/2075090","article","2021-11-04","after:2021-11-01 before:2021-11-07"
2021,"Q4",11,2,660,"SK하이닉스","정보기술","https://www.youtube.com/watch?v=qedKfLX8L0o","video","2021-11-11","after:2021-11-08 before:2021-11-14"
2021,"Q4",11,3,660,"SK하이닉스","정보기술","https://www.donga.com/news/Economy/article/all/20211119/110326279/1","article","2021-11-19","after:2021-11-15 before:2021-11-21"
2021,"Q4",11,4,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202111220530443277","article","2021-11-22","after:2021-11-22 before:2021-11-30"
2021,"Q4",12,1,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202112031150231918","article","2021-12-03","after:2021-12-01 before:2021-12-07"
2021,"Q4",12,2,660,"SK하이닉스","정보기술","https://news.kbs.co.kr/news/view.do?ncd=5346217","article","","after:2021-12-08 before:2021-12-14"
2021,"Q4",12,3,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202112160601245604","article","2021-12-16","after:2021-12-15 before:2021-12-21"
2021,"Q4",12,4,660,"SK하이닉스","정보기술","https://www.mk.co.kr/news/business/10156601","article","2021-12-30","after:2021-12-22 before:2021-12-31"
2022,"Q1",1,1,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202201061104422857","article","2022-01-06","after:2022-01-01 before:2022-01-07"
2022,"Q1",1,2,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202201101423358385","article","2022-01-10","after:2022-01-08 before:2022-01-14"
2022,"Q1",1,3,660,"SK하이닉스","정보기술","https://www.donga.com/news/Economy/article/all/20220119/111331002/1","article","2022-01-20","after:2022-01-15 before:2022-01-21"
2022,"Q1",1,4,660,"SK하이닉스","정보기술","https://www.sedaily.com/NewsView/260ZMYQYEV","article","2022-01-24","after:2022-01-22 before:2022-01-31"
2022,"Q1",2,1,660,"SK하이닉스","정보기술","https://www.newsway.co.kr/news/view?ud=2022013016074913814","article","2022-02-03","after:2022-02-01 before:2022-02-07"
2022,"Q1",2,2,660,"SK하이닉스","정보기술","https://news.sbs.co.kr/news/endPage.do?news_id=N1006632205","article","2022-02-08","after:2022-02-08 before:2022-02-14"
2022,"Q1",2,3,660,"SK하이닉스","정보기술","https://www.mk.co.kr/news/it/10225053","article","2022-02-19","after:2022-02-15 before:2022-02-21"
2022,"Q1",2,4,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202202231430599080","article","2022-02-23","after:2022-02-22 before:2022-02-28"
2022,"Q1",3,1,660,"SK하이닉스","정보기술","https://biz.sbs.co.kr/article/20000053140","article","","after:2022-03-01 before:2022-03-07"
2022,"Q1",3,2,660,"SK하이닉스","정보기술","https://www.businesspost.co.kr/BP?command=article_view&num=274324","article","2022-03-14","after:2022-03-08 before:2022-03-14"
2022,"Q1",3,3,660,"SK하이닉스","정보기술","https://www.youtube.com/watch?v=7OYFNNhRVfA","video","2022-03-21","after:2022-03-15 before:2022-03-21"
2022,"Q1",3,4,660,"SK하이닉스","정보기술","https://www.hankyung.com/article/2022033155631","article","2022-03-31","after:2022-03-22 before:2022-03-31"
2022,"Q2",4,1,660,"SK하이닉스","정보기술","https://www.fnnews.com/news/202204071157300062","article","2022-04-07","after:2022-04-01 before:2022-04-07"
2022,"Q2",4,2,660,"SK하이닉스","정보기술","https://www.joongang.co.kr/article/25061948","article","2022-04-08","after:2022-04-08 before:2022-04-14"
2022,"Q2",4,3,660,"SK하이닉스","정보기술","https://www.news1.kr/local/sejong-chungbuk/4650059","article","","after:2022-04-15 before:2022-04-21"
2022,"Q2",4,4,660,"SK하이닉스","정보기술","https://www.businesspost.co.kr/BP?command=article_view&num=278597","article","2022-04-22","after:2022-04-22 before:2022-04-30"
2022,"Q2",5,1,660,"SK하이닉스","정보기술","https://www.hankyung.com/article/202205026524g","article","2022-05-02","after:2022-05-01 before:2022-05-07"
2022,"Q2",5,2,660,"SK하이닉스","정보기술","https://www.youtube.com/watch?v=rpQx9D5cfiU","video","2022-05-12","after:2022-05-08 before:2022-05-14"
2022,"Q2",5,3,660,"SK하이닉스","정보기술","https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002836298","article","2022-05-19","after:2022-05-15 before:2022-05-21"
