,name,year,quarter,sector,Relative Return,국제유가 변화율,이익잉여금 변화율,자본총계 변화율,자산총계 변화율,영업이익 변화율,유동부채 변화율,Label,Code
1,현대중공업,2024,Q3,중공업,0.05632699984763589,-0.05674568795778523,0.00039739250171177964,0.0005746134870763253,0.004429123798919132,0.72867492269697,0.2677627203512538,0.06827607424592481,009540
1,삼성중공업,2024,Q3,중공업,0.15207878626156152,-0.05674568795778523,-0.033719424180400415,-0.051391439801208416,-0.10290656179920432,-0.08204631338649793,-0.09415469245460883,0.20166412534833592,010140
1,현대미포조선,2024,Q3,중공업,0.09890692446022838,-0.05674568795778523,-0.002515088700162038,-0.0016317831254003545,-0.04900381286859534,1.660249650588185,-0.047875278631121065,-0.11430236430236436,010620
1,한화테크윈,2024,Q3,중공업,0.37474988351701755,-0.05674568795778523,0.13444878547376082,-0.08202069941016699,-0.012456971493413849,0.572407994000762,0.019910276126617665,0.6575669352243936,012450
1,SK텔레콤,2024,Q3,커뮤니케이션서비스,0.1480776425971261,-0.05674568795778523,0.003216821698364347,-0.00026174687475433167,0.0017207472048055283,0.014597648834963284,0.1516852138168132,-0.08517500198916134,017670
1,현대엘리베이,2024,Q3,중공업,0.2528290623784065,-0.05674568795778523,-0.0339281390165832,-0.014174673923998293,-0.02581777660935758,0.1716103633432151,0.03709953719567194,0.08052707568186233,017800
1,제일기획,2024,Q3,커뮤니케이션서비스,0.14019050476377237,-0.05674568795778523,0.0442610613555523,0.055086593650148785,0.0034787408108447604,0.3232092108282014,-0.044648762288098776,-0.07174559595334251,030000
1,KT,2024,Q3,커뮤니케이션서비스,0.222114110545662,-0.05674568795778523,0.014110345713829409,0.009541442581192827,-0.016664010597142953,-0.05573235095776041,0.10386666994756033,0.07411643234813965,030200
1,LG유플러스,2024,Q3,커뮤니케이션서비스,0.15455574478690715,-0.05674568795778523,0.0087767487506909,0.005685063783798405,-0.009728111434147313,0.00341918945796138,-0.023828365825819153,0.009210228649106353,032640
1,두산중공업,2024,Q3,중공업,0.20670740391865988,-0.05674568795778523,0.04976893342736011,0.000944108418348133,-0.004043170923549666,-0.35441910340388927,-0.03660663490906779,0.23353615746646608,034020
1,SBS,2024,Q3,커뮤니케이션서비스,0.013590057813970768,-0.05674568795778523,-0.03395652051661546,-0.02655536318557583,-0.04496541270142784,-5.647863161787015,-0.20680621950704203,0.27653325121706757,034120
1,NAVER,2024,Q3,커뮤니케이션서비스,0.27535199399224725,-0.05674568795778523,0.07939029093691197,0.0953397828788567,0.07316684432483367,-0.05068272127525275,0.053622438477766154,0.06098019907187478,035420
1,엔씨소프트,2024,Q3,커뮤니케이션서비스,0.21888764133863128,-0.05674568795778523,-0.006547178494953343,-0.031206728708489506,-0.035668946517511846,-1.6986694881683095,-0.17682562088204146,-0.2889484908295588,036570
1,대우조선해양,2024,Q3,중공업,0.2569319148554025,-0.05674568795778523,0.2451116842833938,-0.022905729434262723,0.013443328860886394,-1.7614044916952598,0.03882202766416554,1.028604995401358,042660
1,두산인프라코어,2024,Q3,중공업,0.11017816569474759,-0.05674568795778523,-0.052381011206186434,0.001765305166917086,-0.03149928772012878,-0.7973368646868164,-0.10414855847407156,0.24184906003087814,042670
1,현대로템,2024,Q3,중공업,0.29508604781721015,-0.05674568795778523,0.22508761835896696,0.056628293779568795,-0.08341546902416186,0.13625875556461198,-0.18255514243439874,0.6486620465521739,064350
1,두산엔진,2024,Q3,중공업,0.269727500512098,-0.05674568795778523,-0.08671048073649723,0.03181920664430793,-0.08086027081446234,-0.17915624151884557,-0.17075170152709418,0.48149094039646645,082740
1,한진중공업,2024,Q3,중공업,0.043549697889725306,-0.05674568795778523,-0.03310505433955824,0.16703317716798938,-0.20926500442681129,-1.8261261712682266,-0.26429575427769936,1.4856741650392562,097230
