Variable,VIF
const,1.3104005850386058
F_유동자산 변화율,3.7470103643967296
F_비유동자산 변화율,2.8245880354701813
F_자산총계 변화율,7.6101914430306055
F_유동부채 변화율,3.810961308728786
F_비유동부채 변화율,3.689031454789008
F_부채총계 변화율,9.991373903145051
F_이익잉여금 변화율,1.822922582453807
F_자본총계 변화율,2.9674633966453445
F_매출액 변화율,1.3199195910865067
F_영업이익 변화율,1.1568195946818265
F_법인세차감전 순이익 변화율,1.4875526077204377
F_당기순이익 변화율,1.716461443733324
M_소비자물가지수 변화율,1.532330145586694
M_환율 변화율,4.767780942096311
M_금리 변화율,2.854002965475979
M_실업률 변화율,3.020951140203346
M_국제유가 변화율,2.6140820878105675
