,name,year,quarter,sector,Relative Return,자산총계 변화율,비유동자산 변화율,Relative Return,자본총계 변화율,비유동부채 변화율,영업이익 변화율,Label,Code
5,CJ대한통운,2023,Q3,산업재,-0.0018312838947458498,0.01983242696746279,0.0018936867422048032,-0.0018312838947458498,0.017443120431162473,0.00916597621661941,0.11529071443056416,0.45385138144132386,000120
5,두산,2023,Q3,산업재,-0.2355025124873475,0.03339766075329509,0.019620124704323283,-0.2355025124873475,-0.0035865908306648153,0.08509017979901912,-0.8043993198978729,0.7618153709008032,000150
5,LG상사,2023,Q3,산업재,-0.14747209053297525,0.0427774402702068,0.02742155251975409,-0.14747209053297525,0.02466843578952993,-0.007746569885857202,2.3261157045951983,-0.19492066041087908,001120
5,대한항공,2023,Q3,산업재,-0.11089987595250758,0.010281467872702565,0.01728471997014669,-0.11089987595250758,0.04429352983633583,-0.0146150358539332,0.11179980593497763,-0.06269085546436148,003490
5,S&T중공업,2023,Q3,산업재,0.4007626565506782,0.008081755605030105,0.03512418415978291,0.4007626565506782,0.01450551352584406,-0.009165846860064275,0.5749658282653649,0.17628129866075112,003570
5,LS,2023,Q3,산업재,-0.3065947912067449,0.020044249784513468,0.041351272135183414,-0.3065947912067449,0.04853110346944889,-0.17529561557362228,-0.4022315712456558,0.2954907408760818,006260
5,LS산전,2023,Q3,산업재,-0.3045992747501028,0.016661947462551785,0.04139306902291473,-0.3045992747501028,0.01847702793962247,-0.0012244462578056003,-0.30813493027842465,0.1289886933733804,010120
5,현대상선,2023,Q3,산업재,-0.007463480129581125,-0.004745470167429877,0.07156116245203958,-0.007463480129581125,0.02789334119253839,-0.25678070971890576,-0.5378781428674346,-0.14033108180328285,011200
5,한국단자,2023,Q3,산업재,0.26112799861195235,0.034315606866602844,0.010543488879214635,0.26112799861195235,0.017150701799853785,0.012271915688751411,-0.28709325316486767,-0.21019469644483962,025540
5,대우인터내셔널,2023,Q3,산업재,-0.3189297291239039,-0.007819183577560063,0.02915044343576012,-0.3189297291239039,0.006358898462405449,0.02701493599865823,-0.1484791682433353,-0.0936546734822794,047050
5,한국항공우주,2023,Q3,산업재,-0.029950585891655654,-0.057736594443949074,-0.0015658334993953194,-0.029950585891655654,0.03718294291918167,-0.012077549391689257,5.311166089967764,-0.0018145060863817286,047810
5,한전KPS,2023,Q3,산업재,0.04657287809756606,0.009557130719854312,0.013773853133118408,0.04657287809756606,0.034545251236341334,-0.357344981879389,-0.2650449132984599,-0.044531378325202944,051600
5,현대글로비스,2023,Q3,산업재,0.048617823940788854,0.0314737452873628,0.010192325224883225,0.048617823940788854,0.027225278391912022,-0.00013454743688878779,-0.0352929054352209,-0.019511142011394506,086280
