,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,매출액 변화율,자본총계 변화율,유동부채 변화율,비유동부채 변화율,Label,Code
29,CJ대한통운,2017,Q3,산업재,-0.18818800596954915,0.048494335145597756,0.05497965617652523,0.036180046731628,0.0006974755114412812,0.38041809746543187,-0.02107577324058929,-0.041479917630222414,000120
29,두산,2017,Q3,산업재,-0.0906428996630934,0.005625689946810786,0.04900488870085118,0.0022188286749562636,0.014173135317234298,0.34914865834034625,-0.32357146294936834,-0.12720228105803708,000150
29,LG상사,2017,Q3,산업재,-0.10129325401356078,-0.003866677372698746,0.029114066797319094,0.20112842079003146,0.031994002512184094,0.07755876569901221,-0.0022355339917254913,-0.011568343910626756,001120
29,대한항공,2017,Q3,산업재,-0.24487756318235174,-0.002914580070418671,-0.003532617760955037,0.09635759194774707,0.02433045721532001,-0.09005212517280847,0.04283653836544876,0.12563477305901172,003490
29,S&T중공업,2017,Q3,산업재,-0.1652097407655618,-0.007121910873181703,-0.0029912560933146315,-0.05999791813771915,-0.002988782992392691,0.005685159625540059,-0.015654887863204237,-0.013550251049301458,003570
29,LS,2017,Q3,산업재,-0.23972379605919317,0.017147648460170695,-0.011356265449186775,0.03411806502683623,-0.3278835596144195,-0.10101364711199345,-0.0020956815028532194,0.07619834967488062,006260
29,LS산전,2017,Q3,산업재,-0.06067428757190768,-0.007804979785774879,-0.0013616940345521078,0.028199051932781938,0.03582339908479515,-0.0685580466577076,-0.0014085205929184053,0.08046051358554096,010120
29,현대상선,2017,Q3,산업재,-0.2434103961001017,0.0059895774876495,-0.02046837342025476,0.023398589073842402,-0.06798821830199742,0.040159432128672456,-0.02319685091328083,-0.2182255333682668,011200
29,한국단자,2017,Q3,산업재,-0.08213517779674952,0.03258567225077824,0.050667764290951656,0.012181049489345064,0.01668871766991642,0.2085560129250148,0.034283619881901206,-0.19060520775301398,025540
29,대우인터내셔널,2017,Q3,산업재,-0.2495476075871764,-0.002687308639279906,-0.03470147489995978,-0.09761640157133478,0.011648558954753696,-0.10399288482529356,0.2004052845626938,0.23012701963408144,047050
29,한국항공우주,2017,Q3,산업재,0.22578965339006057,0.060285504658331934,0.25860853767801717,-0.12452464682153142,-0.06102356900340722,1.085902780237991,0.007537834152842038,0.05683325993621334,047810
29,한전KPS,2017,Q3,산업재,-0.27659612149542767,0.02450704116359992,-0.009410094028595273,-0.18323139807849687,0.04415199187711005,-0.1615922010895241,-0.012426989268899291,0.21906294070207016,051600
29,현대글로비스,2017,Q3,산업재,-0.19470552100981864,0.011472862226873826,0.007859112269619217,0.0027675183676021398,0.021401944733779876,-0.006185515865696822,-0.00030957980821566533,0.10117766068052905,086280
