,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,자본총계 변화율,매출액 변화율,영업이익 변화율,비유동부채 변화율,Label,Code
17,CJ대한통운,2021,Q1,산업재,-0.04341978038511274,0.020382950821737467,0.024932484377589992,0.021998544000502385,-0.05922559924847581,-0.5167362990037098,0.11847127109796629,-0.012464853230435894,000120
17,두산,2021,Q1,산업재,0.40058764692865567,-0.12165294205743815,-0.025816667109242797,0.021080142930058443,0.0720678902685219,-2.104767661041598,-0.1722301268323353,0.3835072012805181,000150
17,LG상사,2021,Q1,산업재,0.19528267039672717,0.047606606498153514,0.08478062575353795,0.059497489546852744,0.05248762266828311,-2.195839891256895,-0.07551590209028214,-0.16533429368954639,001120
17,대한항공,2021,Q1,산업재,0.01953632682385346,0.002015686314524423,0.05858034436995063,0.9726074086839371,-0.03376820689091209,-0.10408805790921571,-0.07125832043854397,0.008997387759449207,003490
17,S&T중공업,2021,Q1,산업재,0.10338729351118789,-0.04351907865216553,0.08160033812423317,0.08154410321206118,-0.3470619898786883,-0.568648142350106,-0.012003994277305474,0.1600731507351953,003570
17,LS,2021,Q1,산업재,0.07929126215401003,-0.007817621759851234,0.015416817125290416,0.005773018749322345,0.07221122329265506,-0.10364013744265954,7.381451714461029e-05,-0.02215560018290256,006260
17,LS산전,2021,Q1,산업재,-0.07565229258476655,0.04666013116591272,-0.014802060155066132,-0.019908755878273787,-0.0956467495803186,-0.6391120288116434,0.0017760444931660402,0.1767543787661602,010120
17,현대상선,2021,Q1,산업재,0.5801744009530537,0.08118667634863908,0.17523643316203352,0.2850045410781934,0.23344515486089046,0.8103673541077097,0.032132816333917846,-0.1217558543991153,011200
17,한국단자,2021,Q1,산업재,0.06808247094521883,0.027840113228946084,0.05218394663008308,0.03772193309988858,-0.04059501478885641,-0.1793248085211312,0.03188256946384693,0.047700079168516464,025540
17,대우인터내셔널,2021,Q1,산업재,-0.024403823798412265,-0.007631450897871317,0.14826196664759395,-0.0031473672639956707,0.27508238556355846,0.048969167329175,0.03721967626351086,0.09809664409576732,047050
17,한국항공우주,2021,Q1,산업재,-0.2006383507167793,-0.008861986233486774,0.026987740505061142,-0.004292249019204997,-0.19818528629417909,-2.201055310747539,-0.00398259793498934,0.049093454303103835,047810
17,한전KPS,2021,Q1,산업재,0.3331535255450692,0.04024683916957872,0.02880866498477208,-0.00039024405109000515,-0.1965885955981651,1.1730923006574958,0.13696639824168577,0.033138388066082713,051600
17,현대글로비스,2021,Q1,산업재,-0.053907685410679515,0.02877248696864121,0.05643695054398323,0.0021038098263621574,0.05601652112983779,0.2892267948712641,0.05837492998718097,0.01401639757709715,086280
