,name,year,quarter,sector,Relative Return,자산총계 변화율,비유동자산 변화율,자본총계 변화율,매출액 변화율,금리 변화율,영업이익 변화율,Label,Code
15,CJ대한통운,2021,Q1,산업재,-0.0013950976945100314,0.024932484377589992,0.020382950821737467,0.021998544000502385,-0.05922559924847581,0.17195325542571194,-0.5167362990037098,-0.023021486438886938,000120
15,두산,2021,Q1,산업재,0.4133159621832869,-0.025816667109242797,-0.12165294205743815,0.021080142930058443,0.07206343367221879,0.17195325542571194,-2.104767661041598,0.3998221686124155,000150
15,LG상사,2021,Q1,산업재,0.13019494504908907,0.08478062575353795,0.047606606498153514,0.059497489546852744,0.05248762266828311,0.17195325542571194,-2.195839891256895,-0.16533429368954639,001120
15,대한항공,2021,Q1,산업재,0.002459938505026964,0.05858034436995063,0.002015686314524423,0.9726074086839371,-0.03376820689091209,0.17195325542571194,-0.10408805790921571,-0.018333141026916258,003490
15,S&T중공업,2021,Q1,산업재,0.21360493373460077,0.08160033812423317,-0.04351907865216553,0.08154410321206118,-0.3470619898786883,0.17195325542571194,-0.568648142350106,0.24394302420486916,003570
15,LS,2021,Q1,산업재,0.09368193975702957,0.015416817125290416,-0.007817621759851234,0.005773018749322345,0.07221281476979802,0.17195325542571194,-0.10364013744265954,-0.02215560018290256,006260
15,LS산전,2021,Q1,산업재,-0.07273411347431195,-0.014802060155066132,0.04666013116591272,-0.019908755878273787,-0.0956467495803186,0.17195325542571194,-0.6391120288116434,0.1767543787661602,010120
15,현대상선,2021,Q1,산업재,0.9641633652587319,0.17523643316203352,0.08118667634863908,0.2850045410781934,0.23344515486089046,0.17195325542571194,0.8103673541077097,-0.12606770772181125,011200
15,한국단자,2021,Q1,산업재,0.12201228827997054,0.05218394663008308,0.027840113228946084,0.03772193309988858,-0.04059501478885641,0.17195325542571194,-0.1793248085211312,0.09048444396116133,025540
15,대우인터내셔널,2021,Q1,산업재,0.005251321471199531,0.14826196664759395,-0.007631450897871317,-0.0031473672639956707,0.27508238556355846,0.17195325542571194,0.048969167329175,0.08005449651156404,047050
15,한국항공우주,2021,Q1,산업재,-0.14587537595368386,0.026987740505061142,-0.008861986233486774,-0.004292249019204997,-0.19818528629417909,0.17195325542571194,-2.201055310747539,0.049093454303103835,047810
15,한전KPS,2021,Q1,산업재,0.3543487225247332,0.02880866498477208,0.04024683916957872,-0.00039024405109000515,-0.1965885955981651,0.17195325542571194,1.1730923006574958,0.033138388066082713,051600
15,현대글로비스,2021,Q1,산업재,-0.0639181928748738,0.05643695054398323,0.02877248696864121,0.0021038098263621574,0.05601652112983779,0.17195325542571194,0.2892267948712641,0.01401639757709715,086280
