,name,year,quarter,sector,Relative Return,자산총계 변화율,비유동자산 변화율,Relative Return,자본총계 변화율,비유동부채 변화율,영업이익 변화율,Label,Code
13,CJ대한통운,2021,Q3,산업재,-0.09966356553637193,-0.003022920782855265,-0.03818183816579801,-0.09966356553637193,0.010103910820872253,-0.05894582120977443,0.25490321498809165,0.03823905401086618,000120
13,두산,2021,Q3,산업재,0.41635357612799506,-0.01352322346139656,0.0017528624222209466,0.41635357612799506,0.1152048594875581,0.031189862762240672,-0.32463265320774515,-0.04979934996693024,000150
13,LG상사,2021,Q3,산업재,0.0010167209445187883,0.0516530050627233,0.0773227055196466,0.0010167209445187883,0.11437007155297918,-0.04650335529882188,-3.1878867644879967,0.22057431134612354,001120
13,대한항공,2021,Q3,산업재,0.10236674735393225,-0.008880006408891417,-0.01445696632066984,0.10236674735393225,-0.007760783174828201,-0.05556790196250727,1.2274086087857614,0.02508918020116732,003490
13,S&T중공업,2021,Q3,산업재,-0.01959866757723626,-0.005441884870931779,0.009512557056823301,-0.01959866757723626,-0.006378086432968888,0.015472760666086938,-0.4038149338888747,-0.056292676079695354,003570
13,LS,2021,Q3,산업재,-0.09416699707156917,0.016968991004830958,0.09276690958248524,-0.09416699707156917,0.021491803614066995,-0.01791869087189979,-0.3932590942835932,-0.03695878846085213,006260
13,LS산전,2021,Q3,산업재,0.005512225440023284,-0.023450805918522555,-0.022308622688893442,0.005512225440023284,-0.0007979239277063899,0.0077804034817023915,-0.23898825139529545,-0.15157707045872365,010120
13,현대상선,2021,Q3,산업재,-0.25051204052485565,0.24455965579636607,0.1255362787472425,-0.25051204052485565,0.5060302464849251,-0.005476323639075353,0.6430260647335981,0.29671968659720305,011200
13,한국단자,2021,Q3,산업재,-0.16224005922731322,0.00714131602577206,0.02573338260192415,-0.16224005922731322,0.027721788419462712,0.03112741351976367,0.041942979534827396,-0.09355461139944468,025540
13,대우인터내셔널,2021,Q3,산업재,-0.08816575610388241,0.09770469351176558,-0.006315878522622831,-0.08816575610388241,0.012323753013925076,-0.08093027968323552,-0.10188579789051111,0.18716245551818023,047050
13,한국항공우주,2021,Q3,산업재,-0.030033517160934046,-0.05040331550986277,-0.010642202890125407,-0.030033517160934046,0.007764529300771539,0.002765004863497067,-0.8967831730254179,0.4031162344422362,047810
13,한전KPS,2021,Q3,산업재,0.17184651693076033,0.017687388287330963,0.01693909353036993,0.17184651693076033,0.031233851805654522,-0.09110604008273027,-0.18322667498139977,0.020848768122258124,051600
13,현대글로비스,2021,Q3,산업재,-0.10442638119133932,0.02927361198911238,0.001497797928111666,-0.10442638119133932,0.02626685006179197,0.04200218909702169,0.14390376816771866,0.15844896954791807,086280
