,name,year,quarter,sector,Relative Return,비유동자산 변화율,유동자산 변화율,자본총계 변화율,당기순이익(손실) 변화율,소비자물가지수 변화율,금리 변화율,Label,Code
1,CJ대한통운,2024,Q3,산업재,-0.045049518370987585,-0.006302671640738167,-0.008597101618161629,0.02857706809806615,1.2751196495304855,-0.2377021247854798,-0.11983510689291532,0.07174232802373501,000120
1,두산,2024,Q3,산업재,0.576339132409057,-0.0026689140665191458,-0.012902987735249338,0.0007597759747115518,-0.4972244279616913,-0.2377021247854798,-0.11983510689291532,0.2714160839160839,000150
1,LG상사,2024,Q3,산업재,0.03935304208420444,0.03415793284259494,-0.16266330649146588,0.03046366516724719,0.05421231271038174,-0.2377021247854798,-0.11983510689291532,-0.15531093906093915,001120
1,대한항공,2024,Q3,산업재,0.23188828067207462,0.03233988013205469,-0.05275736229154282,0.02775188395410888,-0.20767053266709756,-0.2377021247854798,-0.11983510689291532,-0.10632004797777332,003490
1,S&T중공업,2024,Q3,산업재,0.16573363957244888,0.02484415139166729,-0.09879754235217941,0.017041432052964156,-0.6272574721596567,-0.2377021247854798,-0.11983510689291532,0.09611893425387576,003570
1,LS,2024,Q3,산업재,0.01240458199620946,0.005982618939186057,-0.4811455255491043,0.00943302674145774,-0.7478254492943287,-0.2377021247854798,-0.11983510689291532,0.14085914085914092,006260
1,LS산전,2024,Q3,산업재,-0.06381382043048417,0.03201942396343882,-0.0266265914477658,0.032644571991981675,-0.5268780922229914,-0.2377021247854798,-0.11983510689291532,0.3872234582002677,010120
1,현대상선,2024,Q3,산업재,-0.005130339658099628,0.010075579932693923,0.0342325994343311,0.02058623097888046,1.5880104911578385,-0.2377021247854798,-0.11983510689291532,0.24701674434638393,011200
1,한국단자,2024,Q3,산업재,0.2847673435329886,-0.01200630737140762,-0.0885632514892043,0.010382959442039263,-0.6285720145974574,-0.2377021247854798,-0.11983510689291532,-0.17045873283423083,025540
1,대우인터내셔널,2024,Q3,산업재,0.05579092265251979,0.01965727572038478,-0.01849948852668659,0.032911021115225925,-0.09883006986351517,-0.2377021247854798,-0.11983510689291532,0.13286654197537473,047050
1,한국항공우주,2024,Q3,산업재,0.28873716071611066,0.013606854538139368,-0.022908895225817405,0.04222545641842923,0.2746738126296737,-0.2377021247854798,-0.11983510689291532,0.3309037045044507,047810
1,한전KPS,2024,Q3,산업재,0.16495993640367362,0.0003730860441761852,-0.0264089279721077,0.027304002391263626,-0.4459569036654467,-0.2377021247854798,-0.11983510689291532,-0.09272102897102899,051600
1,현대글로비스,2024,Q3,산업재,0.14694704913473322,0.07894878370956038,0.014504618907754674,0.05431274863239355,0.6621436810770007,-0.2377021247854798,-0.11983510689291532,-0.006394651555941933,086280
