,name,year,quarter,sector,Relative Return,자산총계 변화율,비유동자산 변화율,자본총계 변화율,영업이익 변화율,Label,Code
1,CJ대한통운,2024,Q3,산업재,-0.045049518370987585,-0.006784793883670703,-0.006302671640738167,0.02857706809806615,0.09502698350049466,0.07174232802373501,000120
1,두산,2024,Q3,산업재,0.576339132409057,-0.00398377215671053,-0.0026689140665191458,0.0007597759747115518,0.5109359954514094,0.2714160839160839,000150
1,LG상사,2024,Q3,산업재,0.03935304208420444,-0.005618702851098112,0.03415793284259494,0.03046366516724719,0.7486641129985223,-0.15531093906093915,001120
1,대한항공,2024,Q3,산업재,0.23188828067207462,0.00854260442095156,0.03233988013205469,0.02775188395410888,0.49637124816425837,-0.10632004797777332,003490
1,S&T중공업,2024,Q3,산업재,0.16573363957244888,-0.04319808392009228,0.02484415139166729,0.017041432052964156,-0.6791011322562474,0.09611893425387576,003570
1,LS,2024,Q3,산업재,0.01240458199620946,0.001988358883869168,0.005982618939186057,0.00943302674145774,-0.7030805849065527,0.14085914085914092,006260
1,LS산전,2024,Q3,산업재,-0.06381382043048417,-0.0009236683270209545,0.03201942396343882,0.032644571991981675,-0.5257982180559033,0.3872234582002677,010120
1,현대상선,2024,Q3,산업재,-0.005130339658099628,0.023091545925471246,0.010075579932693923,0.02058623097888046,1.295161239429509,0.24701674434638393,011200
1,한국단자,2024,Q3,산업재,0.2847673435329886,-0.05290025323161773,-0.01200630737140762,0.010382959442039263,-0.07009453355132511,-0.17045873283423083,025540
1,대우인터내셔널,2024,Q3,산업재,0.05579092265251979,0.0027640597724407634,0.01965727572038478,0.032911021115225925,-0.01661331253035747,0.13286654197537473,047050
1,한국항공우주,2024,Q3,산업재,0.28873716071611066,-0.01102047406478146,0.013606854538139368,0.04222545641842923,0.07808275133762344,0.3309037045044507,047810
1,한전KPS,2024,Q3,산업재,0.16495993640367362,-0.01592662078548457,0.0003730860441761852,0.027304002391263626,-0.4422912390528241,-0.09272102897102899,051600
1,현대글로비스,2024,Q3,산업재,0.14694704913473322,0.044599638652921714,0.07894878370956038,0.05431274863239355,0.2896014487325105,-0.006394651555941933,086280
