,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,매출액 변화율,금리 변화율,자본총계 변화율,유동부채 변화율,Label,Code
4,CJ대한통운,2023,Q4,산업재,0.45385138144132386,0.005313680848907376,-0.03178797372816777,0.06616800715562254,0.00757180156657955,-0.03911776262100786,-0.03975330030295321,-0.09066596150247212,000120
4,두산,2023,Q4,산업재,0.7618153709008032,0.010875646627577673,-0.018812339881735363,1.962351018147904,0.00757180156657955,-0.011312003820950434,-0.02351486133041225,0.10206862428119036,000150
4,LG상사,2023,Q4,산업재,-0.19492066041087908,-0.0464742264459822,-0.08490764659103156,-0.007270987712649779,0.00757180156657955,-0.06606135005017977,-0.2433448542315727,0.06799306689519649,001120
4,대한항공,2023,Q4,산업재,-0.06269085546436148,0.023367019170002168,0.006131582524865786,0.0301147885255737,0.00757180156657955,-0.042260192771823135,0.03771912761270313,-0.037283942385047716,003490
4,S&T중공업,2023,Q4,산업재,0.17628129866075112,0.02150738172388955,0.041740629707346155,0.1147772812965775,0.00757180156657955,0.024255449780284266,-0.0020655863143964615,-0.09528477142670433,003570
4,LS,2023,Q4,산업재,0.2954907408760818,0.07334271536829795,0.0689886538170077,2.572916296770724,0.00757180156657955,0.04022167132597576,0.1510757391111477,0.37648445993258495,006260
4,LS산전,2023,Q4,산업재,0.1289886933733804,0.04183867912046235,0.01098633974585228,0.017485900996638826,0.00757180156657955,0.03163387348731628,-0.10685519395551779,1.1140461433752105,010120
4,현대상선,2023,Q4,산업재,-0.14033108180328285,-0.05180675994998618,-0.029339526320570908,-0.03239144689156348,0.00757180156657955,-0.02708896212303402,0.00016009176522158164,0.14795358872219788,011200
4,한국단자,2023,Q4,산업재,-0.21019469644483962,-0.02211139375049942,-0.013792101723771766,-0.009767879800544277,0.00757180156657955,-0.01529964123342109,-0.050774204438936765,-0.015590539087038785,025540
4,대우인터내셔널,2023,Q4,산업재,-0.0936546734822794,-0.007691882457082522,-0.0214486484203833,0.004672705361339569,0.00757180156657955,0.013221713300493931,0.05198963665316536,-0.24271090067905848,047050
4,한국항공우주,2023,Q4,산업재,-0.0018145060863817286,0.006238013836370904,-0.013490005009909378,0.4961267952021058,0.00757180156657955,0.06790252687442444,-0.06624625211873658,0.04946272448238216,047810
4,한전KPS,2023,Q4,산업재,-0.044531378325202944,-0.0211583167123367,0.0157306148432228,0.30136933394457954,0.00757180156657955,0.005219074521145339,0.07829418214640094,-0.03023632796750363,051600
4,현대글로비스,2023,Q4,산업재,-0.019511142011394506,0.016523843787425774,0.0015837851275373183,0.03325965201124648,0.00757180156657955,0.03584639660019562,-0.03013273989937726,-0.029745857766283784,086280
