,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,자본총계 변화율,매출액 변화율,영업이익 변화율,비유동부채 변화율,Label,Code
28,CJ대한통운,2018,Q2,산업재,-0.08753989778786372,0.01664181233881523,0.023362962253114405,0.0023326808527597276,0.13287089820554532,0.5953481909063025,0.20520215402125896,0.11571023203286286,000120
28,두산,2018,Q2,산업재,-0.031583011954693416,0.13069409956515554,0.10249406837918706,-0.003976187043333468,-0.39384977087184037,-0.5140133115134898,0.8615286363347552,0.2813772335036169,000150
28,LG상사,2018,Q2,산업재,-0.1822205925842355,0.02694552317999732,-0.02026708211698136,0.036939165982079025,-0.059874226179991163,0.14528101379008018,-0.06584479626316486,-0.22248022226883024,001120
28,대한항공,2018,Q2,산업재,-0.10501069971367774,0.010691827318265457,-0.0013354796915271416,-0.0792412376526681,-0.0011608180077635755,-0.5337724258956276,-0.0065827920868895,0.14040131560239916,003490
28,S&T중공업,2018,Q2,산업재,0.004301765650080239,0.0009784333375872922,-0.006130760366906407,-0.001757293924292802,0.18290247363738676,-0.7967094516405654,-0.008424683568407865,0.07173339406367663,003570
28,LS,2018,Q2,산업재,-0.1178274543580107,-0.0028548412106398358,-0.028208997816811743,-0.005796111937345971,0.022595552805737773,-1.0426498996250142,-0.0016172443101331035,-0.14615924572539346,006260
28,LS산전,2018,Q2,산업재,-0.05297483287324756,-0.009180238359474235,-0.010081277111906206,0.029320423522769756,0.13677797552259685,0.10361233230836198,0.00799108465953946,-0.24531077979904248,010120
28,현대상선,2018,Q2,산업재,-0.16784359577912367,0.16618497722116587,0.0517232150748177,-0.2746054943942434,0.10420970857869949,0.188732042615265,0.013707268931443473,-0.0778137709005156,011200
28,한국단자,2018,Q2,산업재,0.011509834771599128,0.00686095667415465,0.02444073047039641,0.021585755553341412,0.11807750506860959,0.5296574706634696,0.028306374523207944,-0.17829780733751166,025540
28,대우인터내셔널,2018,Q2,산업재,-0.23668002238205516,-0.014466858229250978,0.029680937015102327,0.013954761354725287,-0.021598221150895602,-0.17110999298895635,0.012023941404871508,0.1684108036867166,047050
28,한국항공우주,2018,Q2,산업재,-0.04013272579782187,0.05965494083233813,0.025777462676483953,0.011916623437724816,0.3086315390959258,-0.18749707616233247,-0.0036715056481442243,-0.08890511711530323,047810
28,한전KPS,2018,Q2,산업재,-0.10144173065521384,0.0013313988391312481,-0.01765975926572172,0.04823544575257355,0.35269462016715836,1.7999859407213923,0.9795332952156024,-0.1550786282296816,051600
28,현대글로비스,2018,Q2,산업재,-0.09378594865554216,-0.009642861893862653,0.007703561405082215,-0.003060354450287961,0.13963557475642108,0.2565732667133507,0.005843066942519126,-0.003821716985839413,086280
