year,quarter,month,week,code,name,sector,upload_dt,prediction,reason,score
2021,Q1,1,1,120,CJ대한통운,산업재,2021-01-06,중립,"뉴스 기사에서는 CJ대한통운의 곤지암 허브터미널이 코로나19 확진자 발생으로 부분 폐쇄되었다는 부정적 소식을 전하고 있습니다. 반면, 경제 영상에서는 CJ대한통운을 포트폴리오의 메인 종목으로 언급하며 긍정적인 시각을 제시하고 있습니다. 두 콘텐츠의 논조가 상충하여 종합적으로 중립으로 판단합니다.",0.0
2021,Q1,1,2,120,CJ대한통운,산업재,2021-01-12,,,
2021,Q1,1,3,120,CJ대한통운,산업재,2021-01-18,긍정,뉴스 기사에서는 CJ대한통운이 친환경 트럭 도입을 통해 지속 가능성을 높이고 있다는 긍정적인 측면을 강조하고 있습니다. 경제 영상에서는 택배 단가 인상 가능성이 제기되어 수익성 개선에 긍정적인 영향을 미칠 수 있음을 시사합니다. 두 콘텐츠 모두 긍정적인 요소를 포함하고 있어 종합적으로 긍정으로 판단합니다.,1.0
2021,Q1,1,4,120,CJ대한통운,산업재,,,,
2021,Q1,2,1,120,CJ대한통운,산업재,2021-02-04,긍정,"뉴스 기사에서는 CJ대한통운이 기계학습 기반의 예측 모델을 도입하여 물류 효율성을 높이고 있다는 긍정적인 기술 혁신을 강조하고 있습니다. 경제 영상에서는 CJ대한통운이 택배 단가 인상을 통해 수익성을 개선하려는 움직임을 보이고 있습니다. 두 콘텐츠 모두 기업의 효율성 및 수익성 개선을 긍정적으로 평가할 수 있는 요소로 작용하므로, 종합적으로 긍정적인 전망을 판단했습니다.",1.0
2021,Q1,2,2,120,CJ대한통운,산업재,,,,
2021,Q1,2,3,120,CJ대한통운,산업재,2021-02-16,중립,"뉴스 기사에서는 CJ대한통운의 일부 대리점이 노조에 가입한 택배노동자를 해고하기 위해 위장폐업을 했다는 부정적인 소식을 전하고 있습니다. 반면, 경제 영상에서는 CJ대한통운이 4분기부터 택배 물량 증가와 분류 인력 투입으로 인한 비용 발생에도 불구하고 수익성 개선이 기대된다는 긍정적인 전망을 제시하고 있습니다. 두 콘텐츠의 논조가 상충하므로 종합적으로 중립으로 판단합니다.",0.0
2021,Q1,2,4,120,CJ대한통운,산업재,2021-02-28,긍정,뉴스 기사에서는 CJ대한통운이 중국 물류 자회사 지분을 매각하여 상당한 자금을 확보하는 긍정적인 소식을 전하고 있습니다. 경제 영상에서는 CJ대한통운이 우즈베키스탄의 대형 프로젝트 물류를 수주했다는 긍정적인 소식을 전하고 있습니다. 두 콘텐츠 모두 긍정적인 요소를 포함하고 있어 종합적으로 긍정으로 판단합니다.,1.0
2021,Q1,3,1,120,CJ대한통운,산업재,2021-03-02,중립,"뉴스 기사는 CJ대한통운의 미국 내 사업 확장을 위한 합병 소식을 전하며 긍정적인 기업 성장 가능성을 암시합니다. 반면, 경제 영상에서는 박근혜 부회장의 국회 불출석과 경영권 이양 문제를 언급하며 경영진의 불안정성을 시사합니다. 긍정적 요인과 부정적 요인이 상충하므로 종합적으로 중립으로 판단합니다.",0.0
2021,Q1,3,2,120,CJ대한통운,산업재,2021-03-12,중립,"뉴스 기사에서는 CJ대한통운이 중동지역에서 새로운 프로젝트 물류를 수주했다는 긍정적인 소식을 전하고 있습니다. 반면, 경제 영상에서는 장애학생을 위한 물류산업 현장실습 및 취업지원 협약에 대한 내용으로, 이는 사회적 책임과 관련된 긍정적 이미지 향상에 기여할 수 있지만, 직접적인 주가 상승 요인으로 보기에는 한계가 있습니다. 두 정보 모두 긍정적이지만, 주가에 미치는 직접적인 영향은 불분명하여 중립으로 판단합니다.",0.0
