,name,year,quarter,sector,Relative Return,영업이익 변화율,비유동부채 변화율,자산총계 변화율,소비자물가지수 변화율,이익잉여금 변화율,법인세차감전 순이익 변화율,Label,Code
27,대림산업,2018,Q1,건설,0.2129153988623319,-13.84514439158824,-0.05592016870209049,0.02469912574639932,-0.2528409114579355,0.008531300795124208,-2.4825904818393836,-0.018774693966500014,000210
27,현대건설,2018,Q1,건설,0.6705387223024034,-0.14500206713656205,0.05679791105873311,-0.0015998570495687758,-0.2528409114579355,-0.0109658039454672,-2.6207785691387793,-0.11637786043398607,000720
27,한화,2018,Q1,에너지_화학,0.06330808721003921,0.7172855672995977,0.009076335166371408,0.029794721329207352,-0.2528409114579355,0.013154294722015125,-7.146841003115583,-0.14228829831942152,000880
27,KCC,2018,Q1,건설,0.12443459816796966,0.22967950008543347,0.6058729788512291,0.06909449292513448,-0.2528409114579355,0.0552996852683596,-3.357758608033699,-0.035773377730494466,002380
27,한국쉘석유,2018,Q1,에너지_화학,-0.023045268565260596,0.04681066591880767,2.4886409494548607,0.0321230799567076,-0.2528409114579355,-0.16407646808680243,0.04880292303631939,0.11173546453097687,002960
27,태광산업,2018,Q1,에너지_화학,0.09555502598554942,-0.5069551684591412,0.011492378274756465,0.011246520307145902,-0.2528409114579355,0.02224347500190027,2.6508246678484966,0.24579552845385882,003240
27,한일시멘트,2018,Q1,건설,0.6821430087532918,-0.8144357670792872,-0.011017570006161659,-0.03792290425471434,-0.2528409114579355,-0.006096001242369309,-1.3490170687087952,-0.20600830892219196,003300
27,삼성정밀화학,2018,Q1,에너지_화학,-0.09312503059153686,0.913147813449438,0.011533931445798506,0.04123885368998881,-0.2528409114579355,0.06464334501170499,-9.50386193543721,0.048623827861048914,004000
27,효성,2018,Q1,에너지_화학,0.1231279647584066,0.03224022501677348,0.13553733616346797,0.052667459979484965,-0.2528409114579355,0.009515249572968454,-2.107009594096774,-0.3893944902817932,004800
27,SK케미칼,2018,Q1,에너지_화학,0.029516965511728218,-1.2953405325431473,-0.001603223179126756,0.009505580771624667,-0.2528409114579355,0.00220536477939115,-1.1481335763402347,-0.1592834203258821,006120
27,대한유화,2018,Q1,에너지_화학,-0.11951002628417284,-0.006573771981979282,-0.021893992429697806,0.038584888523462535,-0.2528409114579355,0.04957293254015571,0.14578259835209195,0.010559974599082977,006650
27,국도화학,2018,Q1,에너지_화학,0.05345527136308188,0.638930268019374,-0.007140018378618107,0.13071780186938997,-0.2528409114579355,0.008726405289354977,0.8657247695344759,-0.02505427345315614,007690
27,한화케미칼,2018,Q1,에너지_화학,-0.009842198266168705,0.3014323340278595,-0.007972866503061615,0.02532776916657209,-0.2528409114579355,0.08090027556156687,-56.40457831257036,-0.22222001486588128,009830
27,OCI,2018,Q1,에너지_화학,-0.0009853893393131459,0.01131452002470068,-0.14467369048418655,-0.004778180881020999,-0.2528409114579355,0.007760222461335564,0.16567749428188838,-0.24532277790406684,010060
27,아이에스동서,2018,Q1,건설,0.03992921953393652,-0.581473303241111,-0.20264234688775118,0.14722260932889486,-0.2528409114579355,-0.2959354431107787,-0.3138195085394728,0.07712530375400571,010780
27,S-Oil,2018,Q1,에너지_화학,-0.12717692422191945,-0.31635769164364635,0.0607817491021152,0.05877945925346162,-0.2528409114579355,-0.06858060090853768,-0.5067070663430144,0.2009550057037867,010950
27,롯데케미칼,2018,Q1,에너지_화학,-0.08940087925327014,-0.05240581939410771,0.0013862160861544126,0.03095381157277166,-0.2528409114579355,0.015847087855024755,0.784869230847135,-0.022507012133118426,011170
27,금호석유,2018,Q1,에너지_화학,0.13213099254772287,0.2080350905261812,-0.0961639940183342,-0.002827297950013574,-0.2528409114579355,0.04503592023197389,0.7968809173237583,0.04123583062699862,011780
27,SKC,2018,Q1,에너지_화학,0.04585594825168908,0.08138590655508815,0.11788940008894899,0.014030078804680324,-0.2528409114579355,0.0013756692534256931,-2.981030290103228,0.20539451735750477,011790
27,현대산업,2018,Q1,건설,0.19995508195308825,-0.9825669705227119,-0.953429308098667,0.06866703738477042,-0.2528409114579355,-0.07413811320141672,-0.8878318257186292,0.0,012630
27,한솔케미칼,2018,Q1,에너지_화학,-0.002550211994246713,0.6553914946783539,-0.1615606838114294,0.07874757114756781,-0.2528409114579355,0.024855581540935034,1.2589408173574905,0.25585090680983746,014680
27,동원시스템즈,2018,Q1,에너지_화학,-0.11185244735742148,0.5953466708009636,-0.02590767981451947,0.015329101121163147,-0.2528409114579355,0.040030684130948346,1.0869016542006071,-0.1468496978641289,014820
27,유니드,2018,Q1,에너지_화학,0.11070152644689366,-0.5469291496609332,0.021462472170614255,0.007029011774845495,-0.2528409114579355,0.021046565627700353,-2.1123090233244275,0.002609061618518163,014830
27,남해화학,2018,Q1,에너지_화학,0.3659773256371174,-2.177092282204307,-0.48304097929248857,0.05311164403108082,-0.2528409114579355,0.013596892071118916,-2.8987194497928717,-0.1698282990417822,025860
27,삼성엔지니어링,2018,Q1,건설,0.034477340035136195,-1.0417685348211976,-0.08586818522493822,0.015985637172158063,-0.2528409114579355,-0.6333366140580883,-1.8948059989651056,-0.0625116088235376,028050
27,대우건설,2018,Q1,건설,0.28179562188871515,-2.0054789052032547,0.21726609505251804,0.06866144206627034,-0.2528409114579355,0.7936733569394501,-1.6220778227992076,-0.14720956152333123,047040
27,LG화학,2018,Q1,에너지_화학,-0.10709878112104956,0.035956978682043284,0.8220239764560393,0.03937808041332813,-0.2528409114579355,-0.0027647582229815004,0.7385648937187967,0.13767613185779848,051910
27,한전기술,2018,Q1,건설,0.23475502598554943,-0.9523051957022061,-0.31514604464395124,0.0568756698163877,-0.2528409114579355,-0.01861714523706315,-0.9389378992201616,-0.39984559357520577,052690
27,휴켐스,2018,Q1,에너지_화학,0.21739745022797366,0.3165995409674285,0.008023941416646085,0.057843530882669913,-0.2528409114579355,-0.06595330692059775,0.48523260437185933,-0.04054201515023517,069260
27,GS,2018,Q1,에너지_화학,0.0028168617343416903,-0.9031097253329561,-0.23389836632338645,0.032196103598737036,-0.2528409114579355,0.062247399546796034,-0.886965620980576,-0.05073885386538052,078930
27,휴비스,2018,Q1,에너지_화학,0.1790262759158044,-2.1257924562592736,0.05663898306601878,0.2632538004890359,-0.2528409114579355,-0.014512161248124822,-2.147645619683651,-0.26224206420989404,079980
27,후성,2018,Q1,에너지_화학,-0.06879634118224394,1.4074127730984047,0.015223513223997509,0.05162858954851712,-0.2528409114579355,0.11404005362122693,1.9832123521729295,0.2573633411407945,093370
27,SK이노베이션,2018,Q1,에너지_화학,-0.04440085932848191,-22.827354441951496,-0.004989536140002082,0.08546642856838416,-0.2528409114579355,0.1404678937508681,-13.488986708354327,0.036020731055528166,096770
