,name,year,quarter,sector,Relative Return,비유동자산 변화율,자본총계 변화율,유동자산 변화율,법인세차감전 순이익 변화율,부채총계 변화율,Label,Code
12,조선내화,2021,Q4,철강_소재,-0.015945313905378677,-0.01694162761828122,-0.01808973169136019,0.13391368727098985,0.2600914501558609,0.060025465007852885,0.0629350071393891,000480
12,영풍,2021,Q4,철강_소재,0.051367048840005515,0.004590116820756274,-0.024913218330755438,0.046557818682202656,-0.023113308604235994,0.14560811593361422,-0.001544456997103285,000670
12,동국제강,2021,Q4,철강_소재,0.06570784103928433,-0.06784128617375729,-0.02578078501125458,0.06089902350927212,-1.3267562179249877,-0.01823161410748053,0.09972054546315418,001230
12,세아베스틸,2021,Q4,철강_소재,-0.04342548840018298,0.0030883187734054296,0.012631173337006585,0.0030599307767151807,-0.5497200813217191,-0.011171490901993542,-0.03918363838167925,001430
12,고려제강,2021,Q4,철강_소재,0.024999428476657454,-0.017231188688242804,0.005564211782624451,0.04308551388677517,-0.6778151485573336,-0.058910632989774725,0.26182065319179265,002240
12,세아제강,2021,Q4,철강_소재,0.0568436038234696,0.020135821900746365,0.010970387790860237,3.3662589844251585,6.1827089185311666,0.3141283120600322,0.13846068597161285,003030
12,현대제철,2021,Q4,철강_소재,0.042357343369467206,0.003169850571882238,0.020485209106464453,0.07187034456999108,-0.3341921193067684,0.02513188353744944,0.05920767539639432,004020
12,삼광글라스,2021,Q4,철강_소재,0.24352357672666586,-0.09368038672833268,0.03987246661430022,0.2373618880417696,2.2132797755074183,-0.09567017768995079,-0.059946692783945335,005090
12,POSCO,2021,Q4,철강_소재,0.07595374521403123,-0.004857476637078473,0.014830628383656341,0.04332163008986467,-0.4452353317631844,0.01147737654176173,0.020524133645244344,005490
12,무림P&P,2021,Q4,철강_소재,0.22413216103739997,-0.002538432429774584,0.01720967501889703,-0.027846149077953464,0.7010266241634739,-0.035441983189030246,0.07909775160867849,009580
12,고려아연,2021,Q4,철강_소재,0.2576458304115508,-0.017905676557406824,0.027584220343642496,0.10636030972440169,0.04247161646958286,0.16496711055121538,-0.06630121879029191,010130
12,SK텔레콤,2021,Q4,커뮤니케이션서비스,0.0,-0.2049543440388749,-0.3832225450904193,-0.037495877766419605,0.47008543290645877,0.06671627570294048,0.08773444544634806,017670
12,제일기획,2021,Q4,커뮤니케이션서비스,0.053170724149639484,-0.059907613707981144,0.0026574838961159752,0.19106938571835563,0.38862961558222264,0.24059480314205328,0.15199566637072034,030000
12,KT,2021,Q4,커뮤니케이션서비스,0.14851824649369097,0.05318519961022039,0.020132334947359665,-0.04858174961575801,-0.48804704878174954,0.03204928591863632,0.1586502241113292,030200
12,LG유플러스,2021,Q4,커뮤니케이션서비스,-0.000608172588038261,0.07198851032044984,0.002553566720076672,-0.053160538042230865,-0.66688593960377,0.06320619935896277,0.09758954439189928,032640
12,SBS,2021,Q4,커뮤니케이션서비스,-0.17431773481253424,-0.019242501286415248,0.0046682268721731646,0.1711393526426821,-1.0958653351450676,0.12829302013197186,0.2580628085436099,034120
12,NAVER,2021,Q4,커뮤니케이션서비스,-0.14451072937758436,0.04223959082975659,0.05117232871151778,0.3193027385955556,0.01683998761893646,0.13424880585791654,-0.0954829628050622,035420
12,엔씨소프트,2021,Q4,커뮤니케이션서비스,-0.2564782964394233,0.07592644356328182,0.08218227034210024,-0.01212075720775363,0.11015044256576467,0.10284337270448773,-0.017878067465355606,036570
12,풍산,2021,Q4,철강_소재,0.09013242909216072,0.04526405587444726,0.03246092530092182,0.03249314817698945,-0.15920980771895044,0.0492910804285267,-0.03505685227643174,103140
12,한국철강,2021,Q4,철강_소재,0.0708570287246102,-0.0112270543177041,0.027234763275095553,0.08362129625096704,0.04595731944462189,0.15284549642030498,0.034021433979840005,104700
