,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,매출액 변화율,유동자산 변화율,유동부채 변화율,Label,Code
13,CJ대한통운,2021,Q3,산업재,-0.09966356553637193,-0.03818183816579801,-0.003022920782855265,0.05141722741837773,0.17995967795565715,0.047073946508116915,0.03823905401086618,000120
13,두산,2021,Q3,산업재,0.41635357612799506,0.0017528624222209466,-0.01352322346139656,0.06923491089544886,-0.0587472742270333,-0.2335675341952379,-0.04979934996693024,000150
13,LG상사,2021,Q3,산업재,0.0010167209445187883,0.0773227055196466,0.0516530050627233,0.02226815543737093,-0.0020871354783017493,0.0025494854115295507,0.22057431134612354,001120
13,대한항공,2021,Q3,산업재,0.10236674735393225,-0.01445696632066984,-0.008880006408891417,0.14158085625182038,0.012868846077018103,0.06922523909294331,0.02508918020116732,003490
13,S&T중공업,2021,Q3,산업재,-0.01959866757723626,0.009512557056823301,-0.005441884870931779,-0.21768458504257404,-0.02053270707587107,-0.018221438862650596,-0.056292676079695354,003570
13,LS,2021,Q3,산업재,-0.09416699707156917,0.09276690958248524,0.016968991004830958,0.06932891610368341,-0.7083382895206376,-0.009969782309289354,-0.03695878846085213,006260
13,LS산전,2021,Q3,산업재,0.005512225440023284,-0.022308622688893442,-0.023450805918522555,0.008100604098079112,-0.024314607472656458,-0.09911519736176855,-0.15157707045872365,010120
13,현대상선,2021,Q3,산업재,-0.25051204052485565,0.1255362787472425,0.24455965579636607,0.3850897233219446,0.49177266147244403,0.2234177919628435,0.29671968659720305,011200
13,SK텔레콤,2021,Q3,커뮤니케이션서비스,0.07189754101088322,-0.02049939131781786,-0.016606617389115175,0.0019188477646814306,0.005833121883440651,-0.003398312425347494,0.0,017670
13,한국단자,2021,Q3,산업재,-0.16224005922731322,0.02573338260192415,0.00714131602577206,-0.0030159260576773095,-0.015998664964785636,-0.0809293337103083,-0.09355461139944468,025540
13,제일기획,2021,Q3,커뮤니케이션서비스,0.06907797004025064,-0.0033254684378952737,-0.03046754859409928,0.01764023978494622,-0.04733319342278597,-0.12904180288434608,0.053170724149639484,030000
13,KT,2021,Q3,커뮤니케이션서비스,-0.01567741946850889,0.0059934846267695185,0.014326556332088458,0.0415075373967273,0.038390033900276954,0.11295073852766047,0.14851824649369097,030200
13,LG유플러스,2021,Q3,커뮤니케이션서비스,0.05351283594063379,-0.0008135301342122592,0.002408759161536267,0.04673948111501813,0.010740290232704952,0.13951913848471476,-0.000608172588038261,032640
13,SBS,2021,Q3,커뮤니케이션서비스,0.07104640103358592,0.008872324746676874,0.03871201109142319,0.27058100276187025,0.08048616462959535,0.33164347026995067,-0.17431773481253424,034120
13,NAVER,2021,Q3,커뮤니케이션서비스,0.005628978130729226,0.07831780652241926,0.05058060610826054,0.015488953775417258,-0.12784814092550822,0.07155329399605681,-0.14451072937758436,035420
13,엔씨소프트,2021,Q3,커뮤니케이션서비스,-0.02987350841899302,0.015005768478024484,0.08343652263672485,-0.08604982475042777,0.15208645375356955,0.0490478193968229,-0.2564782964394233,036570
13,대우인터내셔널,2021,Q3,산업재,-0.08816575610388241,-0.006315878522622831,0.09770469351176558,0.057357850755791695,0.15495843785545516,0.22427430425417993,0.18716245551818023,047050
13,한국항공우주,2021,Q3,산업재,-0.030033517160934046,-0.010642202890125407,-0.05040331550986277,-0.37247812860077933,-0.07202982957987492,-0.11187354628130808,0.4031162344422362,047810
13,한전KPS,2021,Q3,산업재,0.17184651693076033,0.01693909353036993,0.017687388287330963,-0.15821425891645347,0.018245649064143832,-0.016939863094454277,0.020848768122258124,051600
13,현대글로비스,2021,Q3,산업재,-0.10442638119133932,0.001497797928111666,0.02927361198911238,-0.00445877943139994,0.05663706374207167,0.025690362049437754,0.15844896954791807,086280
