year,quarter,month,week,code,name,sector,upload_dt,prediction,reason,score
2021,Q1,1,1,25540,한국단자,산업재,2021-01-04,중립,"뉴스 기사와 경제 영상 모두 한국단자에 대한 구체적인 정보나 주가에 영향을 미칠 수 있는 명확한 내용을 제공하지 않았습니다. 뉴스 기사는 자동 생성된 기사로, 한국단자에 대한 실질적인 정보가 없으며, 경제 영상도 시장의 전반적인 흐름에 대한 언급만 있을 뿐, 한국단자에 대한 구체적인 분석이 없습니다. 따라서 두 콘텐츠 모두 한국단자의 주가에 대한 판단을 내리기에 충분한 정보를 제공하지 않으므로 중립으로 판단합니다.",0.0
2021,Q1,1,2,25540,한국단자,산업재,2021-01-08,중립,"뉴스 기사에서는 주가의 기술적 지표가 긍정적인 신호를 보이고 있다고 언급했으나, 경제 영상에서는 한국단자의 제품이나 시장 상황에 대한 구체적인 긍정적 또는 부정적 평가가 없어 주가에 미치는 영향을 판단하기 어렵습니다. 따라서 종합적으로 중립으로 판단합니다.",0.0
2021,Q1,1,3,25540,한국단자,산업재,,,,
2021,Q1,1,4,25540,한국단자,산업재,,,,
2021,Q1,2,1,25540,한국단자,산업재,,,,
2021,Q1,2,2,25540,한국단자,산업재,,,,
2021,Q1,2,3,25540,한국단자,산업재,,,,
2021,Q1,2,4,25540,한국단자,산업재,,,,
2021,Q1,3,1,25540,한국단자,산업재,,,,
2021,Q1,3,2,25540,한국단자,산업재,,,,
2021,Q1,3,3,25540,한국단자,산업재,,,,
2021,Q1,3,4,25540,한국단자,산업재,,,,
2021,Q2,4,1,25540,한국단자,산업재,,,,
2021,Q2,4,2,25540,한국단자,산업재,,,,
2021,Q2,4,3,25540,한국단자,산업재,,,,
2021,Q2,4,4,25540,한국단자,산업재,,,,
2021,Q2,5,1,25540,한국단자,산업재,,,,
2021,Q2,5,2,25540,한국단자,산업재,,,,
2021,Q2,5,3,25540,한국단자,산업재,,,,
2021,Q2,5,4,25540,한국단자,산업재,2021-05-28,중립,"뉴스 기사에서는 한국단자의 주가가 6.29% 상승하며 강세를 보이고 있다고 보도했으나, 경제 영상에서는 전기차 시장 성장에 대한 반복적인 언급만 있을 뿐 구체적인 긍정적 또는 부정적 정보가 부족합니다. 따라서 두 콘텐츠를 종합했을 때 주가에 미치는 영향이 불분명하여 중립으로 판단합니다.",0.0
2021,Q2,6,1,25540,한국단자,산업재,,,,
2021,Q2,6,2,25540,한국단자,산업재,,,,
2021,Q2,6,3,25540,한국단자,산업재,,,,
2021,Q2,6,4,25540,한국단자,산업재,,,,
2021,Q3,7,1,25540,한국단자,산업재,,,,
2021,Q3,7,2,25540,한국단자,산업재,,,,
2021,Q3,7,3,25540,한국단자,산업재,,,,
2021,Q3,7,4,25540,한국단자,산업재,,,,
2021,Q3,8,1,25540,한국단자,산업재,,,,
2021,Q3,8,2,25540,한국단자,산업재,,,,
2021,Q3,8,3,25540,한국단자,산업재,,,,
2021,Q3,8,4,25540,한국단자,산업재,,,,
2021,Q3,9,1,25540,한국단자,산업재,,,,
2021,Q3,9,2,25540,한국단자,산업재,,,,
2021,Q3,9,3,25540,한국단자,산업재,,,,
2021,Q3,9,4,25540,한국단자,산업재,,,,
2021,Q4,10,1,25540,한국단자,산업재,,,,
2021,Q4,10,2,25540,한국단자,산업재,,,,
2021,Q4,10,3,25540,한국단자,산업재,,,,
2021,Q4,10,4,25540,한국단자,산업재,,,,
2021,Q4,11,1,25540,한국단자,산업재,,,,
2021,Q4,11,2,25540,한국단자,산업재,,,,
2021,Q4,11,3,25540,한국단자,산업재,,,,
2021,Q4,11,4,25540,한국단자,산업재,,,,
2021,Q4,12,1,25540,한국단자,산업재,,,,
2021,Q4,12,2,25540,한국단자,산업재,,,,
2021,Q4,12,3,25540,한국단자,산업재,,,,
2021,Q4,12,4,25540,한국단자,산업재,,,,
2022,Q1,1,1,25540,한국단자,산업재,,,,
2022,Q1,1,2,25540,한국단자,산업재,,,,
2022,Q1,1,3,25540,한국단자,산업재,,,,
2022,Q1,1,4,25540,한국단자,산업재,,,,
2022,Q1,2,1,25540,한국단자,산업재,,,,
2022,Q1,2,2,25540,한국단자,산업재,,,,
2022,Q1,2,3,25540,한국단자,산업재,,,,
2022,Q1,2,4,25540,한국단자,산업재,,,,
2022,Q1,3,1,25540,한국단자,산업재,,,,
2022,Q1,3,2,25540,한국단자,산업재,,,,
2022,Q1,3,3,25540,한국단자,산업재,,,,
2022,Q1,3,4,25540,한국단자,산업재,,,,
2022,Q2,4,1,25540,한국단자,산업재,,,,
2022,Q2,4,2,25540,한국단자,산업재,,,,
2022,Q2,4,3,25540,한국단자,산업재,,,,
2022,Q2,4,4,25540,한국단자,산업재,,,,
2022,Q2,5,1,25540,한국단자,산업재,,,,
2022,Q2,5,2,25540,한국단자,산업재,,,,
2022,Q2,5,3,25540,한국단자,산업재,,,,
2022,Q2,5,4,25540,한국단자,산업재,,,,
2022,Q2,6,1,25540,한국단자,산업재,,,,
2022,Q2,6,2,25540,한국단자,산업재,,,,
2022,Q2,6,3,25540,한국단자,산업재,,,,
