,name,sector,year,quarter,자본총계변화율,비유동자산변화율,비유동부채변화율,이익잉여금변화율,영업이익변화율,Relative Return,전체 주식 수변화율,1인평균급여변화율,보유 주식 수변화율,전체 주주 수변화율,Label,Code
3,Kia_Corp,운송장비·부품,2024,Q1,0.01816165369158007,-0.025303976201987766,0.07181180067969517,0.0020517430325991404,-0.8118198867301247,0.12034427991284037,0.03553397099894828,0.0827452828162043,-0.13279642621496324,-0.14328930895955527,0.062069393539808525,000270
3,S&T_Heavy_Industries,운송장비·부품,2024,Q1,-0.003394978604939869,0.004577852674992555,-0.2033428806129629,-0.0007642893365411574,-0.4221185922500701,0.16466826297567982,0.18749921113433432,0.1637112969337261,0.00036150007472446344,0.3231235297848074,0.16287536263846056,003570
2,SsangYong_Motor,운송장비·부품,2024,Q1,-0.08212284451094942,-0.0028338265397747087,0.16945586384074718,0.04908771155471536,1.5829791694152937,-0.09327457758721003,0.110269079082155,-50.42374339924755,0.072427330294073,0.23066216059569122,-0.3056702145223802,003620
2,Hyundai_Motor,운송장비·부품,2024,Q1,-0.031911109398761406,-0.026351568298557337,-0.024162880338783888,-0.032004079574385225,0.32458061842458097,-0.02722121169952256,0.24847528041322142,0.17748986135179645,-0.01747112871674439,0.23634975147786508,0.10240342694314886,005380
2,SL_Corp,운송장비·부품,2024,Q1,-0.018114002437690235,-0.029954122682886997,-0.02826932002485072,-0.026121945982802375,-1.2441468232258304,0.004216535172054434,0.17094053892622263,0.34495613991564533,-0.08737068592760489,0.18193467295672416,-0.17711233975957183,005850
2,Motonic,운송장비·부품,2024,Q1,0.005562926910915644,0.0014961715614861815,-0.014572287492494507,0.006448856068278053,0.14132383035946794,-0.18045453706409342,0.23329719398786075,0.183619969066528,0.14196007421286383,0.16212346110968,-0.07763196790068336,009680
2,Samsung_Heavy Industries,운송장비·부품,2024,Q1,-0.054192600176639516,0.02082994980379793,-0.07678123244111856,-0.02915731946049349,0.03710356474004528,-0.10966802021016085,0.07804562949787341,0.08910436887026851,0.132804867629299,-0.004649395595927697,0.05345420944075346,010140
2,Hyundai_Mipo_Dockyard,운송장비·부품,2024,Q1,-0.0009882901482525241,-0.010050022963437488,-0.5047932889895077,-0.0013911207121737323,0.7890701444075392,-0.07807628266459585,0.13322582508206215,0.09083875872870217,0.07124779954118832,0.023024344456764267,-0.3211090894028254,010620
2,Hwashin,운송장비·부품,2024,Q1,-0.07919157669962984,-0.12855365325010837,0.23447604480173267,-0.07311094668141327,0.2350529142411264,-0.026532628286170354,0.1721936589279941,0.027882260434330397,0.08209857560204648,0.46102978753901025,-0.27441217339861124,010690
3,Hyundai_WIA,운송장비·부품,2024,Q1,-0.0006236537775086148,0.022339747800819487,0.5495608692047173,-0.0007623049035740959,0.36969050871173004,-0.06973191797373912,0.30762793130537236,0.29389753481769054,0.11112297824139317,0.3052578435703076,-0.18009417765602073,011210
3,Hyundai_Mobis,운송장비·부품,2024,Q1,-0.008900132967303076,-0.013240299715673531,0.010845221893614143,-0.012100241314842775,0.09406363287722774,-0.08811629607222982,0.07360105041975629,0.15375738441777198,-0.11113857422745643,0.0777165803727099,0.03404446338721879,012330
2,Hanwha_Aerospace,운송장비·부품,2024,Q1,0.02311899414044094,-0.01823237515920839,-0.38329987466398996,0.019699093600085482,0.9927971638116223,0.0840092245440469,-0.002695911487257785,0.020903372704280887,0.017282151361681652,0.021125872092431996,0.5888810257026449,012450
2,Sejong_Industrial,운송장비·부품,2024,Q1,-0.025956787347834354,-0.004824025407173416,-0.01799161134554117,-0.03170765333361936,-5.283779875675013,-0.14850297166647153,0.1515932670242347,0.10793025519410437,0.1682971324978052,0.030114120213166284,-0.06284643137601639,033530
2,Daewoo_Shipbuilding_&_Marine_Engineering,운송장비·부품,2024,Q1,-0.010014709971771119,-0.05122528632456258,-0.05621216535980267,0.8885749855916554,1.6983468938911805,-0.29737028558232914,0.45497235223108046,0.06098447398155393,-21204.609733443896,0.20759093105600535,0.04635358736674588,042660
2,Korea_Aerospace_Industries,운송장비·부품,2024,Q1,0.004611588535566091,0.0012134420025274872,0.03593259691814277,0.0074097498875997925,0.659692010466755,-0.0840269945691352,0.06380188690468613,0.10469037068970177,-0.05613642026823151,0.06198427056350497,-0.01899779133499159,047810
2,Hyundai_Rotem,운송장비·부품,2024,Q1,-0.026769084806766097,0.003883660437497105,0.24134060704298776,-0.14718065056531549,0.2416833943123483,-0.1441507788308505,0.10847497266853268,0.06723565368915174,0.12721059547979396,0.14590686626506033,0.3195153616003017,064350
3,S&T_Motiv,운송장비·부품,2024,Q1,-0.0010443391181591544,0.019157640520213404,0.0019200671155813476,-0.017434575881570602,0.3162413046244863,-0.11882629179454184,0.07180812682389626,0.10370202121196759,-0.034120074160234104,0.09509236436645718,0.002336547518745534,064960
