,name,year,quarter,sector,Relative Return,영업이익 변화율,소비자물가지수 변화율,비유동자산 변화율,부채총계 변화율,유동부채 변화율,비유동부채 변화율,Label,Code
6,한화,2023,Q2,에너지_화학,-0.01279572273054784,-0.1612553448311136,-0.3075171004307199,0.002278884306431417,0.02238884465546298,0.05056959207661116,-0.023937785203075657,-0.1137787505712034,000880
6,한국쉘석유,2023,Q2,에너지_화학,-0.09338967191245653,-0.008246130976517052,-0.3075171004307199,0.03188928316491779,-0.23956878376763924,-0.24749250175512838,0.09462332123124817,0.11795366795366793,002960
6,태광산업,2023,Q2,에너지_화학,-0.15095545202413502,-0.18074918106196747,-0.3075171004307199,0.0029891794144327744,-0.021368519010139586,-0.04406701592207263,0.010763842521405165,0.022519478886202097,003240
6,삼성정밀화학,2023,Q2,에너지_화학,-0.036391422563455525,0.6161406744279458,-0.3075171004307199,-0.013029481705732482,-0.49373767964469895,-0.508683981059723,0.015279955098464804,-0.033932134017023705,004000
6,효성,2023,Q2,에너지_화학,-0.10970465047223199,-0.7565438132705326,-0.3075171004307199,-0.007857961717404272,-0.17930798255195202,-0.4246724600554358,0.0024061513639581644,0.06717388159221001,004800
6,SK케미칼,2023,Q2,에너지_화학,0.10815352603681631,-1.096849927511675,-0.3075171004307199,0.004366675213508975,-0.06798900580438949,-0.12163799518353569,0.0013108217658883703,0.05176628390914103,006120
6,대한유화,2023,Q2,에너지_화학,-0.08681563459606115,0.02531038462001267,-0.3075171004307199,-0.010491536586773376,-0.18210904737117006,-0.1778270795932283,-0.2154324067933554,0.21189306189306187,006650
6,국도화학,2023,Q2,에너지_화학,0.12116965380782872,0.27248242651468524,-0.3075171004307199,0.029554811964056737,-0.04721225312076949,-0.03210029681595428,-0.10255838495466862,-0.17799185246914162,007690
6,한화케미칼,2023,Q2,에너지_화학,-0.2280743733857604,0.23586356321771662,-0.3075171004307199,0.04638712586947724,0.02594508065597556,0.005106972503620577,0.046003861795465006,-0.14144989144989145,009830
6,OCI,2023,Q2,에너지_화학,0.0,-0.30210984252980544,-0.3075171004307199,-0.015879192383781104,-0.9356348437007693,-0.9655279924384859,0.02108399884205303,-0.014162995870312965,010060
6,S-Oil,2023,Q2,에너지_화학,0.046751974265665366,-0.9320441506246906,-0.3075171004307199,0.03170502225778238,-0.06752354795376747,-0.10937291590805476,0.06153286798762969,-0.08708396956804601,010950
6,롯데케미칼,2023,Q2,에너지_화학,-0.25414156388623677,-2.7141072700672337,-0.3075171004307199,0.011512286631357505,-0.06356137473792489,-0.11764940772948085,0.006170950461431124,0.060036112667691564,011170
6,금호석유,2023,Q2,에너지_화학,-0.09908015032564269,-0.393173746024144,-0.3075171004307199,0.009650751259119295,-0.2109937681482088,-0.23406281854828104,-0.08035250054202592,0.06366348159390081,011780
6,SKC,2023,Q2,에너지_화학,0.06915617501024422,-1.3029828702715565,-0.3075171004307199,-0.0005114072217765608,-0.1274801917824262,-0.19449173895828575,-0.07692132409875763,-0.12462022310776313,011790
6,한솔케미칼,2023,Q2,에너지_화학,-0.16692129165087075,-0.05412053204496692,-0.3075171004307199,0.02302300998452167,-0.05173618737902275,0.656647704648945,-0.4169310556874811,-0.038264594487301976,014680
6,동원시스템즈,2023,Q2,에너지_화학,-0.1522336995943268,0.4605350326415145,-0.3075171004307199,0.02032931587354625,1.530729345700088e-05,0.02597121662218904,-0.037661597755692,-0.1442669942669943,014820
6,유니드,2023,Q2,에너지_화학,-0.13226425763426072,5.784911551261539,-0.3075171004307199,-0.012099445182700452,-0.14139574304748936,-0.1462488580362209,-0.0893140594691999,0.3692847199914338,014830
6,남해화학,2023,Q2,에너지_화학,-0.13154500926763235,2.439003906811707,-0.3075171004307199,0.010062730419776678,0.06517636536708804,0.06807654968482435,-0.03793544457348863,-0.047419668387410345,025860
6,LG화학,2023,Q2,에너지_화학,-0.14147697958152422,-0.9605774371769737,-0.3075171004307199,0.006220941570818539,-0.038614534824982116,0.026045542713853287,-0.08210412527688982,-0.2186985772512089,051910
6,휴켐스,2023,Q2,에너지_화학,-0.05408836186878842,-0.10052719151512013,-0.3075171004307199,0.03640333697471321,-0.38251801849350264,-0.4513308351398523,-0.0035920757367604583,0.018362248137529014,069260
6,GS,2023,Q2,에너지_화학,-0.06475395302776282,-0.9734849514151855,-0.3075171004307199,0.0015688192779026444,-0.4364446710408968,-0.6480043766804309,-0.17053360861790445,0.13929367243458918,078930
6,휴비스,2023,Q2,에너지_화학,-0.11190420769319956,-0.42305571861541214,-0.3075171004307199,0.0021250415163684977,0.005247334039722107,-0.0957716284044875,0.24016291627467856,-0.0008551094757991498,079980
6,후성,2023,Q2,에너지_화학,-0.09901612818090144,0.7852260053926765,-0.3075171004307199,0.03854455349351027,0.0444752551292944,-0.10434577191332683,0.19973108617571333,-0.08897562997241454,093370
6,SK이노베이션,2023,Q2,에너지_화학,0.03912453632181512,-1.0205282600304006,-0.3075171004307199,0.015341864480414413,0.04634406830937943,-0.2184897339203985,0.5737005280791281,-0.2619666205261195,096770
6,코오롱인더,2023,Q2,에너지_화학,0.2216512831016258,1.3505060623707412,-0.3075171004307199,0.018208866928341783,-0.04435489206133458,-0.06248654460724379,0.03230262043093379,-0.19522229052615794,120110
