,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,유동부채 변화율,자산총계 변화율,부채총계 변화율,금리 변화율,수출액 변화율,Label,Code
24,한화,2018,Q4,에너지_화학,-0.0020263470074288192,0.5180830722916074,-0.11415193692083525,-0.02627036021455842,-0.06209448281688268,-0.10693799508331026,-0.008256951594797224,-0.04853802088551708,000880
24,한국쉘석유,2018,Q4,에너지_화학,-0.11106545604653786,0.08252170259070857,0.09386324109022803,0.06905660259936863,0.08396504053509402,-0.10693799508331026,-0.008256951594797224,0.03378105806185134,002960
24,태광산업,2018,Q4,에너지_화학,0.21046268901101897,-0.9228070059002806,0.088320091791946,0.012632580924152093,0.0593979416522854,-0.10693799508331026,-0.008256951594797224,-0.05150507717388067,003240
24,삼성정밀화학,2018,Q4,에너지_화학,0.02942855286852369,-0.36823788243709055,-0.043987922460318685,0.0038613617934675215,-0.02652284109627523,-0.10693799508331026,-0.008256951594797224,0.06807493503702064,004000
24,효성,2018,Q4,에너지_화학,0.5196370191693875,218.08251842141564,-0.13710598201090451,0.2276862531213535,-0.09832137840200228,-0.10693799508331026,-0.008256951594797224,0.09611798615802036,004800
24,SK케미칼,2018,Q4,에너지_화학,-0.05844208590491955,-1.4118720196296572,-0.002797514834713577,-0.02339397249350883,-0.0029819544076344906,-0.10693799508331026,-0.008256951594797224,0.10150612895032014,006120
24,대한유화,2018,Q4,에너지_화학,-0.0789269133001408,-0.8145298017835864,-0.3831421400649401,-0.07332018758015901,-0.39243869205032467,-0.10693799508331026,-0.008256951594797224,-0.0718194382970196,006650
24,국도화학,2018,Q4,에너지_화학,-0.0012590144242402256,-0.290036482679468,-0.22802008072472735,-0.045959281838945265,-0.12483580210905165,-0.10693799508331026,-0.008256951594797224,-0.004241627612673573,007690
24,한화케미칼,2018,Q4,에너지_화학,0.2348747740716629,-1.6456239558955397,-0.030804078295768478,-0.029845222806394234,-0.03704159614831859,-0.10693799508331026,-0.008256951594797224,0.013660248712433955,009830
24,OCI,2018,Q4,에너지_화학,-0.06880738944257711,16.50851810046055,-0.24711640568171722,-0.0687427367578517,-0.17134937896207203,-0.10693799508331026,-0.008256951594797224,-0.02255571736582705,010060
24,S-Oil,2018,Q4,에너지_화학,-0.2035770219525992,-2.4779910825662252,-0.09239693703081586,-0.056310325470735445,-0.060302217821735726,-0.10693799508331026,-0.008256951594797224,-0.04919481791145233,010950
24,롯데케미칼,2018,Q4,에너지_화학,-0.0204041792543515,-0.6450191730326131,-0.15255230665788955,-0.034510159926441575,-0.15079799101270985,-0.10693799508331026,-0.008256951594797224,-0.08120919588312296,011170
24,금호석유,2018,Q4,에너지_화학,0.03335902319440412,-0.48570764016489854,-0.15390512055804806,-0.07797436297829474,-0.14433752093899277,-0.10693799508331026,-0.008256951594797224,-0.01839722170632569,011780
24,SKC,2018,Q4,에너지_화학,-0.0015160504631379426,-1.4930752712080966,-0.17539546287467256,0.008228992831019966,0.038565208962776376,-0.10693799508331026,-0.008256951594797224,-0.0657644751791459,011790
24,한솔케미칼,2018,Q4,에너지_화학,0.04165632462892592,-0.46863883702296716,-0.3159944161978777,-0.05310340951760628,-0.15709318452667054,-0.10693799508331026,-0.008256951594797224,0.011255442210957325,014680
24,동원시스템즈,2018,Q4,에너지_화학,0.28015447928964193,-0.05261554192347773,0.05972501582280554,0.06841841011206728,0.13214587242033282,-0.10693799508331026,-0.008256951594797224,0.021069742566982786,014820
24,유니드,2018,Q4,에너지_화학,0.2550790532247878,-0.8544445050516879,0.28692144046681367,0.05746124285228715,0.1739968205978808,-0.10693799508331026,-0.008256951594797224,0.0008163115248154169,014830
24,남해화학,2018,Q4,에너지_화학,-0.06022740520848702,-4.4334366538059085,-0.2036123943517364,-0.06165351795663354,-0.13542935391683886,-0.10693799508331026,-0.008256951594797224,-0.0443024596372637,025860
24,LG화학,2018,Q4,에너지_화학,0.05724486610993815,-0.6721781069295967,0.004488537571828433,0.0039241776070795265,-0.0010207277147260552,-0.10693799508331026,-0.008256951594797224,-0.06138668716975629,051910
24,휴켐스,2018,Q4,에너지_화학,-0.0685138255120747,-0.9615971245663382,-0.33444701857506576,-0.059897635542936145,-0.19612251879745635,-0.10693799508331026,-0.008256951594797224,0.006195575999071071,069260
24,GS,2018,Q4,에너지_화학,0.007672731184800056,16.000927213722765,0.24126573449502065,0.002717085884386794,0.004896961367078401,-0.10693799508331026,-0.008256951594797224,-0.024656441938148657,078930
24,휴비스,2018,Q4,에너지_화학,0.0420460878737212,-49.91048966300103,0.09550165023360258,-0.04329921984627583,-0.029563189623165287,-0.10693799508331026,-0.008256951594797224,-0.008665208007957854,079980
24,후성,2018,Q4,에너지_화학,-0.17394701892810074,-0.5475839355491743,0.08179447792445393,0.06995775138130012,0.14351346951334887,-0.10693799508331026,-0.008256951594797224,0.05146814461091419,093370
24,SK이노베이션,2018,Q4,에너지_화학,-0.11210394333499282,-13.418207298596252,-0.03161872346824568,0.03307722386167167,0.11025113336987014,-0.10693799508331026,-0.008256951594797224,-0.04498729220531757,096770
24,코오롱인더,2018,Q4,에너지_화학,-0.10391959644166186,2.7307953713618107,0.054637663102163225,-0.016885479308392348,0.021248498161180684,-0.10693799508331026,-0.008256951594797224,-0.029042759845593333,120110
