,name,year,quarter,sector,Relative Return,영업이익 변화율,비유동부채 변화율,부채총계 변화율,자산총계 변화율,소비자물가지수 변화율,Label,Code
30,한화,2017,Q2,에너지_화학,0.1553771826005469,0.33188012769901487,0.12195346297867804,-0.06518805891810286,-0.028824091322892542,-0.1259798444991046,-0.270728296711916,000880
30,한국쉘석유,2017,Q2,에너지_화학,-0.023805395407978984,-0.0028144766989105507,-0.7196593300728261,-0.45001337218512527,-0.12550900834867962,-0.1259798444991046,-0.12203013370833395,002960
30,태광산업,2017,Q2,에너지_화학,0.30673286741334826,0.20253402715148394,0.009943940051320155,-0.04291981011511392,0.012960720351165245,-0.1259798444991046,-0.07332405841228687,003240
30,삼성정밀화학,2017,Q2,에너지_화학,0.0636927617496209,0.5226971966003249,-0.08239356917504426,0.2667319761773761,0.09381016881006565,-0.1259798444991046,-0.04271150331272767,004000
30,효성,2017,Q2,에너지_화학,0.15547593611276173,-0.07341290398194211,0.06135069174379537,0.017421501685890295,0.004805059061871564,-0.1259798444991046,-0.36209392353802594,004800
30,SK케미칼,2017,Q2,에너지_화학,0.0452820539171333,0.21740203040571782,0.01927059733432479,0.04790076158999956,0.05102920841389169,-0.1259798444991046,0.0512198171816961,006120
30,대한유화,2017,Q2,에너지_화학,0.03923803748690367,-1.1106304860149132,0.8567878451940705,0.07304386995141576,0.01498793857511349,-0.1259798444991046,-0.12299077714426866,006650
30,국도화학,2017,Q2,에너지_화학,0.10416390212727641,2.6191140031983666,-0.01391333195966793,0.06328270312196493,0.039620113787087075,-0.1259798444991046,-0.046162078169793834,007690
30,한화케미칼,2017,Q2,에너지_화학,0.16959835652788624,-0.0026975601332194232,-0.05740307523322408,-0.06952740466773233,-0.013179980855717366,-0.1259798444991046,-0.1890650109053223,009830
30,OCI,2017,Q2,에너지_화학,0.0574515231408823,-0.1139538544380082,0.10717222892448919,0.08798661525044116,0.03805366466419624,-0.1259798444991046,0.2743674189940729,010060
30,S-Oil,2017,Q2,에너지_화학,0.08028063620310674,-0.6483252512348068,-0.0018020479715417093,-0.13936304895693064,-0.07801770470164182,-0.1259798444991046,-0.04987968487325701,010950
30,롯데케미칼,2017,Q2,에너지_화학,0.03638178402692498,-0.25910261874289964,-0.07123356871415099,-0.08051933149772827,-0.00638079172361905,-0.1259798444991046,-0.14634797684843917,011170
30,금호석유,2017,Q2,에너지_화학,-0.05473734768954864,-0.3101672956177052,0.04534328679716371,-0.07820162698622046,-0.03559849113385105,-0.1259798444991046,-0.09346014937835366,011780
30,SKC,2017,Q2,에너지_화학,0.2452603756268108,0.20832365318807633,-0.0487168621006665,0.007272532135035759,0.012376324267024952,-0.1259798444991046,0.028298116562120557,011790
30,한솔케미칼,2017,Q2,에너지_화학,-0.13533654952092145,-0.3285276055723674,0.4395469841322961,-0.07089376471071085,-0.017063894822552883,-0.1259798444991046,-0.10467554317277449,014680
30,동원시스템즈,2017,Q2,에너지_화학,-0.10020757514207346,-0.07881730804226483,-0.16967485899900014,-0.08788258111108915,-0.04178487936857622,-0.1259798444991046,-0.20205359791673527,014820
30,유니드,2017,Q2,에너지_화학,0.00848674192526526,0.5291393098992438,0.12988267509515894,0.04249968107572366,0.0321385128189946,-0.1259798444991046,-0.14713300702971122,014830
30,남해화학,2017,Q2,에너지_화학,-0.1348697119444019,0.8379260068259453,0.2609026243115877,0.09870065767963498,0.05182743106148058,-0.1259798444991046,-0.14348033349663597,025860
30,LG화학,2017,Q2,에너지_화학,0.19258765328568772,0.01311029824407206,1.9546894811002304,-0.03381558134509055,0.02161952849277271,-0.1259798444991046,0.05394589718900125,051910
30,휴켐스,2017,Q2,에너지_화학,-0.03989788818198102,-0.03164381125043547,0.00601498850307447,-0.0003278605258721923,0.05201409808133994,-0.1259798444991046,-0.12885293663024072,069260
30,GS,2017,Q2,에너지_화학,0.15696626809613234,-0.35507742055842295,0.4123923802855005,0.010618774405361409,0.006128713488988247,-0.1259798444991046,-0.21222197485326472,078930
30,휴비스,2017,Q2,에너지_화학,0.04440642236662876,-0.9718610694553422,0.19241212112908967,-0.05192490763975366,-0.022535144652263694,-0.1259798444991046,-0.13836716886904427,079980
30,후성,2017,Q2,에너지_화학,0.3119915010323048,0.1468819074610095,-0.23399231554054545,0.06645211665220407,0.037818350220022,-0.1259798444991046,-0.20001513644992763,093370
30,SK이노베이션,2017,Q2,에너지_화학,-0.028323131633851178,-1.078640290114072,-0.008831190452036175,-0.28689184447730043,-0.0439562999569878,-0.1259798444991046,0.073832049146866,096770
30,코오롱인더,2017,Q2,에너지_화학,-0.07299427959474722,0.0033358781375589786,0.31091336874434794,-0.0010435402491179024,0.013756858542423922,-0.1259798444991046,0.09413245087823699,120110
