,name,year,quarter,sector,Relative Return,영업이익 변화율,비유동부채 변화율,소비자물가지수 변화율,비유동자산 변화율,유동부채 변화율,이익잉여금 변화율,Label,Code
25,한화,2018,Q3,에너지_화학,-0.00021630305485643986,-0.02236815323470487,-0.10118530282249327,0.0442397512820667,0.002286463293995844,0.10614311378477126,0.025919664881461912,-0.0020263470074288192,000880
25,한국쉘석유,2018,Q3,에너지_화학,0.10084290265524605,-0.1602738239583087,2.4275870233597403,0.0442397512820667,0.025745242824302572,0.49639955675263825,0.03554635867310085,-0.11106545604653786,002960
25,태광산업,2018,Q3,에너지_화학,-0.12182926889336575,0.351310303206839,0.01211207393117042,0.0442397512820667,0.009905684395749681,0.24030765677924815,0.02751441166150337,0.21046268901101897,003240
25,삼성정밀화학,2018,Q3,에너지_화학,-0.24209490684398327,-0.33288118555548185,-0.08250475718580552,0.0442397512820667,0.006866781617132611,-0.2378330069647373,0.049621114728797044,0.02942855286852369,004000
25,효성,2018,Q3,에너지_화학,0.2196153631717404,-0.8534499935447607,-0.15308135205934081,0.0442397512820667,-0.08746428963817954,-0.0056610603986154695,-3.1593091779691385e-05,0.5196370191693875,004800
25,SK케미칼,2018,Q3,에너지_화학,-0.06448909256972342,-0.03351807564288578,-0.42304962377479394,0.0442397512820667,0.035625874669532376,3.234845207432122,0.036684342733819486,-0.05844208590491955,006120
25,대한유화,2018,Q3,에너지_화학,-0.24454073215744743,-0.19413240376142082,0.010088364630515656,0.0442397512820667,-0.014669953204640707,-0.24040514941381563,0.056668228184975966,-0.0789269133001408,006650
25,국도화학,2018,Q3,에너지_화학,-0.09507633544050358,-0.39245868060809364,-0.33058583226974947,0.0442397512820667,0.03763424546037952,0.0528499342011286,0.017484152981284806,-0.0012590144242402256,007690
25,한화케미칼,2018,Q3,에너지_화학,-0.1279303291015167,-0.5427674014635993,0.01856966700691176,0.0442397512820667,0.07205264886217555,0.14090027956291196,0.06074009562781746,0.2348747740716629,009830
25,OCI,2018,Q3,에너지_화학,-0.002626915734135357,-0.9544159163519884,-0.026121697068187122,0.0442397512820667,-0.008604645104032027,-0.22173818733026884,0.0008963678308506751,-0.06880738944257711,010060
25,S-Oil,2018,Q3,에너지_화학,0.023682694835438917,-0.2204937024197342,0.041486282428327526,0.0442397512820667,0.029325311892569372,-0.020037814849171443,0.03156463787756536,-0.2035770219525992,010950
25,롯데케미칼,2018,Q3,에너지_화학,-0.1241478422577471,-0.32878799193110586,-0.027074346285407835,0.0442397512820667,0.014159490414086928,0.010117745310260773,0.03520675966286069,-0.0204041792543515,011170
25,금호석유,2018,Q3,에너지_화학,-0.06873875451116711,-0.21087909731863896,0.23510674912265195,0.0442397512820667,0.0087470745032181,0.016009835414355855,0.11900010650432735,0.03335902319440412,011780
25,SKC,2018,Q3,에너지_화학,-0.1542131953200498,0.020729600841884244,-0.05854927547208211,0.0442397512820667,-6.755969771954362e-05,0.12977208889335534,0.016386928600716777,-0.0015160504631379426,011790
25,한솔케미칼,2018,Q3,에너지_화학,0.01813462526584715,0.1871692166386052,0.006785990869335956,0.0442397512820667,0.055079217112883105,-0.13916039233119215,0.08384306986075907,0.04165632462892592,014680
25,동원시스템즈,2018,Q3,에너지_화학,-0.1143999270858642,-0.2737450356751623,-0.5657580552009391,0.0442397512820667,0.05147625269096001,0.46821217582246244,0.06501626473314337,0.28015447928964193,014820
25,유니드,2018,Q3,에너지_화학,-0.1695131914393005,-0.1968575019672716,0.044291125561082056,0.0442397512820667,-0.018880060228118056,0.11762410459796224,0.01885971015240706,0.2550790532247878,014830
25,남해화학,2018,Q3,에너지_화학,-0.1543935989732238,-0.506695104620112,0.059981587795172375,0.0442397512820667,-0.015300177280626492,0.12610061517398474,0.010391216215015486,-0.06022740520848702,025860
25,LG화학,2018,Q3,에너지_화학,-0.019456041860826584,-0.04446786408923775,0.006276925136355693,0.0442397512820667,0.018276145279965572,0.08031348020643847,0.03528986512385157,0.05724486610993815,051910
25,휴켐스,2018,Q3,에너지_화학,-0.050658520035988516,-0.1658938394958761,-0.10276476739831042,0.0442397512820667,0.05469139030786785,-0.10639608665809364,0.06875559604129977,-0.0685138255120747,069260
25,GS,2018,Q3,에너지_화학,0.03464843575111371,0.054905562432615795,-0.1483383303194341,0.0442397512820667,-0.0002582261209239656,0.4145030314784677,0.0046396481392392275,0.007672731184800056,078930
25,휴비스,2018,Q3,에너지_화학,-0.05054791528867472,-0.6112528184480952,0.49029821560165665,0.0442397512820667,0.011747180194197293,-0.028339372055612766,0.025602179705375372,0.0420460878737212,079980
25,후성,2018,Q3,에너지_화학,-0.1424655145194752,-0.3347767611912924,0.04182974597558542,0.0442397512820667,0.13536753713172556,0.04169185891574889,0.08873225899856796,-0.17394701892810074,093370
25,SK이노베이션,2018,Q3,에너지_화학,0.10636753689943577,-0.20420570127209703,0.8465143115313152,0.0442397512820667,0.030006041007616613,-0.3592535518897725,-0.027423174356055124,-0.11210394333499282,096770
25,코오롱인더,2018,Q3,에너지_화학,-0.06562923207201714,-0.4640236129552957,0.006156164222780092,0.0442397512820667,0.010506808435164716,0.028604442420665732,0.007868531040996274,-0.10391959644166186,120110
