,name,year,quarter,sector,Relative Return,영업이익 변화율,비유동부채 변화율,부채총계 변화율,자산총계 변화율,소비자물가지수 변화율,Label,Code
27,한화,2018,Q1,에너지_화학,0.06330808721003921,0.7172855672995977,0.009076335166371408,0.04549677113184125,0.029794721329207352,-0.2528409114579355,-0.14228829831942152,000880
27,한국쉘석유,2018,Q1,에너지_화학,-0.023045268565260596,0.04681066591880767,2.4886409494548607,0.6119558391529816,0.0321230799567076,-0.2528409114579355,0.11173546453097687,002960
27,태광산업,2018,Q1,에너지_화학,0.09555502598554942,-0.5069551684591412,0.011492378274756465,0.00694191393778798,0.011246520307145902,-0.2528409114579355,0.24579552845385882,003240
27,삼성정밀화학,2018,Q1,에너지_화학,-0.09312503059153686,0.913147813449438,0.011533931445798506,0.048707363662690906,0.04123885368998881,-0.2528409114579355,0.048623827861048914,004000
27,효성,2018,Q1,에너지_화학,0.1231279647584066,0.03224022501677348,0.13553733616346797,0.09596753787998447,0.052667459979484965,-0.2528409114579355,-0.3893944902817932,004800
27,SK케미칼,2018,Q1,에너지_화학,0.029516965511728218,-1.2953405325431473,-0.001603223179126756,0.03172309767987258,0.009505580771624667,-0.2528409114579355,-0.1592834203258821,006120
27,대한유화,2018,Q1,에너지_화학,-0.11951002628417284,-0.006573771981979282,-0.021893992429697806,0.03721474817954307,0.038584888523462535,-0.2528409114579355,0.010559974599082977,006650
27,국도화학,2018,Q1,에너지_화학,0.05345527136308188,0.638930268019374,-0.007140018378618107,0.38853976177762695,0.13071780186938997,-0.2528409114579355,-0.02505427345315614,007690
27,한화케미칼,2018,Q1,에너지_화학,-0.009842198266168705,0.3014323340278595,-0.007972866503061615,-0.02140451985111902,0.02532776916657209,-0.2528409114579355,-0.22222001486588128,009830
27,OCI,2018,Q1,에너지_화학,-0.0009853893393131459,0.01131452002470068,-0.14467369048418655,-0.022427025167890635,-0.004778180881020999,-0.2528409114579355,-0.24532277790406684,010060
27,S-Oil,2018,Q1,에너지_화학,-0.12717692422191945,-0.31635769164364635,0.0607817491021152,0.1505893574336188,0.05877945925346162,-0.2528409114579355,0.2009550057037867,010950
27,롯데케미칼,2018,Q1,에너지_화학,-0.08940087925327014,-0.05240581939410771,0.0013862160861544126,0.07625307657567326,0.03095381157277166,-0.2528409114579355,-0.022507012133118426,011170
27,금호석유,2018,Q1,에너지_화학,0.13213099254772287,0.2080350905261812,-0.0961639940183342,-0.024507307277659818,-0.002827297950013574,-0.2528409114579355,0.04123583062699862,011780
27,SKC,2018,Q1,에너지_화학,0.04585594825168908,0.08138590655508815,0.11788940008894899,0.03664097106371411,0.014030078804680324,-0.2528409114579355,0.20539451735750477,011790
27,한솔케미칼,2018,Q1,에너지_화학,-0.002550211994246713,0.6553914946783539,-0.1615606838114294,0.168039670460701,0.07874757114756781,-0.2528409114579355,0.25585090680983746,014680
27,동원시스템즈,2018,Q1,에너지_화학,-0.11185244735742148,0.5953466708009636,-0.02590767981451947,0.01610207205450953,0.015329101121163147,-0.2528409114579355,-0.1468496978641289,014820
27,유니드,2018,Q1,에너지_화학,0.11070152644689366,-0.5469291496609332,0.021462472170614255,0.021792415773292495,0.007029011774845495,-0.2528409114579355,0.002609061618518163,014830
27,남해화학,2018,Q1,에너지_화학,0.3659773256371174,-2.177092282204307,-0.48304097929248857,0.18450272411270707,0.05311164403108082,-0.2528409114579355,-0.1698282990417822,025860
27,LG화학,2018,Q1,에너지_화학,-0.10709878112104956,0.035956978682043284,0.8220239764560393,0.15390411944556104,0.03937808041332813,-0.2528409114579355,0.13767613185779848,051910
27,휴켐스,2018,Q1,에너지_화학,0.21739745022797366,0.3165995409674285,0.008023941416646085,0.28075537073394385,0.057843530882669913,-0.2528409114579355,-0.04054201515023517,069260
27,GS,2018,Q1,에너지_화학,0.0028168617343416903,-0.9031097253329561,-0.23389836632338645,-0.00552140360542186,0.032196103598737036,-0.2528409114579355,-0.05073885386538052,078930
27,휴비스,2018,Q1,에너지_화학,0.1790262759158044,-2.1257924562592736,0.05663898306601878,0.030294425253131863,0.2632538004890359,-0.2528409114579355,-0.26224206420989404,079980
27,후성,2018,Q1,에너지_화학,-0.06879634118224394,1.4074127730984047,0.015223513223997509,0.05998766999983718,0.05162858954851712,-0.2528409114579355,0.2573633411407945,093370
27,SK이노베이션,2018,Q1,에너지_화학,-0.04440085932848191,-22.827354441951496,-0.004989536140002082,0.17815349230753896,0.08546642856838416,-0.2528409114579355,0.036020731055528166,096770
27,코오롱인더,2018,Q1,에너지_화학,-0.04091904808852466,-0.24727387426100966,-0.01350025787540432,-0.011254957623661577,0.02398213270587779,-0.2528409114579355,0.06320758123336187,120110
